date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;true;true;true;true;false;false;1254098100000000;09:30 - 09:45;false;false;false;1254100500000000;1254101700000000;true;40.0;60.0;10:30 - 10:45;10:15 - 10:30;;;-0.7;-0.7;0.4;0.4;-0.8;1.7;0.0;0.4;1.4;-0.8;1.7;;Weak Uptrend;true;true;0.9
2009-09-29;true;true;false;true;false;true;true;true;1254185400000000;09:45 - 10:00;true;true;true;1254189300000000;1254195600000000;true;65.0;170.0;12:30 - 12:45;10:45 - 11:00;;;1.5;2.2;0.5;0.7;1.6;0.5;0.0;0.4;1.3;0.2;1.6;Strong Uptrend;Weak Downtrend;true;true;0.7
2009-09-30;true;true;true;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.1;0.9;0.4;-0.2;1.0;Medium Uptrend;Expansion;true;true;0.6
2009-10-01;false;true;true;true;true;true;false;false;1254357900000000;09:45 - 10:00;true;false;false;1254358200000000;1254358200000000;true;5.0;5.0;09:45 - 10:00;09:45 - 10:00;false;false;1.1;1.8;0.3;0.2;1.2;-1.4;0.8;0.3;-0.6;-1.4;1.2;Strong Uptrend;Strong Downtrend;false;true;0.5
2009-10-02;false;true;false;true;false;true;true;true;1254448500000000;10:45 - 11:00;true;true;false;1254449100000000;1254449700000000;true;10.0;20.0;11:15 - 11:30;11:00 - 11:15;false;true;1.2;1.3;1.0;1.0;1.3;0.3;1.0;0.6;1.0;0.2;1.3;Strong Downtrend;Strong Downtrend;true;true;0.4
2009-10-05;true;true;false;true;false;true;true;true;1254702600000000;09:30 - 09:45;true;true;true;1254703500000000;1254705000000000;false;15.0;40.0;10:00 - 10:15;09:45 - 10:00;;;1.7;2.0;1.1;1.2;1.8;1.1;0.2;0.9;1.5;0.9;1.8;Strong Uptrend;Expansion;false;false;2.4
2009-10-06;false;true;true;true;true;true;false;false;1254789000000000;09:30 - 09:45;false;false;false;1254789300000000;1254799500000000;true;5.0;175.0;12:15 - 12:30;09:30 - 09:45;false;true;-3.1;-3.5;0.0;0.0;-3.2;3.2;0.4;0.3;2.7;-3.2;3.2;Medium Uptrend;Medium Downtrend;true;true;0.6
2009-10-07;false;false;true;false;true;true;true;true;1254879000000000;10:30 - 10:45;false;true;false;1254879300000000;1254879900000000;false;5.0;15.0;10:45 - 11:00;10:30 - 10:45;false;true;-0.4;-0.7;-0.1;-0.3;-0.5;0.5;0.2;0.2;0.0;-0.5;0.7;Weak Uptrend;Strong Uptrend;false;true;0.6
2009-10-08;false;true;false;true;false;true;true;true;1254961800000000;09:30 - 09:45;true;true;true;1254962100000000;1254968100000000;false;5.0;105.0;11:15 - 11:30;09:30 - 09:45;true;false;5.7;10.6;3.1;5.5;5.8;3.1;0.4;0.3;4.5;0.2;5.8;Medium Downtrend;Weak Uptrend;true;true;0.5
2009-10-09;true;true;false;true;false;true;true;true;1255050900000000;10:15 - 10:30;true;true;true;1255051500000000;1255061700000000;false;10.0;180.0;13:15 - 13:30;10:15 - 10:30;false;false;3.5;6.8;1.1;1.8;3.6;1.1;0.3;0.7;2.6;0.5;3.6;Strong Uptrend;Medium Uptrend;true;true;0.6
