date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;true;false;true;true;false;1254126900000000;04:30 - 04:45;true;true;true;1254132600000000;1254140400000000;true;95.0;225.0;08:15 - 08:30;06:00 - 06:15;;;1.8;2.2;-0.0;-0.2;1.9;-0.0;0.4;0.2;1.9;-0.0;1.9;Strong Uptrend;;false;false;0.9
2009-09-29;false;false;true;false;true;true;true;true;1254216000000000;05:15 - 05:30;false;true;false;1254216300000000;1254216300000000;false;5.0;5.0;05:15 - 05:30;05:15 - 05:30;false;false;-0.2;-0.4;-0.2;-0.3;-0.3;0.8;0.9;0.1;0.2;-0.3;0.8;Weak Uptrend;Strong Uptrend;true;true;1.3
2009-09-30;false;true;true;true;true;true;false;false;1254298200000000;04:00 - 04:15;true;false;true;1254300000000000;1254305100000000;true;30.0;115.0;06:00 - 06:15;04:30 - 04:45;false;true;2.0;3.3;-1.2;-2.6;2.1;-1.2;0.4;0.4;1.1;-1.2;2.1;Contraction;Medium Uptrend;false;true;0.3
2009-10-01;true;false;true;false;true;true;true;true;1254390900000000;05:45 - 06:00;false;true;true;1254391200000000;1254394800000000;true;5.0;65.0;07:00 - 07:15;06:00 - 06:15;false;true;-0.8;-1.1;0.1;0.0;-0.9;0.1;0.1;0.3;-0.4;-0.9;0.9;Weak Downtrend;Strong Uptrend;true;false;1.8
2009-10-02;false;false;true;false;true;true;true;true;1254470400000000;04:00 - 04:15;false;true;true;1254474600000000;1254481200000000;true;70.0;180.0;07:00 - 07:15;05:00 - 05:15;false;false;-1.2;-1.6;0.0;-0.1;-1.3;0.0;0.8;0.3;-0.8;-1.3;0.3;Expansion;Strong Downtrend;true;true;1.2
2009-10-05;false;true;false;true;false;true;true;true;1254729900000000;04:00 - 04:15;true;true;false;1254733200000000;1254739800000000;true;55.0;165.0;06:45 - 07:00;05:00 - 05:15;false;false;2.1;2.4;0.6;0.7;2.2;0.6;1.0;0.5;0.9;0.4;2.2;Strong Uptrend;Strong Uptrend;true;true;0.3
2009-10-06;true;true;true;true;true;true;false;false;1254817500000000;04:15 - 04:30;false;false;false;1254817800000000;1254818100000000;false;5.0;10.0;04:30 - 04:45;04:30 - 04:45;false;false;-0.6;-0.8;-0.1;-0.2;-0.7;1.0;0.7;0.8;1.0;-0.7;1.0;Strong Uptrend;Medium Uptrend;false;false;1.2
2009-10-07;false;true;true;true;false;true;true;false;1254913200000000;07:00 - 07:15;true;true;true;1254913500000000;1254917700000000;true;5.0;75.0;08:15 - 08:30;07:00 - 07:15;false;true;1.8;2.1;1.0;1.1;1.9;1.0;0.5;0.2;1.7;-0.1;1.9;Medium Downtrend;Weak Uptrend;false;true;1.5
2009-10-08;true;true;false;true;false;true;true;true;1254989100000000;04:00 - 04:15;true;true;false;1254991500000000;1254997800000000;true;40.0;145.0;06:30 - 06:45;04:45 - 05:00;false;false;2.1;3.9;0.2;-0.2;2.2;0.2;0.3;0.7;0.8;0.2;2.2;Strong Uptrend;Medium Downtrend;true;true;1.2
2009-10-09;true;false;true;false;true;true;true;true;1255077900000000;04:45 - 05:00;false;true;true;1255078800000000;1255082400000000;false;15.0;75.0;06:00 - 06:15;05:00 - 05:15;false;false;-0.9;-1.1;-0.1;-0.1;-1.0;0.1;0.0;0.4;-0.2;-1.0;0.5;Strong Uptrend;Strong Uptrend;true;true;1.7
2009-10-12;false;true;false;true;false;true;true;true;1255335300000000;04:15 - 04:30;true;true;true;1255335600000000;1255341600000000;true;5.0;105.0;06:00 - 06:15;04:15 - 04:30;false;true;2.8;3.4;1.0;1.1;2.9;1.0;0.8;0.7;1.8;0.7;2.9;Weak Downtrend;Strong Uptrend;true;true;1.6
2009-10-13;false;false;true;false;true;true;true;true;1255422600000000;04:30 - 04:45;false;true;true;1255432500000000;1255436700000000;true;165.0;235.0;08:15 - 08:30;07:15 - 07:30;false;false;-0.3;-0.7;0.7;0.9;-0.4;0.7;0.7;0.2;-0.3;-0.4;0.7;Weak Uptrend;Medium Uptrend;true;true;2.4
2009-10-14;true;true;false;true;false;true;true;true;1255508400000000;04:15 - 04:30;true;true;true;1255510800000000;1255519500000000;true;40.0;185.0;07:15 - 07:30;05:00 - 05:15;false;false;3.2;3.5;0.4;0.4;3.3;0.4;0.1;0.9;2.0;0.4;3.3;Weak Uptrend;Medium Uptrend;false;true;0.9
2009-10-15;false;true;false;true;false;true;true;true;1255593900000000;04:00 - 04:15;true;true;true;1255594200000000;1255604700000000;false;5.0;180.0;07:00 - 07:15;04:00 - 04:15;false;true;3.5;6.4;1.2;1.9;3.6;0.9;0.6;0.5;2.3;0.4;3.6;Strong Uptrend;Strong Uptrend;true;true;0.3
2009-10-16;true;true;true;true;true;true;false;false;1255681800000000;04:30 - 04:45;true;false;false;1255683000000000;1255683900000000;true;20.0;35.0;05:00 - 05:15;04:45 - 05:00;false;false;1.4;1.6;1.0;1.2;1.5;-0.8;0.1;0.9;-0.5;-0.8;1.5;Weak Downtrend;Strong Uptrend;true;true;0.8
2009-10-19;true;true;true;true;false;true;true;false;1255945500000000;05:45 - 06:00;true;true;true;1255946100000000;1255951500000000;true;10.0;100.0;07:15 - 07:30;05:45 - 06:00;false;false;1.9;2.3;1.0;1.0;2.0;1.0;0.2;1.0;1.5;-0.0;2.0;Medium Uptrend;Medium Downtrend;true;true;0.5
2009-10-20;false;true;false;true;false;true;true;true;1256029500000000;05:00 - 05:15;true;true;true;1256031300000000;1256038200000000;false;30.0;145.0;07:30 - 07:45;05:30 - 05:45;false;false;3.1;4.4;1.3;1.5;3.2;1.3;1.0;0.6;2.5;0.1;3.2;Strong Downtrend;Strong Uptrend;false;true;0.7
2009-10-21;true;false;true;false;true;true;true;true;1256118600000000;05:45 - 06:00;false;true;false;1256121900000000;1256125500000000;true;55.0;115.0;07:45 - 08:00;06:45 - 07:00;false;false;-0.1;-0.4;0.3;0.3;-0.2;0.7;0.1;0.7;0.6;-0.2;0.9;Weak Uptrend;Weak Uptrend;false;true;1.2
2009-10-22;true;false;true;false;true;true;true;true;1256199300000000;04:15 - 04:30;false;true;false;1256199600000000;1256200800000000;false;5.0;25.0;04:30 - 04:45;04:15 - 04:30;false;true;-1.2;-1.6;-0.3;-0.4;-1.3;0.5;0.2;0.5;0.0;-1.3;0.5;Weak Uptrend;Weak Downtrend;true;false;0.9
2009-10-23;true;false;true;false;true;true;true;true;1256286000000000;04:15 - 04:30;false;true;false;1256290200000000;1256295300000000;true;70.0;155.0;06:45 - 07:00;05:30 - 05:45;false;false;-2.6;-3.7;0.0;0.1;-2.7;0.4;0.0;0.3;0.3;-2.7;0.7;Medium Uptrend;Strong Uptrend;false;false;0.6
2009-10-26;false;false;true;false;true;true;true;true;1256546100000000;04:30 - 04:45;false;true;true;1256551500000000;1256559600000000;true;90.0;225.0;08:15 - 08:30;06:00 - 06:15;false;false;-0.6;-1.1;0.7;0.9;-0.7;0.7;0.8;0.3;-0.3;-0.7;0.8;Medium Uptrend;Medium Downtrend;true;true;0.5
2009-10-27;false;false;true;false;true;true;true;true;1256630400000000;04:00 - 04:15;false;true;true;1256631000000000;1256633100000000;true;10.0;45.0;04:45 - 05:00;04:00 - 04:15;false;false;-0.8;-1.1;0.2;0.2;-0.9;0.3;0.7;0.0;-0.2;-0.9;0.3;Weak Uptrend;Strong Downtrend;true;true;1.1
2009-10-28;false;false;true;false;true;true;true;true;1256717100000000;04:00 - 04:15;false;true;true;1256718900000000;1256729100000000;true;30.0;200.0;07:15 - 07:30;04:30 - 04:45;false;true;-1.9;-2.4;0.0;-0.1;-2.0;0.0;0.9;0.2;-1.3;-2.0;0.3;Strong Downtrend;Medium Downtrend;false;true;2.3
2009-10-29;true;true;false;true;false;true;true;true;1256804100000000;04:15 - 04:30;true;true;true;1256804400000000;1256812500000000;false;5.0;140.0;06:30 - 06:45;04:15 - 04:30;false;false;1.7;1.9;1.1;1.2;1.8;1.1;0.1;0.9;1.3;0.5;1.8;Weak Uptrend;Strong Downtrend;false;true;0.7
2009-10-30;true;true;true;true;false;true;true;false;1256894100000000;05:15 - 05:30;true;true;false;1256898900000000;1256901900000000;true;80.0;130.0;07:15 - 07:30;06:30 - 06:45;false;false;1.1;1.4;0.5;0.6;1.2;0.3;0.6;0.7;0.4;-0.0;1.2;Strong Downtrend;Medium Uptrend;false;true;0.8
