date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;false;true;false;true;true;true;1254148200000000;10:30 - 10:45;true;true;true;1254149400000000;1254152400000000;true;20.0;70.0;11:30 - 11:45;10:45 - 11:00;;;3.0;3.4;0.8;0.9;3.1;0.8;0.2;1.0;2.5;0.8;3.1;Weak Uptrend;Strong Uptrend;true;true;1.1
2009-09-29;false;true;false;true;false;true;true;true;1254243000000000;12:45 - 13:00;true;true;false;1254243300000000;1254244800000000;true;5.0;30.0;13:15 - 13:30;12:45 - 13:00;true;false;1.1;1.7;1.0;1.4;1.2;0.7;0.6;0.4;0.7;0.3;1.2;Weak Downtrend;Weak Uptrend;false;true;1.1
2009-09-30;false;true;false;true;false;true;true;true;1254330000000000;13:00 - 13:15;true;true;false;1254330600000000;1254331500000000;true;10.0;25.0;13:15 - 13:30;13:00 - 13:15;false;false;1.1;1.2;1.0;1.0;1.2;0.7;1.0;0.4;0.9;0.4;1.2;Expansion;Contraction;true;false;5.3
2009-10-01;false;false;true;false;true;true;true;true;1254408300000000;10:45 - 11:00;false;true;true;1254408900000000;1254426900000000;true;10.0;310.0;15:45 - 16:00;10:45 - 11:00;false;false;-1.7;-3.2;0.4;0.1;-1.8;0.4;1.0;0.4;-1.7;-1.8;0.6;Strong Downtrend;Weak Downtrend;false;true;1.2
2009-10-02;true;true;false;true;false;true;true;true;1254493800000000;10:30 - 10:45;true;true;true;1254495300000000;1254495900000000;true;25.0;35.0;11:00 - 11:15;10:45 - 11:00;false;false;1.6;1.6;0.8;0.9;1.7;0.8;0.1;1.0;1.1;0.8;1.7;Strong Downtrend;Expansion;false;true;2.0
2009-10-05;false;true;true;true;true;true;false;false;1254754200000000;10:45 - 11:00;false;false;false;1254754500000000;1254754800000000;true;5.0;10.0;11:00 - 11:15;10:45 - 11:00;false;true;-0.1;-0.6;0.3;0.2;-0.2;1.9;0.7;0.6;1.0;-0.2;1.9;Expansion;Strong Uptrend;true;true;1.4
2009-10-06;true;true;true;true;false;true;true;false;1254840900000000;10:45 - 11:00;true;true;false;1254841200000000;1254841800000000;true;5.0;15.0;11:00 - 11:15;11:00 - 11:15;false;false;1.7;1.9;1.0;1.1;1.8;-0.0;0.7;1.0;0.7;-0.0;1.8;Medium Downtrend;Strong Uptrend;false;false;1.4
2009-10-07;false;false;true;false;true;true;true;true;1254928500000000;11:15 - 11:30;false;true;true;1254928800000000;1254939000000000;false;5.0;175.0;14:00 - 14:15;11:15 - 11:30;true;false;-1.1;-1.8;-0.1;-0.3;-1.2;-0.1;0.7;0.5;-0.6;-1.2;0.5;Strong Uptrend;Medium Downtrend;true;true;1.2
2009-10-08;true;true;false;true;false;true;true;true;1255014300000000;11:00 - 11:15;true;true;true;1255014600000000;1255016400000000;true;5.0;35.0;11:30 - 11:45;11:00 - 11:15;false;false;2.2;3.3;0.9;1.0;2.3;0.9;0.8;0.9;1.5;0.5;2.3;Weak Uptrend;Strong Uptrend;true;true;1.6
2009-10-09;true;true;false;true;false;true;true;true;1255103100000000;11:45 - 12:00;true;true;true;1255105200000000;1255115400000000;true;35.0;205.0;15:00 - 15:15;12:15 - 12:30;false;false;1.5;1.7;0.5;0.5;1.6;0.5;0.2;0.8;1.3;0.4;1.6;Medium Uptrend;Strong Uptrend;false;true;1.0
2009-10-12;true;true;false;true;false;true;true;true;1255357800000000;10:30 - 10:45;true;true;true;1255362600000000;1255369200000000;true;80.0;190.0;13:30 - 13:45;11:45 - 12:00;false;true;1.3;1.7;0.2;0.0;1.4;0.2;0.8;0.9;1.1;0.2;1.4;Medium Uptrend;Weak Downtrend;true;true;0.8
2009-10-13;false;true;false;false;false;false;false;true;;;false;true;false;;;false;;;;;false;false;;;;;;;0.8;0.3;0.6;0.1;1.2;Strong Downtrend;Weak Uptrend;false;true;1.3
2009-10-14;false;true;false;true;false;true;true;true;1255535100000000;11:45 - 12:00;true;true;true;1255543200000000;1255547100000000;true;135.0;200.0;15:00 - 15:15;14:00 - 14:15;true;true;1.4;2.3;0.6;-0.0;1.5;0.6;1.0;0.8;1.1;0.5;1.5;Expansion;Weak Uptrend;true;true;2.2
