date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2024-07-26;false;true;false;true;false;true;true;true;1721985600000000;05:15 - 05:30;true;true;true;1721985900000000;1721987400000000;false;5.0;30.0;05:45 - 06:00;05:15 - 05:30;;;2.0;2.3;1.3;1.4;2.1;0.9;0.5;0.2;1.5;0.1;2.1;;;;;
2024-07-29;false;true;true;true;true;true;false;false;1722240600000000;04:00 - 04:15;true;false;false;1722242400000000;1722252000000000;true;30.0;190.0;07:15 - 07:30;04:30 - 04:45;false;false;2.3;2.6;-0.7;-0.9;2.4;-0.7;1.0;0.4;1.0;-0.7;2.4;Strong Uptrend;Medium Uptrend;true;true;0.2
2024-07-30;true;false;true;false;true;true;true;true;1722329700000000;04:45 - 05:00;false;true;true;1722330600000000;1722342300000000;true;15.0;210.0;08:15 - 08:30;05:00 - 05:15;false;;-2.3;-2.6;0.5;0.6;-2.4;0.5;0.0;0.5;-2.2;-2.4;0.8;Contraction;Strong Downtrend;false;true;0.2
2024-07-31;false;false;true;false;true;true;true;true;1722412800000000;04:00 - 04:15;false;true;true;1722415500000000;1722423600000000;true;45.0;180.0;07:00 - 07:15;04:45 - 05:00;false;false;-1.0;-1.1;0.4;0.4;-1.0;0.4;0.7;0.0;-0.7;-1.0;0.4;Strong Uptrend;Medium Downtrend;true;false;0.9
2024-08-01;true;true;false;true;false;true;true;true;1722501000000000;04:30 - 04:45;true;true;true;1722507600000000;1722514500000000;true;110.0;225.0;08:15 - 08:30;06:15 - 06:30;false;false;2.8;3.8;0.6;0.6;2.9;0.6;0.2;0.3;2.3;0.5;2.9;Medium Downtrend;Strong Downtrend;true;false;0.6
2024-08-02;false;true;true;true;true;true;false;false;1722586200000000;04:00 - 04:15;false;false;false;1722586800000000;1722586800000000;true;10.0;10.0;04:15 - 04:30;04:15 - 04:30;false;false;-0.1;-0.2;0.3;0.3;-0.2;1.9;0.8;0.0;0.9;-0.2;1.9;Strong Downtrend;Strong Uptrend;false;true;0.8
2024-08-05;true;true;true;true;true;true;false;false;1722853500000000;06:15 - 06:30;false;true;true;1722856500000000;1722860700000000;true;50.0;120.0;08:15 - 08:30;07:15 - 07:30;false;false;-0.8;-1.1;0.2;0.2;-0.9;0.2;0.0;0.7;-0.8;-0.9;1.0;Strong Downtrend;Strong Downtrend;false;true;1.3
2024-08-06;true;false;true;false;true;true;true;true;1722932400000000;04:15 - 04:30;false;true;true;1722932700000000;1722935100000000;true;5.0;45.0;05:00 - 05:15;04:15 - 04:30;false;true;-1.3;-1.3;0.0;0.0;-1.4;0.0;0.4;0.7;-0.2;-1.4;0.9;Medium Uptrend;Strong Uptrend;true;true;0.3
2024-08-07;true;true;false;true;false;true;true;true;1723019100000000;04:15 - 04:30;true;true;true;1723019400000000;1723021200000000;true;5.0;35.0;05:00 - 05:15;04:30 - 04:45;false;false;2.0;2.1;1.0;1.0;2.1;0.5;0.5;0.7;1.1;0.5;2.1;Strong Uptrend;Contraction;true;true;1.0
2024-08-08;false;true;true;true;true;true;false;false;1723107900000000;05:00 - 05:15;false;false;true;1723108200000000;1723108200000000;true;5.0;5.0;05:00 - 05:15;05:00 - 05:15;false;false;-0.3;-0.7;0.0;-0.2;-0.4;2.2;0.3;0.1;-0.2;-0.4;2.2;Strong Uptrend;Strong Downtrend;false;false;0.6
2024-08-09;false;false;true;false;true;true;true;true;1723190700000000;04:00 - 04:15;false;true;true;1723194300000000;1723198800000000;true;60.0;135.0;06:15 - 06:30;05:00 - 05:15;false;false;-0.8;-1.1;0.8;0.9;-0.9;0.8;0.3;0.2;-0.6;-0.9;0.8;Strong Downtrend;Strong Uptrend;false;true;0.8
2024-08-12;true;true;false;true;false;true;true;true;1723449900000000;04:00 - 04:15;true;true;true;1723457100000000;1723463700000000;true;120.0;230.0;07:45 - 08:00;06:00 - 06:15;false;false;1.7;2.1;0.4;0.3;1.8;0.4;0.7;0.8;1.6;0.4;1.8;Weak Downtrend;Strong Downtrend;false;true;2.8
2024-08-13;false;false;true;false;true;true;true;true;1723537500000000;04:15 - 04:30;false;true;true;1723538400000000;1723544400000000;true;15.0;115.0;06:15 - 06:30;04:30 - 04:45;;;-1.8;-2.1;0.1;0.1;-1.9;0.1;0.5;0.3;-0.8;-1.9;0.6;Weak Downtrend;Contraction;true;false;1.1
