date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;true;true;true;true;false;false;1254097500000000;09:15 - 09:30;true;false;false;1254097800000000;1254097800000000;true;5.0;5.0;09:30 - 09:45;09:30 - 09:45;;;1.3;1.3;0.9;0.9;1.4;-3.3;0.2;1.0;-2.7;-3.3;1.4;;Medium Uptrend;true;true;0.4
2009-09-29;true;false;true;false;true;true;true;true;1254184200000000;09:30 - 09:45;false;true;true;1254184500000000;1254185400000000;false;5.0;20.0;09:45 - 10:00;09:30 - 09:45;false;false;-1.3;-1.8;-0.2;-0.3;-1.4;-0.1;0.1;0.7;-0.7;-1.4;0.7;Strong Uptrend;Medium Downtrend;false;false;0.4
2009-09-30;true;true;false;true;false;true;true;true;1254270300000000;09:15 - 09:30;true;true;true;1254270600000000;1254284100000000;false;5.0;230.0;13:15 - 13:30;09:30 - 09:45;false;false;5.2;5.8;1.0;1.0;5.3;1.0;0.9;1.0;3.8;0.7;5.3;Contraction;Expansion;true;true;0.2
2009-10-01;true;false;true;false;true;true;true;true;1254356100000000;09:15 - 09:30;false;true;true;1254356400000000;1254372600000000;false;5.0;275.0;13:45 - 14:00;09:15 - 09:30;false;false;-5.3;-7.4;-0.4;-0.9;-5.4;-0.4;0.2;0.4;-4.3;-5.4;0.8;Strong Uptrend;Strong Uptrend;false;true;0.1
2009-10-02;false;false;true;false;true;true;true;true;1254441600000000;09:00 - 09:15;false;true;true;1254441900000000;1254442200000000;false;5.0;10.0;09:00 - 09:15;09:00 - 09:15;true;false;-0.3;-0.4;-0.2;-0.2;-0.4;0.3;0.5;0.0;-0.1;-0.4;0.3;Medium Downtrend;Expansion;false;true;0.2
2009-10-05;false;true;false;true;false;true;true;true;1254701100000000;09:00 - 09:15;true;true;true;1254701700000000;1254705600000000;true;10.0;75.0;10:15 - 10:30;09:15 - 09:30;;;4.4;4.4;0.0;0.0;4.5;0.0;1.0;0.6;4.0;0.0;4.5;Contraction;Strong Downtrend;false;false;0.1
2009-10-06;false;true;true;true;true;true;false;false;1254789900000000;09:45 - 10:00;false;false;false;1254790200000000;1254790800000000;false;5.0;15.0;10:00 - 10:15;09:45 - 10:00;false;false;-2.0;-4.1;-0.3;-0.9;-2.1;1.9;0.8;0.6;1.6;-2.1;1.9;Strong Uptrend;Medium Uptrend;true;false;0.3
2009-10-07;false;true;true;true;true;true;false;false;1254873600000000;09:00 - 09:15;false;false;false;1254875400000000;1254876300000000;true;30.0;45.0;09:45 - 10:00;09:30 - 09:45;false;false;-2.7;-4.0;0.6;0.8;-2.8;3.7;0.1;0.1;0.3;-2.8;3.7;Contraction;Medium Downtrend;true;false;0.2
2009-10-08;false;true;true;true;true;true;false;false;1254960000000000;09:00 - 09:15;true;false;true;1254961500000000;1254970800000000;true;25.0;180.0;12:00 - 12:15;09:15 - 09:30;false;false;10.9;25.9;-0.3;-2.4;11.0;-0.3;1.0;1.0;8.0;-0.3;11.0;Strong Downtrend;Strong Downtrend;true;true;0.1
2009-10-09;true;false;true;false;true;true;true;true;1255047300000000;09:15 - 09:30;false;true;true;1255049400000000;1255056600000000;true;35.0;155.0;11:45 - 12:00;09:45 - 10:00;false;false;-1.6;-2.2;0.6;0.8;-1.7;0.6;0.1;0.7;-1.3;-1.7;0.7;Strong Uptrend;Medium Uptrend;false;false;0.2
2009-10-12;false;true;true;true;true;true;false;false;1255305600000000;09:00 - 09:15;false;false;false;1255305900000000;1255308600000000;false;5.0;50.0;09:45 - 10:00;09:00 - 09:15;;;-5.2;-5.2;-0.2;-0.2;-5.3;1.3;0.2;0.2;0.5;-5.3;1.3;Strong Uptrend;Strong Uptrend;false;true;0.2
