date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;true;true;true;false;false;1254125400000000;04:00 - 04:15;false;false;false;1254126600000000;1254126600000000;true;20.0;20.0;04:30 - 04:45;04:30 - 04:45;false;false;-0.0;-0.1;0.2;0.2;-0.1;1.3;0.5;0.1;1.3;-0.1;1.3;Strong Downtrend;;false;true;1.7
2009-09-29;false;false;true;false;true;true;true;true;1254216000000000;05:15 - 05:30;false;true;true;1254223800000000;1254226500000000;true;130.0;175.0;08:15 - 08:30;07:30 - 07:45;false;false;-1.3;-1.8;0.3;0.2;-1.4;0.3;0.9;0.1;-0.7;-1.4;0.9;Strong Downtrend;Strong Uptrend;false;true;1.7
2009-09-30;false;true;true;true;true;true;false;false;1254299400000000;04:30 - 04:45;false;false;false;1254299700000000;1254299700000000;true;5.0;5.0;04:30 - 04:45;04:30 - 04:45;false;true;-0.0;-0.2;0.2;0.1;-0.1;3.6;0.6;0.4;0.8;-0.5;3.6;Strong Uptrend;Contraction;true;true;1.2
2009-10-01;true;false;true;false;true;true;true;true;1254385200000000;04:15 - 04:30;false;true;false;1254389700000000;1254399300000000;true;75.0;235.0;08:15 - 08:30;05:30 - 05:45;true;true;-0.8;-1.1;0.5;0.5;-0.9;0.5;0.0;0.1;0.0;-0.9;0.5;Expansion;Strong Uptrend;false;true;1.5
2009-10-02;false;false;true;false;true;true;true;true;1254481500000000;07:00 - 07:15;false;true;false;1254481800000000;1254481800000000;true;5.0;5.0;07:00 - 07:15;07:00 - 07:15;false;false;-0.1;-0.3;0.1;0.0;-0.2;0.7;1.0;0.3;0.5;-0.2;0.9;Strong Downtrend;Medium Downtrend;false;true;1.2
2009-10-05;false;false;true;false;true;true;true;true;1254738900000000;06:30 - 06:45;false;true;true;1254740100000000;1254745500000000;false;20.0;110.0;08:15 - 08:30;06:45 - 07:00;false;false;-0.7;-1.1;-0.1;-0.3;-0.8;-0.1;0.9;0.3;-0.8;-0.8;0.7;Expansion;Contraction;true;true;1.7
2009-10-06;true;true;false;true;false;true;true;true;1254819900000000;05:00 - 05:15;true;true;true;1254820200000000;1254820800000000;false;5.0;15.0;05:15 - 05:30;05:00 - 05:15;false;false;1.9;2.1;1.2;1.2;2.0;0.7;0.3;1.0;1.3;0.3;2.0;Strong Uptrend;Strong Uptrend;false;false;3.0
2009-10-07;false;false;true;false;true;true;true;true;1254914700000000;07:15 - 07:30;false;true;false;1254915000000000;1254916800000000;true;5.0;35.0;08:00 - 08:15;07:30 - 07:45;true;false;-0.3;-0.5;0.2;0.1;-0.4;0.5;0.9;0.5;0.3;-0.4;0.8;Weak Downtrend;Contraction;false;false;2.4
2009-10-08;true;false;true;false;true;true;true;true;1254990600000000;04:30 - 04:45;false;true;false;1254994500000000;1255000800000000;true;65.0;170.0;07:15 - 07:30;05:30 - 05:45;false;true;-0.2;-0.5;0.5;0.6;-0.3;0.6;0.3;0.7;0.3;-0.3;0.9;Strong Uptrend;Strong Downtrend;true;true;2.7
2009-10-09;true;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;true;false;;;;;;;0.1;0.5;0.1;-0.2;0.8;Expansion;Strong Uptrend;false;true;2.4
2009-10-12;false;true;false;true;false;true;true;true;1255337700000000;04:45 - 05:00;true;true;true;1255338000000000;1255347900000000;false;5.0;170.0;07:45 - 08:00;05:00 - 05:15;true;true;3.7;4.3;1.1;1.2;3.8;1.1;0.6;0.6;3.1;0.4;3.8;Weak Downtrend;Strong Uptrend;false;false;1.6
2009-10-13;true;true;false;true;false;true;true;true;1255421400000000;04:00 - 04:15;true;true;true;1255425300000000;1255431900000000;true;65.0;175.0;07:00 - 07:15;05:15 - 05:30;false;false;3.1;3.4;1.0;1.0;3.2;1.0;0.3;0.8;2.3;0.8;3.2;Strong Uptrend;Strong Downtrend;false;true;1.5
2009-10-14;false;true;true;true;true;true;false;false;1255509300000000;04:30 - 04:45;false;false;false;1255518300000000;1255521600000000;true;150.0;205.0;08:00 - 08:15;07:00 - 07:15;false;false;-0.6;-0.9;1.3;1.5;-0.7;1.3;0.9;0.3;0.3;-0.7;1.3;Medium Uptrend;Strong Uptrend;true;true;1.0
2009-10-15;true;true;true;true;true;true;false;false;1255593600000000;04:00 - 04:15;true;false;false;1255593900000000;1255594500000000;true;5.0;15.0;04:15 - 04:30;04:00 - 04:15;false;false;1.4;2.0;0.7;0.8;1.5;-3.1;0.5;0.8;-1.2;-3.1;1.5;Strong Downtrend;Strong Uptrend;true;true;0.9
2009-10-16;true;false;true;false;true;true;true;true;1255682400000000;04:30 - 04:45;false;true;true;1255683900000000;1255693500000000;false;25.0;185.0;07:45 - 08:00;05:00 - 05:15;true;true;-2.1;-2.7;-0.2;-0.4;-2.2;-0.2;0.3;0.6;-1.4;-2.2;0.9;Expansion;Strong Uptrend;true;false;1.9
2009-10-19;true;false;true;false;true;true;true;true;1255940100000000;04:15 - 04:30;false;true;true;1255941000000000;1255949100000000;true;15.0;150.0;06:45 - 07:00;04:30 - 04:45;false;false;-2.2;-2.8;0.2;0.1;-2.3;0.2;0.2;0.8;-1.2;-2.3;0.9;Weak Uptrend;Strong Uptrend;false;true;0.7
2009-10-20;false;false;true;false;true;true;true;true;1256027400000000;04:30 - 04:45;false;true;false;1256027700000000;1256028900000000;false;5.0;25.0;04:45 - 05:00;04:30 - 04:45;false;;-0.2;-0.4;0.0;-0.2;-0.3;0.6;1.0;0.1;0.3;-0.3;0.6;Expansion;Strong Uptrend;true;true;11.3
2009-10-21;true;false;true;false;true;true;true;true;1256112300000000;04:00 - 04:15;false;true;true;1256112600000000;1256125200000000;false;5.0;215.0;07:30 - 07:45;04:00 - 04:15;false;false;-4.4;-5.6;-0.6;-0.9;-4.5;-0.6;0.0;0.4;-3.5;-4.5;0.4;Medium Uptrend;Contraction;false;false;1.6
