date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;false;true;false;true;true;true;1254148500000000;10:30 - 10:45;true;true;true;1254149400000000;1254153900000000;true;15.0;90.0;12:00 - 12:15;10:45 - 11:00;false;false;2.2;3.1;0.9;1.0;2.3;0.6;0.2;0.9;1.6;0.6;2.3;Medium Uptrend;Strong Downtrend;false;false;1.2
2009-09-29;true;true;false;true;false;true;true;true;1254234900000000;10:30 - 10:45;true;true;false;1254235200000000;1254235200000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;1.3;1.6;1.2;1.3;1.4;0.4;0.6;0.8;0.9;0.4;1.5;Weak Downtrend;Strong Downtrend;false;true;2.5
2009-09-30;false;true;false;true;false;true;true;true;1254322500000000;10:45 - 11:00;true;true;true;1254322800000000;1254335100000000;false;5.0;210.0;14:15 - 14:30;11:00 - 11:15;false;false;3.8;4.7;1.2;1.4;3.9;1.2;0.9;0.2;3.5;0.1;3.9;Expansion;Strong Uptrend;false;false;4.7
2009-10-01;true;true;true;false;true;true;true;false;1254409500000000;11:00 - 11:15;false;true;false;1254410100000000;1254411300000000;true;10.0;30.0;11:30 - 11:45;11:15 - 11:30;true;false;-1.2;-1.6;0.0;-0.1;-1.3;0.7;0.3;0.4;0.2;-1.3;1.0;Medium Uptrend;Expansion;false;true;2.0
2009-10-02;true;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;false;true;;;;;;;0.0;0.8;0.6;-0.1;0.9;Expansion;Strong Downtrend;false;true;3.3
2009-10-05;false;true;true;true;true;true;false;false;1254753600000000;10:30 - 10:45;false;false;false;1254755100000000;1254756300000000;true;25.0;45.0;11:15 - 11:30;11:00 - 11:15;false;false;-0.5;-1.5;0.0;-0.4;-0.6;2.6;0.3;0.2;1.9;-0.6;2.6;Medium Downtrend;Expansion;false;true;1.5
2009-10-06;true;true;true;false;true;true;true;false;1254851400000000;13:45 - 14:00;false;true;false;1254852000000000;1254852600000000;true;10.0;20.0;14:00 - 14:15;14:00 - 14:15;false;false;-0.3;-0.4;0.0;-0.1;-0.4;0.2;0.0;0.7;0.1;-0.4;1.0;Weak Uptrend;Strong Uptrend;true;true;2.2
2009-10-07;true;false;true;false;true;true;true;true;1254925800000000;10:30 - 10:45;false;true;true;1254927900000000;1254938100000000;true;35.0;205.0;13:45 - 14:00;11:00 - 11:15;true;false;-2.9;-4.3;0.7;0.7;-3.0;0.7;0.5;0.8;-1.5;-3.0;1.0;Expansion;Weak Downtrend;false;true;1.7
2009-10-08;true;true;false;true;false;true;true;true;1255012200000000;10:30 - 10:45;true;true;true;1255012500000000;1255019700000000;false;5.0;125.0;12:30 - 12:45;10:30 - 10:45;false;false;4.8;6.1;1.1;1.2;4.9;1.1;0.2;1.0;3.1;0.8;4.9;Strong Downtrend;Strong Uptrend;false;true;1.7
2009-10-09;true;true;true;true;true;true;false;false;1255103700000000;11:45 - 12:00;false;false;false;1255104000000000;1255104600000000;true;5.0;15.0;12:00 - 12:15;12:00 - 12:15;true;false;-0.5;-1.0;0.1;-0.1;-0.6;1.1;0.3;0.5;1.0;-0.6;1.1;Medium Uptrend;Expansion;false;true;1.2
2009-10-12;false;false;true;false;true;true;true;true;1255358700000000;10:45 - 11:00;false;true;true;1255360500000000;1255361400000000;true;30.0;45.0;11:30 - 11:45;11:15 - 11:30;false;false;-0.7;-1.4;0.4;0.5;-0.8;0.7;0.4;0.1;-0.4;-0.8;0.7;Strong Uptrend;Weak Downtrend;true;true;1.3
2009-10-13;false;true;false;true;false;true;true;true;1255444200000000;10:30 - 10:45;true;true;true;1255447200000000;1255461900000000;true;50.0;295.0;15:15 - 15:30;11:15 - 11:30;true;false;1.6;1.7;0.2;0.1;1.7;0.2;1.0;0.9;1.5;0.2;1.7;Expansion;Strong Uptrend;true;true;2.1
2009-10-14;true;false;true;false;true;true;true;true;1255532400000000;11:00 - 11:15;false;true;false;1255532700000000;1255532700000000;false;5.0;5.0;11:00 - 11:15;11:00 - 11:15;false;true;-0.7;-1.0;-0.4;-0.6;-0.8;0.8;0.0;0.3;0.4;-0.8;0.8;Weak Uptrend;Medium Uptrend;false;false;1.7
2009-10-15;false;true;true;true;true;true;false;false;1255617300000000;10:30 - 10:45;false;false;false;1255617600000000;1255617600000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;-0.4;-0.9;-0.2;-0.6;-0.4;6.9;0.6;0.2;6.0;-0.6;6.9;Weak Downtrend;Strong Downtrend;true;false;1.9
2009-10-16;false;true;false;true;false;true;true;true;1255713600000000;13:15 - 13:30;true;true;true;1255714200000000;1255720200000000;true;10.0;110.0;15:00 - 15:15;13:30 - 13:45;false;false;2.3;2.8;0.9;1.0;2.4;0.9;0.9;0.7;2.2;0.4;2.4;Strong Downtrend;Expansion;false;true;2.5
2009-10-19;true;true;false;true;false;true;true;true;1255962900000000;10:30 - 10:45;true;true;true;1255964700000000;1255976700000000;true;30.0;230.0;14:15 - 14:30;11:00 - 11:15;true;true;2.4;3.7;0.1;-0.0;2.5;0.1;0.3;0.6;1.9;0.1;2.5;Medium Downtrend;Weak Uptrend;false;true;2.1
2009-10-20;false;false;true;false;true;true;true;true;1256052900000000;11:30 - 11:45;false;true;false;1256054100000000;1256054700000000;true;20.0;30.0;12:00 - 12:15;11:45 - 12:00;false;;-0.2;-0.4;0.1;0.0;-0.3;0.8;1.0;0.1;0.3;-0.3;0.8;Medium Downtrend;Expansion;false;true;1.7
2009-10-21;true;true;false;true;false;true;true;true;1256135400000000;10:30 - 10:45;true;true;true;1256135700000000;1256147700000000;false;5.0;205.0;13:45 - 14:00;10:30 - 10:45;false;false;5.2;7.3;1.6;2.0;5.3;1.6;0.2;0.6;3.7;0.6;5.3;Weak Downtrend;Medium Uptrend;false;true;2.7
2009-10-22;true;true;true;true;true;true;false;false;1256228100000000;12:15 - 12:30;false;false;false;1256228400000000;1256228700000000;false;5.0;10.0;12:15 - 12:30;12:15 - 12:30;true;false;-0.5;-1.2;0.0;-0.4;-0.6;1.0;0.4;0.6;0.8;-0.6;1.0;Expansion;Strong Downtrend;false;true;2.1
2009-10-23;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;true;false;;;;;;;0.9;0.4;0.0;-0.2;0.8;Weak Downtrend;Expansion;false;true;3.6
2009-10-26;true;false;true;false;true;true;true;true;1256569800000000;11:00 - 11:15;false;true;true;1256570100000000;1256577600000000;false;5.0;130.0;13:15 - 13:30;11:15 - 11:30;false;false;-3.2;-3.7;-0.3;-0.4;-3.3;-0.3;0.0;0.6;-2.6;-3.3;0.7;Strong Uptrend;Medium Uptrend;true;true;4.5
2009-10-27;true;true;false;true;false;true;true;true;1256654400000000;10:30 - 10:45;true;true;true;1256655900000000;1256658600000000;true;25.0;70.0;11:45 - 12:00;11:00 - 11:15;true;false;1.5;1.7;0.9;0.9;1.6;0.5;0.8;1.0;1.2;0.5;1.6;Expansion;Medium Uptrend;false;false;5.7
2009-10-28;false;false;true;false;true;true;true;true;1256741100000000;10:45 - 11:00;false;true;true;1256742900000000;1256758500000000;true;30.0;290.0;15:30 - 15:45;11:15 - 11:30;false;false;-0.9;-1.6;0.2;-0.1;-1.0;0.2;0.6;0.2;-0.9;-1.0;0.4;Strong Downtrend;Strong Downtrend;false;true;4.7
2009-10-29;true;true;false;true;false;true;true;true;1256828100000000;10:45 - 11:00;true;true;true;1256828400000000;1256834100000000;true;5.0;100.0;12:30 - 12:45;11:00 - 11:15;false;false;2.3;3.0;1.0;1.3;2.4;1.0;0.3;0.8;1.8;0.6;2.4;Strong Uptrend;Weak Uptrend;true;true;2.5
2009-10-30;false;false;true;false;true;true;true;true;1256916000000000;11:15 - 11:30;false;true;true;1256919000000000;1256927100000000;true;50.0;185.0;14:15 - 14:30;12:00 - 12:15;false;false;-1.0;-1.3;0.1;0.1;-1.1;0.1;0.7;0.0;-1.0;-1.1;0.3;Strong Downtrend;Medium Downtrend;false;true;5.2
2009-11-02;true;true;true;true;false;true;true;false;1257176100000000;10:30 - 10:45;true;true;false;1257177600000000;1257180900000000;true;25.0;80.0;11:45 - 12:00;11:00 - 11:15;false;false;1.2;1.3;0.5;0.5;1.3;-0.1;0.1;0.9;1.0;-0.1;1.3;Expansion;Strong Uptrend;true;true;1.9
2009-11-03;true;true;false;true;false;true;true;true;1257262800000000;10:30 - 10:45;true;true;true;1257263100000000;1257275400000000;false;5.0;210.0;14:00 - 14:15;10:45 - 11:00;false;false;3.9;5.9;1.3;1.8;4.0;1.3;0.3;0.6;3.6;0.4;4.0;Strong Downtrend;Medium Downtrend;false;true;2.1
2009-11-04;false;true;true;true;true;true;false;false;1257348600000000;10:30 - 10:45;true;false;false;1257348900000000;1257350100000000;false;5.0;25.0;10:45 - 11:00;10:30 - 10:45;false;false;1.6;2.7;1.1;1.8;1.7;-0.4;0.7;0.7;0.5;-0.4;1.9;Weak Uptrend;Medium Uptrend;true;true;0.9
2009-11-06;false;false;true;false;true;true;true;true;1257521700000000;10:30 - 10:45;false;true;false;1257522300000000;1257531000000000;true;10.0;155.0;13:00 - 13:15;10:45 - 11:00;false;false;-0.4;-0.6;0.1;0.1;-0.5;0.1;0.3;0.0;0.0;-0.5;0.1;Strong Downtrend;Strong Uptrend;false;true;3.5
2009-11-09;true;true;false;true;false;true;true;true;1257782400000000;11:00 - 11:15;true;true;false;1257782700000000;1257789000000000;false;5.0;110.0;12:45 - 13:00;11:00 - 11:15;false;false;2.4;3.7;1.1;1.5;2.5;0.6;0.2;0.5;0.8;0.2;2.5;Medium Uptrend;Strong Uptrend;false;true;1.5
2009-11-10;true;true;true;false;true;true;true;false;1257869100000000;11:00 - 11:15;false;true;true;1257869400000000;1257874200000000;true;5.0;85.0;12:30 - 12:45;11:00 - 11:15;false;false;-2.0;-2.7;0.0;-0.2;-2.1;0.0;0.1;0.9;-0.7;-2.1;1.0;Strong Uptrend;Strong Downtrend;true;true;1.6
2009-11-11;true;false;true;false;true;true;true;true;1257954300000000;10:45 - 11:00;false;true;true;1257955200000000;1257965400000000;true;15.0;185.0;13:45 - 14:00;11:00 - 11:15;false;false;-1.3;-2.3;0.0;-0.2;-1.4;0.0;0.5;0.7;-0.3;-1.4;0.7;Strong Uptrend;Expansion;true;true;1.2
2009-11-12;false;false;true;false;true;true;true;true;1258039800000000;10:30 - 10:45;false;true;true;1258041000000000;1258058100000000;true;20.0;305.0;15:30 - 15:45;10:45 - 11:00;false;false;-1.3;-2.2;0.0;-0.2;-1.4;0.0;0.5;0.2;-1.2;-1.4;0.2;Strong Downtrend;Medium Downtrend;false;true;3.0
2009-11-13;false;true;true;true;false;true;true;false;1258127400000000;10:45 - 11:00;true;true;true;1258128900000000;1258132800000000;true;25.0;90.0;12:15 - 12:30;11:15 - 11:30;false;false;2.1;2.6;0.8;0.9;2.2;0.8;0.9;0.4;1.2;-0.0;2.2;Strong Downtrend;Medium Uptrend;true;false;1.5
2009-11-16;true;true;false;true;false;true;true;true;1258386600000000;10:45 - 11:00;true;true;true;1258392000000000;1258398900000000;true;90.0;205.0;14:15 - 14:30;12:15 - 12:30;false;false;1.5;1.7;0.9;1.0;1.6;0.9;0.1;0.9;1.3;0.8;1.6;Expansion;Strong Uptrend;false;true;6.8
2009-11-17;true;true;false;true;false;true;true;true;1258478400000000;12:15 - 12:30;true;true;true;1258478700000000;1258483500000000;true;5.0;85.0;13:45 - 14:00;12:15 - 12:30;true;false;1.7;2.5;1.0;1.2;1.8;0.9;0.3;0.8;1.2;0.1;1.8;Expansion;Strong Downtrend;false;false;2.5
2009-11-19;false;false;true;false;true;true;true;true;1258644600000000;10:30 - 10:45;false;true;true;1258644900000000;1258646400000000;false;5.0;30.0;11:00 - 11:15;10:30 - 10:45;false;false;-0.6;-0.7;-0.1;-0.2;-0.7;0.1;0.9;0.1;-0.2;-0.7;0.1;Weak Downtrend;Strong Downtrend;false;true;3.6
2009-11-20;true;true;false;true;false;true;true;true;1258735800000000;11:45 - 12:00;true;true;true;1258736100000000;1258736100000000;false;5.0;5.0;11:45 - 12:00;11:45 - 12:00;false;false;2.0;2.6;1.7;2.2;2.0;0.2;0.4;0.4;1.1;0.1;2.0;Strong Downtrend;Strong Downtrend;false;true;1.8
