date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;false;true;true;true;false;1254100500000000;10:15 - 10:30;false;true;false;1254100800000000;1254102900000000;false;5.0;40.0;10:45 - 11:00;10:15 - 10:30;;;-1.2;-1.5;-0.3;-0.4;-1.3;0.3;1.0;0.4;0.2;-1.3;1.1;;Strong Uptrend;true;true;0.2
2009-09-29;false;false;true;false;true;true;true;true;1254182700000000;09:00 - 09:15;false;true;false;1254183000000000;1254184800000000;false;5.0;35.0;09:30 - 09:45;09:00 - 09:15;false;false;-1.6;-2.2;0.0;-0.3;-1.6;0.6;1.0;0.2;0.2;-1.6;0.6;Strong Uptrend;Medium Uptrend;false;true;0.2
2009-09-30;true;true;true;true;true;true;false;false;1254269400000000;09:00 - 09:15;true;true;true;1254274500000000;1254276600000000;true;85.0;120.0;11:00 - 11:15;10:30 - 10:45;false;false;2.2;4.0;0.0;-0.5;2.3;-0.2;0.5;0.8;1.3;-0.2;2.3;Strong Downtrend;Expansion;false;true;0.1
2009-10-01;true;true;true;true;true;true;false;false;1254357300000000;09:30 - 09:45;true;false;false;1254357600000000;1254357600000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;false;2.0;2.7;1.2;1.5;2.0;-1.8;0.5;0.7;-1.1;-1.8;2.0;Contraction;Strong Downtrend;false;true;0.2
2009-10-02;false;true;true;false;true;true;true;false;1254441900000000;09:00 - 09:15;false;true;true;1254442200000000;1254442200000000;false;5.0;5.0;09:00 - 09:15;09:00 - 09:15;false;false;-1.0;-1.2;-0.4;-0.5;-1.0;1.2;0.6;0.0;-0.2;-1.2;1.2;Strong Downtrend;Strong Downtrend;true;true;0.2
2009-10-05;false;true;false;true;false;true;true;true;1254701100000000;09:00 - 09:15;true;true;false;1254701700000000;1254705600000000;true;10.0;75.0;10:15 - 10:30;09:15 - 09:30;;;1.8;2.3;0.7;0.5;1.8;0.5;1.0;0.7;0.8;0.5;1.8;Medium Uptrend;Expansion;true;true;0.3
2009-10-06;false;true;true;true;false;true;true;false;1254796500000000;11:30 - 11:45;true;true;false;1254796800000000;1254797100000000;false;5.0;10.0;11:45 - 12:00;11:30 - 11:45;false;false;1.5;2.3;1.0;1.4;1.5;-0.1;0.9;0.4;0.7;-0.3;1.5;Strong Uptrend;Strong Uptrend;true;true;0.2
2009-10-07;true;true;true;true;true;true;false;false;1254876000000000;09:30 - 09:45;false;false;false;1254877800000000;1254881100000000;true;30.0;85.0;11:00 - 11:15;10:00 - 10:15;false;false;-2.6;-9.0;1.0;2.0;-2.7;6.0;0.3;0.6;2.3;-2.7;6.0;Contraction;Medium Downtrend;true;true;0.1
2009-10-08;false;true;true;true;true;true;false;false;1254961200000000;09:15 - 09:30;false;false;false;1254961500000000;1254961500000000;true;5.0;5.0;09:15 - 09:30;09:15 - 09:30;false;false;-0.6;-1.0;0.2;0.0;-0.6;4.8;0.2;0.2;3.4;-0.6;4.8;Strong Uptrend;Medium Downtrend;false;false;0.2
2009-10-09;false;true;true;true;true;true;false;false;1255046700000000;09:00 - 09:15;false;false;true;1255051200000000;1255057200000000;true;75.0;175.0;12:00 - 12:15;10:15 - 10:30;false;false;-2.6;-9.0;2.0;5.0;-2.7;2.0;0.3;0.3;-1.0;-2.7;2.0;Strong Uptrend;Weak Downtrend;true;true;0.1
