date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2025-01-15;false;true;true;true;true;true;false;false;1736899200000000;09:00 - 09:15;false;false;false;1736904900000000;1736908500000000;true;95.0;155.0;11:30 - 11:45;10:30 - 10:45;;;-2.2;-2.7;3.2;3.6;-2.3;4.1;1.0;0.1;1.5;-2.3;4.1;Contraction;Strong Uptrend;true;true;0.1
2025-01-16;true;true;true;false;true;true;true;false;1736986500000000;09:15 - 09:30;false;true;true;1736986800000000;1736998200000000;false;5.0;195.0;12:30 - 12:45;09:15 - 09:30;false;false;-3.9;-5.6;-0.3;-0.6;-4.0;-0.3;0.3;0.8;-2.8;-4.0;1.2;Strong Uptrend;Strong Downtrend;true;true;0.3
2025-01-17;true;true;false;true;false;true;true;true;1737072000000000;09:00 - 09:15;true;true;true;1737074700000000;1737080400000000;true;45.0;140.0;11:15 - 11:30;09:45 - 10:00;false;false;9.0;9.0;0.9;0.9;9.1;0.9;0.1;0.9;6.2;0.9;9.1;Contraction;Strong Uptrend;true;true;0.3
2025-01-20;true;true;true;true;false;true;true;false;1737339300000000;11:15 - 11:30;true;true;true;1737342000000000;1737349800000000;true;45.0;175.0;14:00 - 14:15;12:00 - 12:15;;;2.0;2.2;0.9;1.0;2.0;0.9;0.2;0.8;1.7;-0.1;2.0;Strong Downtrend;Strong Downtrend;true;false;3.2
2025-01-21;false;false;true;false;true;true;true;true;1737417900000000;09:00 - 09:15;false;true;true;1737418200000000;1737423000000000;true;5.0;85.0;10:30 - 10:45;09:00 - 09:15;false;false;-1.7;-1.7;0.4;0.4;-1.8;0.4;0.9;0.5;-0.8;-1.8;0.7;Strong Downtrend;Strong Uptrend;false;false;0.6
2025-01-22;false;true;false;true;false;true;true;true;1737504000000000;09:00 - 09:15;true;true;true;1737505500000000;1737507300000000;true;25.0;55.0;09:45 - 10:00;09:15 - 09:30;true;;3.8;7.2;0.7;0.8;3.9;0.3;0.8;0.7;1.1;0.3;3.9;Contraction;Expansion;false;true;0.3
2025-01-23;true;true;true;true;true;true;false;false;1737590700000000;09:00 - 09:15;true;false;false;1737591000000000;1737592200000000;false;5.0;25.0;09:30 - 09:45;09:00 - 09:15;false;false;2.8;2.8;1.2;1.2;2.9;-8.3;0.2;0.5;-4.8;-8.3;2.9;Strong Downtrend;Medium Uptrend;false;true;0.1
2025-01-24;true;true;true;true;true;true;false;false;1737677700000000;09:15 - 09:30;false;false;false;1737678000000000;1737689100000000;false;5.0;190.0;12:15 - 12:30;09:15 - 09:30;false;true;-4.7;-5.6;-0.6;-0.7;-4.8;3.2;0.4;0.8;2.7;-4.8;3.2;Strong Uptrend;Expansion;false;true;0.3
2025-01-27;false;true;true;false;true;true;true;false;1737937200000000;09:15 - 09:30;false;true;true;1737937500000000;1737954600000000;true;5.0;290.0;14:00 - 14:15;09:15 - 09:30;;;-3.7;-5.6;0.0;-0.2;-3.8;0.0;0.8;0.1;-3.4;-3.8;1.1;Strong Downtrend;Strong Uptrend;true;false;0.4
2025-01-28;true;true;true;true;true;true;false;false;1738022400000000;09:00 - 09:15;true;false;true;1738027500000000;1738038900000000;true;85.0;275.0;13:30 - 13:45;10:15 - 10:30;false;false;4.1;4.2;-0.6;-0.7;4.2;-0.6;0.1;1.0;3.2;-0.6;4.2;Strong Uptrend;Strong Downtrend;true;false;0.7
