date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2025-01-14;false;true;true;true;true;true;false;false;1736843400000000;03:30 - 03:45;false;false;false;1736843700000000;1736843700000000;true;5.0;5.0;03:30 - 03:45;03:30 - 03:45;;;-0.1;-0.2;0.0;0.0;-0.2;6.1;0.6;0.0;0.5;-0.2;6.1;;;;;
2025-01-15;true;false;true;false;true;true;true;true;1736933100000000;04:15 - 04:30;false;true;true;1736933400000000;1736940600000000;false;5.0;125.0;06:30 - 06:45;04:30 - 04:45;false;;-2.8;-2.8;-0.4;-0.4;-2.9;-0.2;0.2;1.0;-0.4;-2.9;0.9;Strong Uptrend;Contraction;false;false;2.1
2025-01-16;false;false;true;false;true;true;true;true;1737016200000000;03:30 - 03:45;false;true;true;1737016800000000;1737018300000000;false;10.0;35.0;04:00 - 04:15;03:30 - 03:45;false;false;-1.7;-1.7;-0.1;-0.1;-1.8;0.3;1.0;0.0;-1.4;-1.8;0.3;Strong Downtrend;Strong Uptrend;false;true;1.4
2025-01-17;true;true;false;true;false;true;true;true;1737102600000000;03:30 - 03:45;true;true;true;1737103500000000;1737108600000000;false;15.0;100.0;05:00 - 05:15;03:45 - 04:00;false;false;6.0;6.6;1.3;1.4;6.0;1.3;0.3;0.7;4.3;1.1;6.0;Strong Uptrend;Contraction;true;true;1.0
2025-01-20;true;true;true;true;true;true;false;false;1737361800000000;03:30 - 03:45;true;false;false;;;false;;;;;false;false;;;;;1.0;-4.8;0.0;0.8;-2.5;-4.8;1.1;Strong Uptrend;Strong Downtrend;true;true;0.3
2025-01-21;true;true;true;true;true;true;false;false;1737448800000000;03:30 - 03:45;false;false;false;1737449100000000;1737449100000000;false;5.0;5.0;03:45 - 04:00;03:45 - 04:00;false;true;-0.4;-0.4;-0.3;-0.3;-0.5;4.9;0.4;0.7;3.3;-0.5;4.9;Strong Downtrend;Strong Downtrend;false;true;0.5
2025-01-22;false;true;false;true;false;true;true;true;1737535500000000;03:45 - 04:00;true;true;true;1737540300000000;1737546600000000;true;80.0;185.0;06:45 - 07:00;05:00 - 05:15;false;;3.7;4.1;0.9;0.9;3.8;0.9;0.9;0.2;1.9;0.4;3.8;Strong Downtrend;Contraction;true;true;1.1
2025-01-23;false;false;true;false;true;true;true;true;1737621900000000;03:45 - 04:00;false;true;true;1737623400000000;1737634800000000;true;25.0;215.0;07:15 - 07:30;04:00 - 04:15;false;false;-1.7;-1.8;0.1;0.2;-1.8;0.1;0.9;0.1;-0.5;-1.8;0.4;Strong Downtrend;Strong Downtrend;true;false;2.3
2025-01-24;true;true;false;true;false;true;true;true;1737707700000000;03:30 - 03:45;true;true;false;1737721500000000;1737723600000000;true;230.0;265.0;08:00 - 08:15;07:15 - 07:30;false;false;1.6;1.6;0.3;0.3;1.7;0.3;0.1;1.0;0.8;0.3;1.7;Strong Uptrend;Strong Uptrend;false;false;2.4
2025-01-27;false;true;true;true;true;true;false;false;1737966600000000;03:30 - 03:45;false;false;false;1737968700000000;1737975000000000;true;35.0;140.0;05:45 - 06:00;04:00 - 04:15;false;false;-0.8;-1.0;2.0;2.3;-0.9;4.0;0.9;0.5;3.6;-0.9;4.0;Strong Downtrend;Strong Downtrend;false;true;0.9
2025-01-28;true;true;true;true;true;true;false;false;1738059600000000;05:15 - 05:30;true;false;false;;;false;;;;;false;false;;;;;1.0;-0.6;0.7;0.8;0.4;-0.6;1.2;Strong Uptrend;Strong Uptrend;true;false;1.3
2025-01-29;false;false;true;false;true;true;true;true;1738139700000000;03:30 - 03:45;false;true;true;1738140000000000;1738157100000000;false;5.0;290.0;08:15 - 08:30;03:30 - 03:45;;;-11.3;-11.3;-0.9;-0.9;-11.4;-0.9;1.0;0.5;-10.8;-11.4;0.4;Strong Uptrend;Strong Downtrend;true;true;0.2
2025-01-30;true;true;false;true;false;true;true;true;1738226700000000;03:45 - 04:00;true;true;true;1738227000000000;1738243200000000;false;5.0;275.0;08:15 - 08:30;03:45 - 04:00;false;;5.1;7.9;1.3;1.6;5.2;1.3;0.9;0.9;5.2;0.6;5.2;Strong Uptrend;Medium Uptrend;false;false;0.7
2025-01-31;false;true;true;true;true;true;false;false;1738313100000000;03:45 - 04:00;false;false;false;1738314300000000;1738314900000000;true;20.0;30.0;04:15 - 04:30;04:00 - 04:15;false;false;-0.4;-0.6;0.2;0.1;-0.5;11.2;0.4;0.0;10.5;-0.5;11.2;Medium Downtrend;Medium Downtrend;false;false;0.7
2025-02-03;false;true;true;true;true;true;false;false;1738571400000000;03:30 - 03:45;false;false;true;1738571700000000;1738571700000000;false;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;false;-0.8;-0.8;-0.6;-0.6;-0.9;1.4;1.0;0.0;-0.3;-0.9;1.4;Strong Downtrend;Strong Downtrend;false;true;0.7
2025-02-04;true;true;true;true;true;true;false;false;1738658400000000;03:30 - 03:45;false;false;false;1738658700000000;1738658700000000;false;5.0;5.0;03:45 - 04:00;03:45 - 04:00;false;false;-0.2;-0.5;-0.1;-0.3;-0.3;4.1;0.5;0.6;4.0;-0.4;4.1;Strong Downtrend;Strong Uptrend;true;false;1.1
2025-02-05;true;true;true;true;true;true;false;false;1738745400000000;03:45 - 04:00;true;false;true;1738748700000000;1738754100000000;true;55.0;145.0;06:15 - 06:30;04:45 - 05:00;false;false;3.6;4.9;-0.7;-1.1;3.7;-0.7;0.1;0.4;3.0;-0.7;3.7;Strong Uptrend;Strong Downtrend;true;false;0.4
