date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2025-01-14;false;true;true;true;true;true;false;false;1736870400000000;11:00 - 11:15;false;false;false;1736870700000000;1736870700000000;true;5.0;5.0;11:00 - 11:15;11:00 - 11:15;;;-0.3;-0.4;0.0;0.0;-0.4;1.0;0.5;0.0;0.7;-0.4;1.0;Medium Uptrend;;false;false;3.8
2025-01-15;true;true;false;true;false;true;true;true;1736953200000000;10:00 - 10:15;true;true;true;1736953500000000;1736972400000000;true;5.0;320.0;15:15 - 15:30;10:00 - 10:15;false;;3.7;4.6;0.9;0.9;3.8;0.9;0.3;1.0;3.0;0.9;3.8;Strong Uptrend;Strong Uptrend;false;true;3.3
2025-01-16;false;true;false;true;false;true;true;true;1737043200000000;11:00 - 11:15;true;true;false;1737047700000000;1737048900000000;true;75.0;95.0;12:30 - 12:45;12:15 - 12:30;false;false;1.3;1.4;0.9;0.9;1.4;0.7;1.0;0.2;1.0;0.1;1.4;Strong Downtrend;Strong Downtrend;false;true;2.4
2025-01-17;true;true;false;true;false;true;true;true;1737126300000000;10:00 - 10:15;true;true;true;1737127500000000;1737147000000000;true;20.0;345.0;15:45 - 16:00;10:15 - 10:30;false;false;3.7;5.1;0.2;0.1;3.8;0.2;0.8;0.8;3.5;0.2;3.8;Strong Uptrend;Strong Uptrend;true;true;3.1
2025-01-20;true;true;true;true;true;true;false;false;1737385800000000;10:00 - 10:15;true;false;false;1737389400000000;1737391200000000;true;60.0;90.0;11:30 - 11:45;11:00 - 11:15;false;false;2.2;2.4;-2.2;-2.6;2.3;-5.1;0.2;1.0;-0.4;-5.1;2.3;Strong Downtrend;Strong Uptrend;true;false;1.0
2025-01-21;false;true;true;true;true;true;false;false;1737471600000000;10:00 - 10:15;false;false;false;1737471900000000;1737471900000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;-0.2;-0.3;0.1;0.0;-0.3;1.6;0.9;0.1;0.6;-0.3;1.6;Strong Uptrend;Strong Downtrend;false;false;3.3
2025-01-22;false;false;true;false;true;true;true;true;1737561900000000;11:00 - 11:15;false;true;true;1737567600000000;1737572100000000;true;95.0;170.0;13:45 - 14:00;12:30 - 12:45;false;;-0.6;-1.8;0.4;0.2;-0.7;0.4;0.8;0.6;-0.3;-0.7;0.8;Expansion;Strong Downtrend;true;true;2.9
2025-01-23;true;true;true;false;true;true;true;false;1737645300000000;10:15 - 10:30;false;true;false;1737648900000000;1737663000000000;true;60.0;295.0;15:00 - 15:15;11:15 - 11:30;false;false;-0.6;-0.7;1.1;1.2;-0.7;1.2;0.0;0.7;0.3;-0.7;1.2;Medium Uptrend;Strong Downtrend;false;true;3.7
2025-01-24;true;false;true;false;true;true;true;true;1737733200000000;10:30 - 10:45;false;true;true;1737741900000000;1737752100000000;true;145.0;315.0;15:45 - 16:00;13:00 - 13:15;false;false;-1.0;-1.8;0.7;0.7;-1.1;0.7;0.4;0.5;-1.0;-1.1;0.7;Expansion;Strong Uptrend;true;true;1.6
2025-01-27;true;true;true;true;true;true;false;false;1737992100000000;10:30 - 10:45;true;false;false;1737992400000000;1737992400000000;true;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;1.1;1.2;1.0;1.1;1.2;-0.8;0.2;1.0;1.0;-0.8;1.2;Strong Uptrend;Strong Downtrend;false;false;2.8
2025-01-28;true;true;true;true;true;true;false;false;1738076400000000;10:00 - 10:15;true;false;false;1738077000000000;1738078200000000;true;10.0;30.0;10:30 - 10:45;10:00 - 10:15;false;false;2.6;4.1;0.7;0.6;2.7;-3.1;0.7;0.9;-2.9;-3.1;2.7;Strong Downtrend;Strong Uptrend;true;false;1.1
2025-01-29;false;true;true;true;true;true;false;false;1738167300000000;11:15 - 11:30;false;false;false;1738176900000000;1738178700000000;true;160.0;190.0;14:15 - 14:30;13:45 - 14:00;;;-0.7;-0.8;1.6;1.7;-0.8;3.1;0.9;0.5;1.6;-0.8;3.1;Strong Downtrend;Strong Uptrend;false;true;6.0
2025-01-30;true;false;true;false;true;true;true;true;1738269300000000;15:30 - 15:45;false;true;true;1738269900000000;1738270500000000;true;10.0;20.0;15:45 - 16:00;15:45 - 16:00;false;;-0.6;-0.8;0.0;-0.2;-0.7;0.0;0.2;0.6;-0.6;-0.7;0.9;Strong Uptrend;Strong Uptrend;true;true;2.6
2025-01-31;false;true;true;true;true;true;false;false;1738336800000000;10:15 - 10:30;true;false;false;1738337100000000;1738339200000000;false;5.0;40.0;11:00 - 11:15;10:15 - 10:30;false;false;2.8;5.3;1.4;2.3;2.9;-1.4;0.8;0.5;-0.5;-1.4;2.9;Strong Uptrend;Medium Downtrend;false;false;3.3
2025-02-03;true;true;false;true;false;true;true;true;1738596000000000;10:15 - 10:30;true;true;true;1738596600000000;1738612200000000;false;10.0;270.0;14:45 - 15:00;10:30 - 10:45;false;false;2.2;2.4;1.2;1.3;2.3;1.2;0.1;0.8;1.6;0.6;2.3;Expansion;Strong Downtrend;false;false;2.0
2025-02-04;true;true;true;true;true;true;false;false;1738681800000000;10:00 - 10:15;false;false;true;1738696500000000;1738700700000000;true;245.0;315.0;15:15 - 15:30;14:15 - 14:30;false;false;-1.2;-1.8;1.4;1.6;-1.3;1.4;0.1;0.4;-1.0;-1.3;1.4;Strong Uptrend;Strong Downtrend;false;false;1.6
2025-02-05;false;false;true;false;true;true;true;true;1738767600000000;10:00 - 10:15;false;true;true;1738769100000000;1738781400000000;true;25.0;230.0;13:45 - 14:00;10:15 - 10:30;false;false;-1.3;-2.3;0.3;0.0;-1.4;0.3;1.0;0.3;-0.3;-1.4;0.4;Strong Uptrend;Strong Uptrend;true;false;2.8
2025-02-06;false;false;true;false;true;true;true;true;1738856100000000;10:30 - 10:45;false;true;true;1738856400000000;1738864800000000;false;5.0;145.0;13:00 - 13:15;10:30 - 10:45;false;false;-1.5;-2.3;-0.2;-0.5;-1.6;-0.2;0.7;0.1;-0.5;-1.6;0.5;Strong Downtrend;Strong Uptrend;true;false;2.3
2025-02-07;false;false;true;false;true;true;true;true;1738940400000000;10:00 - 10:15;false;true;true;1738940700000000;1738961700000000;false;5.0;355.0;15:45 - 16:00;10:00 - 10:15;false;false;-9.0;-13.9;-0.5;-1.1;-9.0;-0.5;0.3;0.3;-8.6;-9.0;0.2;Strong Uptrend;Strong Uptrend;true;true;1.1
2025-02-10;false;true;false;true;false;true;true;true;1739203500000000;11:00 - 11:15;true;true;true;1739207700000000;1739214600000000;true;70.0;185.0;14:00 - 14:15;12:15 - 12:30;false;false;1.8;2.5;0.3;0.3;1.9;0.3;0.7;0.4;1.6;0.2;1.9;Weak Uptrend;Medium Uptrend;true;true;1.5
2025-02-11;true;true;true;true;true;true;false;false;1739291100000000;11:15 - 11:30;false;true;true;1739291400000000;1739302800000000;true;5.0;195.0;14:30 - 14:45;11:30 - 11:45;false;false;-4.3;-5.3;0.0;0.0;-4.4;0.0;0.1;0.8;-3.5;-4.4;1.4;Strong Downtrend;Strong Uptrend;true;false;2.2
