date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;true;true;true;true;true;true;false;false;1694995200000000;09:00 - 09:15;true;false;true;1694995800000000;1694999100000000;false;10.0;65.0;10:00 - 10:15;09:00 - 09:15;;;2.1;2.3;1.1;1.1;2.2;-0.6;0.2;0.9;1.1;-0.6;2.2;;Weak Uptrend;true;true;0.4
2023-09-19;false;true;true;true;true;true;false;false;1695081600000000;09:00 - 09:15;true;false;false;1695082200000000;1695082800000000;true;10.0;20.0;09:15 - 09:30;09:00 - 09:15;false;false;2.3;3.8;1.0;1.5;2.4;-7.8;0.6;0.1;-6.8;-7.8;2.4;Strong Uptrend;Strong Uptrend;false;true;0.2
2023-09-20;true;true;true;true;true;true;false;false;1695168000000000;09:00 - 09:15;true;false;false;1695168600000000;1695176100000000;true;10.0;135.0;11:15 - 11:30;09:00 - 09:15;false;false;7.0;42.9;-1.0;-8.9;7.1;-1.9;0.4;0.6;0.4;-1.9;7.1;Strong Downtrend;Strong Uptrend;true;false;0.1
2023-09-21;false;false;true;false;true;true;true;true;1695254700000000;09:00 - 09:15;false;true;true;1695255300000000;1695263400000000;true;10.0;145.0;11:30 - 11:45;09:15 - 09:30;false;false;-4.9;-8.9;0.4;0.1;-5.0;0.4;0.9;0.3;-2.1;-5.0;0.4;Strong Downtrend;Weak Uptrend;true;true;0.3
2023-09-22;true;true;true;false;true;true;true;false;1695341100000000;09:00 - 09:15;false;true;true;1695343800000000;1695347400000000;true;45.0;105.0;10:45 - 11:00;09:45 - 10:00;false;false;-6.1;-8.7;0.6;0.7;-6.2;0.6;0.1;0.5;-1.9;-6.2;1.4;Medium Uptrend;Contraction;true;false;0.1
2023-09-25;false;true;true;true;true;true;false;false;1695603000000000;09:45 - 10:00;true;false;false;1695603300000000;1695603300000000;false;5.0;5.0;09:45 - 10:00;09:45 - 10:00;;;1.8;2.2;1.4;1.7;1.9;-0.9;0.4;0.2;0.5;-0.9;1.9;Contraction;Strong Downtrend;false;true;0.3
2023-09-26;false;false;true;false;true;true;true;true;1695686400000000;09:00 - 09:15;false;true;true;1695686700000000;1695697800000000;true;5.0;190.0;12:00 - 12:15;09:00 - 09:15;false;false;-3.6;-5.1;0.2;0.2;-3.7;0.5;0.7;0.0;-2.0;-3.7;0.5;Strong Downtrend;Strong Uptrend;false;true;0.3
2023-09-27;false;false;true;false;true;true;true;true;1695774300000000;09:15 - 09:30;false;true;true;1695779400000000;1695792000000000;true;85.0;295.0;14:15 - 14:30;10:45 - 11:00;false;false;-2.5;-4.4;0.4;0.7;-2.6;0.4;0.6;0.2;-1.7;-2.6;0.9;Strong Downtrend;Strong Downtrend;false;true;0.2
2023-09-28;true;true;true;true;true;true;false;false;1695859200000000;09:00 - 09:15;true;false;true;1695859500000000;1695863400000000;false;5.0;70.0;10:00 - 10:15;09:00 - 09:15;false;false;2.8;2.9;1.2;1.2;2.9;-1.1;0.1;0.7;1.1;-1.1;2.9;Strong Downtrend;Strong Uptrend;true;true;0.3
2023-09-29;true;true;true;true;true;true;false;false;1695945900000000;09:00 - 09:15;false;false;false;1695948600000000;1695948600000000;true;45.0;45.0;09:45 - 10:00;09:45 - 10:00;false;false;-2.2;-7.0;1.5;4.3;-2.3;11.8;0.1;0.2;10.1;-2.3;11.8;Strong Uptrend;Medium Downtrend;false;true;0.1
2023-10-02;true;true;false;true;false;true;true;true;1696205700000000;09:15 - 09:30;true;true;true;1696207800000000;1696219500000000;true;35.0;230.0;13:00 - 13:15;09:45 - 10:00;;;2.0;2.4;0.8;0.8;2.0;0.8;0.5;1.0;1.4;0.6;2.0;Strong Downtrend;Strong Downtrend;false;true;0.5
2023-10-03;true;false;true;false;true;true;true;true;1696291500000000;09:00 - 09:15;false;true;true;1696294800000000;1696307100000000;false;55.0;260.0;13:15 - 13:30;10:00 - 10:15;false;false;-2.4;-2.6;-0.2;-0.3;-2.5;-0.2;0.0;0.5;-1.7;-2.5;0.6;Strong Downtrend;Expansion;false;true;0.3
2023-10-04;true;true;true;true;true;true;false;false;1696378500000000;09:15 - 09:30;true;false;true;1696379100000000;1696380600000000;true;10.0;35.0;09:45 - 10:00;09:15 - 09:30;false;false;2.6;2.7;0.7;0.6;2.7;-2.4;0.1;0.8;1.3;-2.4;2.7;Medium Downtrend;Strong Uptrend;false;false;0.3
2023-10-05;false;true;true;true;true;true;false;false;1696464000000000;09:00 - 09:15;false;false;false;1696464900000000;1696465500000000;true;15.0;25.0;09:15 - 09:30;09:15 - 09:30;false;false;-1.3;-4.3;0.0;-0.6;-1.4;7.3;0.5;0.2;6.2;-1.4;7.3;Contraction;Strong Uptrend;true;true;0.2
2023-10-06;false;false;true;false;true;true;true;true;1696550400000000;09:00 - 09:15;false;true;true;1696550700000000;1696554900000000;true;5.0;75.0;10:15 - 10:30;09:00 - 09:15;false;false;-4.2;-5.1;0.7;0.8;-4.3;0.7;0.7;0.1;-3.6;-4.3;1.0;Strong Uptrend;Strong Downtrend;true;true;0.1
2023-10-09;true;true;true;true;true;true;false;false;1696812300000000;09:45 - 10:00;true;false;false;1696812600000000;1696812900000000;false;5.0;10.0;09:45 - 10:00;09:45 - 10:00;;;1.8;1.9;1.0;1.1;1.9;-2.0;0.4;0.7;-1.1;-2.0;1.9;Strong Uptrend;Strong Uptrend;false;false;0.6
2023-10-10;true;true;true;true;true;true;false;false;1696896300000000;09:00 - 09:15;true;false;false;1696896900000000;1696901100000000;true;10.0;80.0;10:15 - 10:30;09:15 - 09:30;false;false;1.1;1.2;-0.6;-0.7;1.2;-2.7;0.1;0.9;-2.0;-2.7;1.7;Strong Uptrend;Strong Uptrend;true;true;0.5
2023-10-11;false;true;true;true;true;true;false;false;1696982700000000;09:00 - 09:15;true;false;false;1696983300000000;1696984800000000;true;10.0;35.0;09:30 - 09:45;09:15 - 09:30;false;false;2.5;3.0;0.5;0.4;2.6;-0.5;1.0;0.3;0.8;-0.5;2.6;Strong Uptrend;Medium Uptrend;false;true;0.2
2023-10-12;false;true;true;true;true;true;false;false;1697068800000000;09:00 - 09:15;true;false;true;1697071800000000;1697087400000000;true;50.0;310.0;14:00 - 14:15;09:45 - 10:00;false;false;3.3;4.8;-0.7;-1.6;3.4;-0.7;0.7;0.4;2.7;-0.7;3.4;Contraction;Strong Downtrend;false;true;0.1
2023-10-13;true;true;false;true;false;true;true;true;1697155500000000;09:00 - 09:15;true;true;true;1697157600000000;1697173800000000;true;35.0;305.0;14:00 - 14:15;09:30 - 09:45;false;false;4.4;5.4;0.2;0.2;4.5;0.2;0.1;0.5;3.9;0.2;4.5;Strong Downtrend;Strong Downtrend;false;true;0.3
2023-10-16;true;true;true;true;true;true;false;false;1697415300000000;09:15 - 09:30;false;false;false;1697415900000000;1697415900000000;true;10.0;10.0;09:15 - 09:30;09:15 - 09:30;;;-0.8;-1.2;0.2;0.1;-0.9;2.2;0.1;0.8;2.1;-0.9;2.2;Contraction;Weak Uptrend;false;false;0.4
2023-10-17;true;true;true;true;true;true;false;false;1697501100000000;09:00 - 09:15;true;false;false;1697502900000000;1697502900000000;true;30.0;30.0;09:30 - 09:45;09:30 - 09:45;false;false;2.6;4.1;1.0;1.4;2.7;-2.5;0.5;0.5;-2.5;-2.5;2.7;Strong Uptrend;Medium Uptrend;true;true;0.3
