date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;true;true;true;true;true;true;false;false;1695022200000000;03:30 - 03:45;true;false;true;1695025800000000;1695032700000000;true;60.0;175.0;06:15 - 06:30;04:30 - 04:45;false;false;2.6;3.1;-0.2;-0.4;2.7;-0.2;0.2;1.0;1.6;-0.2;2.7;Medium Downtrend;;true;false;1.3
2023-09-19;true;true;false;true;false;true;true;true;1695108900000000;03:30 - 03:45;true;true;true;1695116400000000;1695126000000000;true;125.0;285.0;08:15 - 08:30;05:30 - 05:45;false;false;4.8;8.3;0.8;0.9;4.9;0.8;0.5;0.9;4.4;0.6;4.9;Strong Downtrend;Strong Uptrend;true;false;4.4
2023-09-20;false;true;false;true;false;true;true;true;1695195000000000;03:30 - 03:45;true;true;true;1695195300000000;1695207300000000;false;5.0;205.0;06:45 - 07:00;03:30 - 03:45;true;true;3.3;5.6;1.2;1.7;3.4;1.2;0.8;0.6;2.8;0.6;3.4;Expansion;Strong Downtrend;true;false;6.8
2023-09-21;false;true;true;true;true;true;false;false;1695281400000000;03:30 - 03:45;true;false;false;1695282000000000;1695287400000000;true;10.0;100.0;05:00 - 05:15;03:30 - 03:45;false;false;2.2;2.5;0.7;0.6;2.3;-0.8;1.0;0.5;-0.5;-0.8;2.3;Medium Downtrend;Strong Downtrend;false;true;1.9
2023-09-22;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.8;0.1;0.8;0.1;0.8;Expansion;Medium Uptrend;false;true;18.3
2023-09-25;false;false;true;false;true;true;true;true;1695627300000000;03:30 - 03:45;false;true;true;1695628800000000;1695632400000000;true;25.0;85.0;05:00 - 05:15;04:00 - 04:15;false;true;-1.8;-2.5;0.0;-0.2;-1.9;0.0;0.3;0.1;-1.6;-1.9;0.2;Expansion;Contraction;true;false;2.2
2023-09-26;true;true;false;true;false;true;true;true;1695713400000000;03:30 - 03:45;true;true;true;1695714600000000;1695730800000000;true;20.0;290.0;08:15 - 08:30;03:45 - 04:00;false;false;3.1;3.5;1.0;1.1;3.2;1.0;0.2;1.0;2.8;0.9;3.2;Strong Downtrend;Strong Downtrend;false;true;3.5
2023-09-27;true;true;true;false;true;true;true;false;1695804600000000;04:45 - 05:00;false;true;true;1695808500000000;1695813600000000;false;65.0;150.0;07:15 - 07:30;05:45 - 06:00;false;false;-3.1;-5.1;-0.1;-0.4;-3.2;-0.1;0.5;0.8;-2.5;-3.2;1.0;Expansion;Strong Downtrend;false;true;1.9
2023-09-28;true;true;false;true;false;true;true;true;1695888900000000;04:15 - 04:30;true;true;true;1695891300000000;1695901200000000;true;40.0;205.0;07:30 - 07:45;04:45 - 05:00;false;false;2.1;2.5;0.8;0.8;2.2;0.8;0.1;0.7;1.8;0.5;2.2;Expansion;Strong Downtrend;true;false;5.1
2023-09-29;true;true;false;true;false;true;true;true;1695972600000000;03:30 - 03:45;true;true;false;1695975000000000;1695981000000000;true;40.0;140.0;05:45 - 06:00;04:00 - 04:15;false;false;2.0;2.4;0.9;0.9;2.1;0.2;0.2;0.6;0.9;0.2;2.1;Strong Uptrend;Strong Uptrend;false;false;7.7
