date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;false;true;false;true;false;true;true;true;1695047400000000;10:30 - 10:45;true;true;true;1695048300000000;1695051900000000;true;15.0;75.0;11:45 - 12:00;10:45 - 11:00;true;true;3.2;4.3;0.8;0.8;3.3;0.8;0.9;0.8;2.3;0.8;3.3;Weak Uptrend;Medium Downtrend;false;false;1.5
2023-09-19;false;false;true;false;true;true;true;true;1695136800000000;11:15 - 11:30;false;true;true;1695144900000000;1695151200000000;true;135.0;240.0;15:15 - 15:30;13:30 - 13:45;true;true;-0.4;-1.0;0.6;0.7;-0.5;0.6;0.5;0.2;-0.2;-0.5;0.7;Weak Uptrend;Weak Downtrend;true;true;0.7
2023-09-20;true;true;true;true;true;true;false;false;1695226800000000;12:15 - 12:30;true;false;false;1695227100000000;1695227400000000;false;5.0;10.0;12:30 - 12:45;12:15 - 12:30;false;false;1.4;1.6;1.2;1.4;1.5;-1.9;0.1;0.6;-1.8;-1.9;1.5;Strong Uptrend;Expansion;true;true;1.3
2023-09-21;true;true;false;true;false;true;true;true;1695306600000000;10:30 - 10:45;true;true;false;1695307200000000;1695307200000000;true;10.0;10.0;10:30 - 10:45;10:30 - 10:45;true;false;1.2;1.5;1.0;1.2;1.3;0.7;0.6;0.9;0.8;0.7;1.3;Expansion;Expansion;true;false;1.4
2023-09-22;true;true;true;true;true;true;false;false;1695393300000000;10:30 - 10:45;true;false;false;1695393600000000;1695393600000000;true;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;1.1;1.2;1.0;1.1;1.2;-0.1;0.3;1.0;0.1;-0.1;1.2;Contraction;Expansion;false;true;0.5
2023-09-25;false;false;true;false;true;true;true;true;1695653400000000;10:45 - 11:00;false;true;false;1695653700000000;1695653700000000;true;5.0;5.0;10:45 - 11:00;10:45 - 11:00;false;false;-0.0;-0.2;0.0;-0.2;-0.1;0.6;0.9;0.1;0.4;-0.1;0.6;Strong Downtrend;Expansion;false;true;1.5
2023-09-26;false;false;true;false;true;true;true;true;1695739500000000;10:45 - 11:00;false;true;true;1695740100000000;1695753300000000;true;10.0;230.0;14:30 - 14:45;10:45 - 11:00;false;true;-1.5;-3.0;0.0;-0.2;-1.6;0.0;0.6;0.2;-1.0;-1.6;0.5;Medium Uptrend;Medium Downtrend;true;true;0.8
2023-09-27;false;false;true;false;true;true;true;true;1695826500000000;10:45 - 11:00;false;true;true;1695828600000000;1695838800000000;true;35.0;205.0;14:15 - 14:30;11:30 - 11:45;false;false;-0.9;-1.1;0.6;0.6;-1.0;0.6;0.8;0.3;-0.2;-1.0;0.6;Strong Downtrend;Expansion;false;true;2.4
2023-09-28;true;true;false;true;false;true;true;true;1695912300000000;10:45 - 11:00;true;true;true;1695913800000000;1695915600000000;true;25.0;55.0;11:30 - 11:45;11:00 - 11:15;false;false;1.8;1.9;1.0;1.0;1.9;0.7;0.5;0.9;1.3;0.5;1.9;Strong Uptrend;Expansion;true;true;0.9
2023-09-29;false;true;true;false;true;true;true;false;1696007100000000;13:00 - 13:15;false;true;false;1696009200000000;1696011300000000;true;35.0;70.0;14:15 - 14:30;13:30 - 13:45;false;false;-0.3;-0.4;0.1;0.1;-0.4;0.5;0.8;0.1;0.1;-0.4;1.1;Medium Downtrend;Strong Uptrend;true;true;0.9
2023-10-02;false;false;true;false;true;true;true;true;1696257600000000;10:30 - 10:45;false;true;true;1696260000000000;1696276500000000;true;40.0;315.0;15:45 - 16:00;11:15 - 11:30;false;false;-0.5;-0.6;0.5;0.5;-0.6;0.5;0.8;0.4;-0.6;-0.6;0.5;Strong Downtrend;Strong Uptrend;false;true;1.4
2023-10-03;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;true;false;;;;;;;0.5;0.4;0.6;-0.1;0.9;Expansion;Weak Uptrend;true;false;2.3
2023-10-04;false;true;false;true;false;true;true;true;1696434300000000;11:45 - 12:00;true;true;false;1696435200000000;1696437000000000;true;15.0;45.0;12:30 - 12:45;12:00 - 12:15;false;false;1.1;1.1;0.9;1.0;1.2;0.5;1.0;0.1;1.0;0.1;1.2;Medium Uptrend;Expansion;true;true;1.0
2023-10-05;true;true;false;true;false;true;true;true;1696520100000000;11:30 - 11:45;true;true;true;1696521000000000;1696532100000000;true;15.0;200.0;14:45 - 15:00;11:45 - 12:00;false;true;1.8;2.8;0.6;0.7;1.9;0.6;0.8;0.8;1.8;0.3;1.9;Medium Uptrend;Expansion;true;true;1.6
2023-10-06;true;true;false;true;false;true;true;true;1696602600000000;10:30 - 10:45;true;true;true;1696604100000000;1696606800000000;false;25.0;70.0;11:30 - 11:45;10:45 - 11:00;false;false;2.9;3.1;1.1;1.1;3.0;1.1;0.3;1.0;2.7;1.0;3.0;Medium Downtrend;Expansion;true;true;1.9
