date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-08-14;true;false;true;false;true;true;true;true;1691973600000000;09:30 - 09:45;false;true;true;1691975700000000;1691985000000000;false;35.0;190.0;12:45 - 13:00;10:15 - 10:30;;;-6.7;-16.2;-0.5;-1.9;-6.8;-0.5;0.5;0.8;-4.9;-6.8;1.0;Medium Uptrend;Weak Downtrend;true;true;0.2
2023-08-15;true;true;true;true;false;true;true;false;1692064200000000;10:45 - 11:00;true;true;true;1692065700000000;1692076500000000;true;25.0;205.0;14:15 - 14:30;11:15 - 11:30;;;1.7;2.5;0.2;-0.0;1.8;0.2;0.4;0.5;1.4;-0.0;1.8;Strong Uptrend;Medium Downtrend;false;true;0.3
2023-08-16;false;false;true;false;true;true;true;true;1692145800000000;09:30 - 09:45;false;true;true;1692146100000000;1692146400000000;false;5.0;10.0;09:30 - 09:45;09:30 - 09:45;;;-3.3;-4.8;-0.3;-0.4;-3.4;0.0;0.5;0.0;-1.2;-3.4;0.3;Medium Downtrend;Contraction;false;true;0.3
2023-08-17;false;false;true;false;true;true;true;true;1692232500000000;09:30 - 09:45;false;true;false;1692233100000000;1692235200000000;true;10.0;45.0;10:15 - 10:30;09:45 - 10:00;;;-0.3;-0.5;0.1;0.0;-0.4;0.8;1.0;0.1;0.2;-0.4;0.8;Strong Downtrend;Weak Downtrend;false;true;0.8
2023-08-18;false;true;true;true;true;true;false;false;1692318600000000;09:30 - 09:45;false;false;false;1692318900000000;1692318900000000;true;5.0;5.0;09:30 - 09:45;09:30 - 09:45;;;-0.2;-0.5;0.8;1.3;-0.3;2.7;0.6;0.0;0.4;-0.3;2.7;Strong Downtrend;Medium Downtrend;true;true;0.4
2023-08-21;true;true;true;true;true;true;false;false;1692580500000000;10:15 - 10:30;false;false;true;1692582000000000;1692582600000000;true;25.0;35.0;10:45 - 11:00;10:30 - 10:45;;;-1.5;-2.2;0.5;0.3;-1.6;1.1;0.2;1.0;-0.7;-2.3;1.1;Strong Uptrend;Contraction;false;false;0.2
2023-08-22;false;true;true;true;true;true;false;false;1692665700000000;09:45 - 10:00;true;false;true;1692666900000000;1692674400000000;true;20.0;145.0;12:15 - 12:30;10:15 - 10:30;;;2.3;3.1;-0.3;-0.8;2.4;-0.3;1.0;0.5;2.0;-0.3;2.4;Contraction;Contraction;false;true;0.2
2023-08-23;true;true;false;true;false;true;true;true;1692750600000000;09:30 - 09:45;true;true;true;1692750900000000;1692761700000000;false;5.0;185.0;12:30 - 12:45;09:30 - 09:45;;;3.0;3.1;1.2;1.2;3.0;1.2;0.0;1.0;2.8;1.0;3.0;Contraction;Medium Downtrend;true;true;0.5
2023-08-24;false;true;true;true;true;true;false;false;1692837900000000;09:45 - 10:00;false;false;false;1692838200000000;1692840000000000;true;5.0;35.0;10:15 - 10:30;09:45 - 10:00;;;-1.2;-2.7;0.2;0.0;-1.3;3.6;0.5;0.2;3.3;-1.3;3.6;Strong Uptrend;Strong Downtrend;false;true;0.2
2023-08-25;true;true;true;true;true;true;false;false;1692926100000000;10:15 - 10:30;true;false;false;;;false;;;;;;;;;;;1.4;-1.1;0.4;1.0;-1.0;-1.1;1.4;Strong Downtrend;Strong Uptrend;false;true;0.3
