date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-05-22;false;false;true;false;true;true;true;true;1684752000000000;06:30 - 06:45;false;true;true;1684752900000000;1684757400000000;true;15.0;90.0;08:00 - 08:15;06:45 - 07:00;;;-0.5;-0.6;0.1;0.1;-0.6;0.1;0.9;0.3;-0.5;-0.6;0.8;;;;;
2023-05-23;true;true;true;false;true;true;true;false;1684842300000000;07:45 - 08:00;false;true;true;1684842600000000;1684842600000000;true;5.0;5.0;07:45 - 08:00;07:45 - 08:00;;;-0.2;-0.6;0.0;-0.2;-0.3;0.0;0.3;0.8;-0.1;-0.3;1.1;;;;;
2023-05-24;false;false;true;false;true;true;true;true;1684913700000000;03:30 - 03:45;false;true;true;1684918800000000;1684924500000000;true;85.0;180.0;06:30 - 06:45;05:00 - 05:15;;;-0.7;-0.9;0.4;0.3;-0.8;0.4;1.0;0.0;-0.5;-0.8;0.4;;;;;
2023-05-25;false;false;true;false;true;true;true;true;1684999800000000;03:30 - 03:45;false;true;false;1685000400000000;1685000700000000;false;10.0;15.0;03:45 - 04:00;03:30 - 03:45;;;-1.2;-1.4;-0.7;-0.8;-1.3;0.5;0.9;0.0;0.1;-1.3;0.5;;;;;
2023-05-26;false;false;true;false;true;true;true;true;1685086200000000;03:30 - 03:45;false;true;false;1685088900000000;1685094600000000;false;45.0;140.0;05:45 - 06:00;04:15 - 04:30;;;-1.6;-2.4;-0.1;-0.4;-1.7;0.9;0.9;0.2;0.5;-1.7;0.9;;;;;
2023-05-29;true;false;true;false;true;true;true;true;1685345700000000;03:30 - 03:45;false;true;true;1685346600000000;1685362800000000;true;15.0;285.0;08:15 - 08:30;03:45 - 04:00;;;-2.3;-2.8;0.0;0.1;-2.4;0.0;0.4;0.4;-2.3;-2.4;0.5;;;;;
2023-05-30;false;true;false;true;false;true;true;true;1685432100000000;03:30 - 03:45;true;true;true;1685433300000000;1685442000000000;true;20.0;165.0;06:15 - 06:30;03:45 - 04:00;;;1.8;2.4;0.6;0.7;1.9;0.6;0.9;0.8;1.4;0.6;1.9;;;;;
2023-05-31;true;true;false;true;false;true;true;true;1685518500000000;03:30 - 03:45;true;true;true;1685519100000000;1685520900000000;true;10.0;40.0;04:15 - 04:30;03:45 - 04:00;;;1.5;1.7;0.9;0.9;1.6;0.9;0.6;1.0;1.1;0.9;1.6;;;;;
2023-06-01;true;true;false;true;false;true;true;true;1685607900000000;04:15 - 04:30;true;true;false;1685608200000000;1685609700000000;false;5.0;30.0;04:45 - 05:00;04:30 - 04:45;;;1.5;2.0;1.1;1.3;1.6;0.7;0.3;1.0;0.8;0.6;1.6;;;;;
2023-06-02;false;true;false;true;false;true;true;true;1685692800000000;04:00 - 04:15;true;true;true;1685695500000000;1685702700000000;true;45.0;165.0;06:45 - 07:00;04:45 - 05:00;;;2.2;3.0;0.7;0.9;2.3;0.7;0.6;0.3;1.3;0.4;2.3;;;;;
2023-06-05;true;true;true;true;true;true;false;false;1685950200000000;03:30 - 03:45;true;false;false;;;false;;;;;;;;;;;1.5;-0.4;0.3;0.8;0.4;-0.4;1.5;;;;;
2023-06-06;true;true;false;true;false;true;true;true;;;false;true;false;;;false;;;;;;;;;;;;;0.0;0.7;0.6;0.0;1.1;;;;;
2023-06-07;false;true;true;true;true;true;false;false;1686123300000000;03:30 - 03:45;false;false;false;1686124500000000;1686128700000000;false;20.0;90.0;05:00 - 05:15;03:45 - 04:00;;;-1.3;-2.0;-0.2;-0.5;-1.4;1.1;0.9;0.2;0.5;-1.4;1.1;;;;;
2023-06-08;true;true;false;true;false;true;true;true;1686210000000000;03:30 - 03:45;true;true;true;1686211200000000;1686219300000000;true;20.0;155.0;06:15 - 06:30;04:00 - 04:15;;;2.0;5.6;0.8;1.9;2.1;0.8;0.2;0.5;1.7;0.5;2.1;;;;;
2023-06-09;false;true;true;true;false;true;true;false;1686297000000000;03:45 - 04:00;true;true;false;1686297300000000;1686297300000000;true;5.0;5.0;03:45 - 04:00;03:45 - 04:00;;;1.0;1.1;0.8;0.9;1.1;-0.2;0.9;0.1;0.4;-0.2;1.1;;;;;
2023-06-12;false;true;false;true;false;true;true;true;1686556200000000;03:45 - 04:00;true;true;false;1686556500000000;1686560400000000;false;5.0;70.0;05:00 - 05:15;03:45 - 04:00;;;2.3;3.7;1.2;1.7;2.4;0.2;0.3;0.3;0.7;0.2;2.4;;;;;
2023-06-13;false;false;true;false;true;true;true;true;1686642600000000;03:45 - 04:00;false;true;true;1686642900000000;1686656700000000;false;5.0;235.0;07:45 - 08:00;03:45 - 04:00;;;-1.2;-2.4;-0.2;-0.3;-1.3;-0.2;0.2;0.2;-0.7;-1.3;0.5;;;;;
