date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-05-22;true;true;false;true;false;true;true;true;1684770900000000;11:45 - 12:00;true;true;false;1684771200000000;1684771200000000;false;5.0;5.0;12:00 - 12:15;12:00 - 12:15;;;1.1;1.5;1.1;1.3;1.2;0.6;0.6;0.9;0.9;0.6;1.2;Medium Downtrend;;false;true;0.9
2023-05-23;true;false;true;false;true;true;true;true;1684853400000000;10:45 - 11:00;false;true;true;1684857300000000;1684866300000000;true;65.0;215.0;14:15 - 14:30;11:45 - 12:00;;;-3.2;-3.8;0.3;0.3;-3.2;0.3;0.2;0.5;-2.7;-3.2;0.6;Medium Downtrend;;false;true;0.7
2023-05-24;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;;;;;;;;;1.0;0.2;0.4;0.1;0.7;Strong Downtrend;;false;true;0.6
2023-05-25;false;true;true;true;true;true;false;false;1685028900000000;11:30 - 11:45;false;false;false;1685029200000000;1685029200000000;false;5.0;5.0;11:30 - 11:45;11:30 - 11:45;;;-0.5;-0.7;-0.3;-0.5;-0.5;1.5;0.8;0.3;1.0;-0.5;1.5;Contraction;;false;true;0.3
2023-05-26;true;true;false;true;false;true;true;true;1685112000000000;10:30 - 10:45;true;true;true;1685112300000000;1685127600000000;true;5.0;260.0;15:00 - 15:15;10:45 - 11:00;;;1.4;1.5;1.0;1.1;1.5;1.0;0.1;1.0;1.2;0.9;1.5;Strong Uptrend;;false;true;0.9
2023-05-29;true;true;false;true;false;true;true;true;1685371500000000;10:45 - 11:00;true;true;true;1685372400000000;1685374500000000;true;15.0;50.0;11:30 - 11:45;11:00 - 11:15;;;1.9;2.4;0.9;1.1;2.0;0.9;0.5;0.9;1.1;0.7;2.0;Strong Downtrend;;false;true;0.2
2023-05-30;false;false;true;false;true;true;true;true;1685457600000000;10:30 - 10:45;false;true;true;1685458200000000;1685469300000000;true;10.0;195.0;13:45 - 14:00;10:45 - 11:00;;;-0.9;-1.2;0.0;-0.1;-1.0;0.0;0.8;0.1;-0.6;-1.0;0.3;Weak Uptrend;;true;true;0.9
2023-05-31;false;false;true;false;true;true;true;true;1685543400000000;10:30 - 10:45;false;true;false;1685544300000000;1685546100000000;true;15.0;45.0;11:15 - 11:30;10:45 - 11:00;;;-0.3;-0.4;0.0;-0.1;-0.4;0.5;0.9;0.1;0.2;-0.4;0.5;Medium Downtrend;;true;true;1.1
2023-06-01;true;true;false;true;false;true;true;true;1685630100000000;10:30 - 10:45;true;true;true;1685630400000000;1685646300000000;false;5.0;270.0;15:00 - 15:15;10:30 - 10:45;;;2.8;3.1;1.1;1.2;2.9;1.1;0.8;0.8;2.5;0.8;2.9;None;;true;true;0.7
2023-06-02;true;true;false;true;false;true;true;true;1685716800000000;10:30 - 10:45;true;true;true;1685717400000000;1685718900000000;false;10.0;35.0;11:15 - 11:30;10:45 - 11:00;;;2.0;2.3;1.1;1.2;2.1;0.8;0.4;0.8;1.8;0.6;2.1;Strong Uptrend;;true;true;0.7
2023-06-05;false;false;true;false;true;true;true;true;1685989800000000;14:30 - 14:45;false;true;false;1685990100000000;1685990100000000;true;5.0;5.0;14:30 - 14:45;14:30 - 14:45;;;-0.0;-0.1;0.0;0.0;-0.1;0.2;0.9;0.0;0.1;-0.1;0.4;Medium Downtrend;;false;true;2.5
2023-06-06;true;true;false;true;false;true;true;true;1686063600000000;11:00 - 11:15;true;true;true;1686065100000000;1686081300000000;true;25.0;295.0;15:45 - 16:00;11:15 - 11:30;;;1.7;2.4;0.7;0.8;1.8;0.7;0.1;0.7;1.7;0.6;1.8;Weak Uptrend;;false;true;0.8
2023-06-07;false;false;true;false;true;true;true;true;1686148200000000;10:30 - 10:45;false;true;true;1686151800000000;1686158400000000;true;60.0;170.0;13:15 - 13:30;11:30 - 11:45;;;-0.3;-0.7;0.1;0.0;-0.4;0.1;0.6;0.1;-0.2;-0.4;0.2;Weak Uptrend;;false;false;0.9
2023-06-08;true;true;false;true;false;true;true;true;1686235200000000;10:30 - 10:45;true;true;true;1686240000000000;1686254100000000;false;80.0;315.0;15:45 - 16:00;12:00 - 12:15;;;1.8;2.0;1.0;1.1;1.9;1.0;0.7;1.0;1.8;0.9;1.9;Contraction;;true;true;0.6
2023-06-09;false;false;true;false;true;true;true;true;1686321600000000;10:30 - 10:45;false;true;true;1686323100000000;1686324600000000;true;25.0;50.0;11:30 - 11:45;11:00 - 11:15;;;-0.9;-2.0;0.8;0.8;-1.0;0.8;0.7;0.5;-0.3;-1.0;0.8;Contraction;;false;true;0.3
2023-06-12;true;true;false;true;false;true;true;true;1686584400000000;11:30 - 11:45;true;true;true;1686584700000000;1686597300000000;false;5.0;215.0;15:15 - 15:30;11:45 - 12:00;;;1.9;2.5;1.0;1.2;2.0;1.0;0.3;0.8;2.0;0.5;2.0;Medium Uptrend;;true;true;0.7
2023-06-13;true;true;false;true;false;true;true;true;1686666900000000;10:30 - 10:45;true;true;true;1686668700000000;1686678300000000;true;30.0;190.0;13:45 - 14:00;11:00 - 11:15;;;1.7;1.9;0.7;0.7;1.8;0.7;0.2;1.0;1.6;0.6;1.8;Contraction;;false;true;0.5
2023-06-14;true;true;true;true;true;true;false;false;1686753000000000;10:30 - 10:45;true;false;false;1686753600000000;1686756000000000;true;10.0;50.0;11:15 - 11:30;10:30 - 10:45;;;1.2;1.5;0.8;0.8;1.3;-1.3;0.3;0.8;0.2;-1.3;1.3;Strong Uptrend;;true;true;0.5
2023-06-15;true;true;false;true;false;true;true;true;1686842400000000;11:15 - 11:30;true;true;true;1686843900000000;1686855300000000;true;25.0;215.0;14:45 - 15:00;11:45 - 12:00;;;1.7;1.9;0.9;0.9;1.8;0.9;0.1;1.0;1.3;0.7;1.8;Weak Downtrend;;true;false;2.4
2023-06-16;false;false;true;false;true;true;true;true;1686930300000000;11:45 - 12:00;false;true;true;1686936300000000;1686945000000000;true;100.0;245.0;15:45 - 16:00;13:15 - 13:30;;;-0.7;-0.8;0.3;0.3;-0.8;0.3;0.9;0.4;-0.5;-0.8;0.6;Strong Uptrend;;true;true;0.9
2023-06-19;false;false;true;false;true;true;true;true;1687186500000000;10:45 - 11:00;false;true;false;1687186800000000;1687187100000000;true;5.0;10.0;11:00 - 11:15;11:00 - 11:15;;;-0.1;-0.2;0.0;-0.1;-0.2;0.7;0.9;0.5;0.5;-0.2;0.7;Strong Downtrend;;false;true;0.7
2023-06-20;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;;;;;;;;;0.7;0.0;0.4;-0.1;0.7;None;;false;false;0.8
2023-06-21;false;true;true;true;true;true;false;false;1687358100000000;10:30 - 10:45;true;false;false;1687359000000000;1687359600000000;true;15.0;25.0;11:00 - 11:15;10:45 - 11:00;;;1.1;1.3;0.6;0.5;1.2;-0.2;1.0;0.8;-0.1;-0.2;1.2;Strong Downtrend;;false;true;0.5
2023-06-22;true;true;false;true;false;true;true;true;1687448100000000;11:30 - 11:45;true;true;false;1687449900000000;1687451700000000;true;30.0;60.0;12:30 - 12:45;12:00 - 12:15;;;1.3;1.5;1.0;1.1;1.4;0.6;0.4;1.0;1.0;0.6;1.4;Strong Uptrend;;true;true;0.7
2023-06-23;true;true;false;true;false;true;true;true;1687530600000000;10:30 - 10:45;true;true;false;1687530900000000;1687531500000000;false;5.0;15.0;10:45 - 11:00;10:30 - 10:45;;;1.1;1.2;1.1;1.1;1.2;0.7;0.1;1.0;0.8;0.7;1.2;Medium Downtrend;;false;true;1.0
2023-06-26;true;false;true;false;true;true;true;true;1687793100000000;11:15 - 11:30;false;true;false;1687793400000000;1687793400000000;true;5.0;5.0;11:30 - 11:45;11:30 - 11:45;;;-0.0;-0.0;0.2;0.2;-0.1;0.5;0.0;0.1;0.1;-0.2;0.5;Contraction;;false;true;0.3
2023-06-27;true;true;false;true;false;true;true;true;1687876200000000;10:30 - 10:45;true;true;true;1687876500000000;1687892700000000;false;5.0;275.0;15:00 - 15:15;10:30 - 10:45;;;3.0;3.8;1.0;1.2;3.1;1.0;0.3;0.9;2.6;0.8;3.1;Medium Downtrend;;false;true;0.6
2023-06-28;true;false;true;false;true;true;true;true;1687964700000000;11:00 - 11:15;false;true;false;1687968900000000;1687971300000000;true;70.0;110.0;12:45 - 13:00;12:15 - 12:30;;;-0.3;-0.5;0.7;0.7;-0.4;0.7;0.0;0.7;0.2;-0.4;0.8;Medium Uptrend;;true;true;0.7
2023-06-29;false;true;true;false;false;false;false;false;;;false;true;false;;;false;;;;;;;;;;;;;0.4;0.3;1.0;-0.1;1.0;Weak Downtrend;;true;true;0.9
2023-06-30;true;true;true;true;false;true;true;false;1688150100000000;14:30 - 14:45;true;true;true;1688154600000000;1688154900000000;true;75.0;80.0;15:45 - 16:00;15:45 - 16:00;;;1.2;1.3;0.9;0.9;1.3;0.9;0.4;0.7;1.3;-0.2;1.3;Strong Uptrend;;true;true;0.8
2023-07-03;false;false;true;false;true;true;true;true;1688396100000000;10:45 - 11:00;false;true;false;1688396400000000;1688397900000000;false;5.0;30.0;11:15 - 11:30;11:00 - 11:15;;;-0.7;-1.2;-0.1;-0.4;-0.8;1.0;0.7;0.4;0.7;-0.8;1.0;Strong Downtrend;;false;true;0.5
2023-07-04;false;false;true;false;false;false;false;true;;;false;true;false;;;false;;;;;;;;;;;;;0.3;0.2;0.2;-0.4;0.5;Strong Downtrend;;false;true;0.7
2023-07-05;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;;;;;;;;;0.9;0.6;0.5;0.0;0.9;Medium Downtrend;;false;true;0.6
2023-07-06;false;false;true;false;true;true;true;true;1688654700000000;10:45 - 11:00;false;true;true;1688655000000000;1688656200000000;false;5.0;25.0;11:00 - 11:15;10:45 - 11:00;;;-0.6;-0.8;-0.2;-0.3;-0.7;0.1;0.9;0.0;-0.1;-0.7;0.1;Strong Downtrend;;false;true;1.2
2023-07-07;false;true;false;true;false;true;true;true;1688746500000000;12:15 - 12:30;true;true;true;1688746800000000;1688749200000000;false;5.0;45.0;13:00 - 13:15;12:15 - 12:30;;;2.5;3.3;1.0;1.2;2.6;1.0;0.7;0.7;1.2;0.3;2.6;Strong Uptrend;;true;true;0.7
2023-07-10;true;false;true;false;true;true;true;true;1689002400000000;11:15 - 11:30;false;true;false;1689003300000000;1689005700000000;true;15.0;55.0;12:15 - 12:30;11:30 - 11:45;;;-0.1;-0.2;0.4;0.4;-0.2;0.7;0.0;0.4;0.7;-0.2;0.7;Strong Uptrend;;true;true;0.8
2023-07-11;false;true;false;true;false;true;true;true;1689091800000000;12:00 - 12:15;true;true;true;1689092700000000;1689105300000000;true;15.0;225.0;15:45 - 16:00;12:15 - 12:30;;;1.6;1.7;0.8;0.8;1.7;0.8;0.6;0.4;1.6;0.3;1.7;Medium Uptrend;;false;false;0.7
2023-07-12;true;true;false;true;false;true;true;true;1689172500000000;10:30 - 10:45;true;true;false;1689172800000000;1689172800000000;false;5.0;5.0;10:30 - 10:45;10:30 - 10:45;;;1.1;1.2;1.1;1.1;1.2;0.4;0.5;1.0;0.7;0.4;1.2;Strong Uptrend;;true;true;1.2
2023-07-13;true;false;true;false;true;true;true;true;;;false;true;false;;;false;;;;;;;;;;;;;0.0;0.2;0.4;-0.1;0.7;Strong Uptrend;;true;true;0.8
2023-07-14;false;false;true;false;true;true;true;true;1689345300000000;10:30 - 10:45;false;true;true;1689345600000000;1689361500000000;false;5.0;270.0;15:00 - 15:15;10:30 - 10:45;;;-1.8;-2.3;-0.2;-0.3;-1.9;-0.2;0.3;0.0;-1.5;-1.9;0.2;Medium Uptrend;;false;true;0.7
2023-07-17;true;true;false;true;false;true;true;true;1689608700000000;11:45 - 12:00;true;true;true;1689609000000000;1689621600000000;true;5.0;215.0;15:15 - 15:30;11:45 - 12:00;;;1.6;1.7;1.0;1.1;1.7;1.0;0.1;0.9;1.3;0.7;1.7;Contraction;;true;false;0.6
2023-07-18;true;true;false;true;false;true;true;true;1689691200000000;10:30 - 10:45;true;true;true;1689691500000000;1689708300000000;false;5.0;285.0;15:15 - 15:30;10:45 - 11:00;;;2.0;2.2;1.0;1.1;2.1;1.0;0.2;1.0;1.9;0.8;2.1;Medium Uptrend;;true;true;0.9
2023-07-19;true;false;true;false;true;true;true;true;1689784200000000;12:30 - 12:45;false;true;false;1689788400000000;1689790800000000;true;70.0;110.0;14:15 - 14:30;13:30 - 13:45;;;-0.3;-0.3;0.1;0.1;-0.4;0.2;0.0;0.6;0.0;-0.4;0.7;Medium Downtrend;;false;true;0.4
