date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;true;true;true;true;true;true;false;false;1694999100000000;10:00 - 10:15;true;false;false;1694999400000000;1694999400000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;;;1.1;1.2;0.9;1.0;1.2;-0.5;0.1;0.5;0.2;-0.5;1.2;;Weak Downtrend;true;true;0.5
2023-09-19;true;false;true;false;true;true;true;true;1695084000000000;09:30 - 09:45;false;true;true;1695084600000000;1695101100000000;true;10.0;285.0;14:15 - 14:30;09:45 - 10:00;false;false;-1.1;-1.4;0.1;0.2;-1.2;0.1;0.1;0.4;-0.9;-1.2;0.6;Contraction;Medium Uptrend;false;true;0.5
2023-09-20;false;true;true;false;true;true;true;false;1695172800000000;10:15 - 10:30;false;true;false;1695175200000000;1695181500000000;true;40.0;145.0;12:45 - 13:00;11:00 - 11:15;false;false;-0.7;-1.3;0.8;1.0;-0.8;0.8;0.8;0.6;0.5;-0.8;1.0;Medium Downtrend;Strong Uptrend;true;false;0.3
2023-09-21;false;false;true;false;true;true;true;true;1695256500000000;09:30 - 09:45;false;true;false;1695261900000000;1695264000000000;true;90.0;125.0;11:30 - 11:45;11:00 - 11:15;false;false;-1.1;-1.3;0.4;0.4;-1.2;0.4;1.0;0.1;0.0;-1.2;0.4;Strong Downtrend;Strong Downtrend;true;true;0.4
2023-09-22;false;false;true;false;true;true;true;true;1695344400000000;10:00 - 10:15;false;true;false;1695345000000000;1695347400000000;false;10.0;50.0;10:45 - 11:00;10:00 - 10:15;false;false;-0.8;-1.1;-0.2;-0.3;-0.9;0.5;0.6;0.0;0.1;-0.9;0.6;Contraction;Contraction;false;true;0.4
2023-09-25;true;true;true;true;true;true;false;false;1695603000000000;09:45 - 10:00;true;false;false;1695603300000000;1695603300000000;false;5.0;5.0;09:45 - 10:00;09:45 - 10:00;;;1.6;2.1;1.1;1.4;1.7;-0.6;0.4;0.9;0.2;-0.6;1.7;Strong Downtrend;Strong Downtrend;true;true;0.2
2023-09-26;false;false;true;false;true;true;true;true;1695688200000000;09:30 - 09:45;false;true;true;1695689100000000;1695697800000000;true;15.0;160.0;12:00 - 12:15;09:45 - 10:00;false;false;-1.7;-2.1;0.3;0.3;-1.8;0.3;0.7;0.0;-1.3;-1.8;0.3;Contraction;Weak Uptrend;false;true;0.4
2023-09-27;false;true;true;true;true;true;false;false;1695775500000000;09:45 - 10:00;false;false;true;1695779700000000;1695792000000000;true;70.0;275.0;14:15 - 14:30;10:45 - 11:00;false;false;-1.1;-2.0;1.5;2.3;-1.2;1.5;0.5;0.2;-0.1;-1.2;1.5;Strong Downtrend;Weak Downtrend;false;true;0.4
2023-09-28;true;true;true;true;true;true;false;false;1695862200000000;09:45 - 10:00;true;false;true;1695874200000000;1695878400000000;true;200.0;270.0;14:15 - 14:30;13:00 - 13:15;false;false;1.4;1.7;-0.2;-0.6;1.5;-0.2;0.3;1.0;1.4;-0.2;1.5;Contraction;Strong Uptrend;true;true;0.4
2023-09-29;false;true;true;true;true;true;false;false;1695947400000000;09:30 - 09:45;false;false;false;1695947700000000;1695948600000000;true;5.0;20.0;09:45 - 10:00;09:30 - 09:45;false;false;-1.7;-2.7;0.6;0.8;-1.8;6.7;0.5;0.1;4.9;-1.8;6.7;Medium Uptrend;Medium Downtrend;false;true;0.1
2023-10-02;true;false;true;false;true;true;true;true;1696221000000000;13:30 - 13:45;false;true;true;1696221900000000;1696224300000000;true;15.0;55.0;14:15 - 14:30;13:45 - 14:00;;;-0.2;-0.5;0.2;0.0;-0.3;0.2;0.2;0.8;-0.2;-0.3;1.0;Contraction;Strong Downtrend;false;true;0.3
2023-10-03;false;false;true;false;true;true;true;true;1696298400000000;11:00 - 11:15;false;true;true;1696304400000000;1696308900000000;true;100.0;175.0;13:45 - 14:00;12:30 - 12:45;false;false;-1.1;-1.4;0.2;0.1;-1.2;0.2;0.5;0.2;-1.0;-1.2;0.7;Strong Downtrend;Expansion;false;true;0.3
2023-10-04;true;true;true;true;true;true;false;false;1696379700000000;09:30 - 09:45;true;false;false;1696380600000000;1696380600000000;true;15.0;15.0;09:45 - 10:00;09:45 - 10:00;false;false;1.2;1.2;0.5;0.6;1.3;-1.7;0.1;0.6;0.7;-1.7;1.3;Contraction;Strong Uptrend;false;true;0.1
2023-10-05;false;true;false;true;false;true;true;true;1696466400000000;09:30 - 09:45;true;true;true;1696466700000000;1696479000000000;true;5.0;210.0;13:00 - 13:15;09:45 - 10:00;false;false;3.4;4.5;1.0;1.2;3.5;1.0;0.9;0.2;3.2;0.2;3.5;Contraction;Medium Uptrend;true;true;0.4
2023-10-06;false;false;true;false;true;true;true;true;1696552200000000;09:30 - 09:45;false;true;true;1696560900000000;1696569900000000;true;145.0;295.0;14:15 - 14:30;11:45 - 12:00;false;false;-1.0;-1.8;0.7;0.7;-1.1;0.7;0.8;0.2;-0.9;-1.1;0.7;Strong Uptrend;Weak Downtrend;true;true;0.2
2023-10-09;false;false;true;false;true;true;true;true;1696813800000000;10:00 - 10:15;false;true;true;1696818000000000;1696827300000000;true;70.0;225.0;13:45 - 14:00;11:15 - 11:30;;;-1.6;-2.3;0.4;0.5;-1.7;0.4;0.4;0.4;-1.2;-1.7;1.0;Strong Uptrend;Strong Uptrend;true;false;0.8
2023-10-10;true;true;true;true;true;true;false;false;1696900800000000;10:15 - 10:30;true;false;false;1696901100000000;1696901100000000;true;5.0;5.0;10:15 - 10:30;10:15 - 10:30;false;false;1.1;1.6;1.0;1.3;1.2;-1.5;0.2;0.3;-1.0;-1.5;1.2;Strong Uptrend;Strong Uptrend;true;true;0.5
2023-10-11;true;true;true;true;false;true;true;false;1696984500000000;09:30 - 09:45;true;true;false;1696984800000000;1696984800000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;true;1.4;1.6;1.3;1.4;1.5;-0.0;0.5;0.9;0.6;-0.0;1.5;Strong Uptrend;Medium Uptrend;false;true;0.3
2023-10-12;false;true;true;true;false;true;true;false;1697074800000000;10:30 - 10:45;true;true;true;1697075100000000;1697075100000000;true;5.0;5.0;10:45 - 11:00;10:45 - 11:00;false;true;1.5;1.5;1.0;1.0;1.6;-0.1;0.9;0.1;1.1;-0.1;1.6;Contraction;Strong Downtrend;false;true;0.3
2023-10-13;true;true;false;true;false;true;true;true;1697159100000000;10:00 - 10:15;true;true;true;1697159400000000;1697166000000000;true;5.0;115.0;12:00 - 12:15;10:00 - 10:15;false;false;2.8;3.2;0.8;0.8;2.9;0.8;0.1;0.9;2.6;0.6;2.9;Strong Downtrend;Strong Downtrend;false;true;0.3
2023-10-16;true;true;true;true;true;true;false;false;1697417700000000;09:45 - 10:00;false;false;false;1697418000000000;1697418000000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;;;-0.0;-0.2;0.3;0.3;-0.1;1.5;0.2;0.4;1.4;-0.3;1.5;Contraction;Weak Downtrend;true;true;0.5
2023-10-17;true;true;true;false;true;true;true;false;1697504400000000;10:00 - 10:15;false;true;true;1697504700000000;1697509500000000;false;5.0;85.0;11:15 - 11:30;10:00 - 10:15;false;false;-3.4;-3.7;-0.2;-0.2;-3.5;-0.2;0.4;0.6;-2.8;-3.5;1.4;Strong Uptrend;Expansion;true;true;0.1
2023-10-18;false;true;true;true;true;true;false;false;1697589000000000;09:30 - 09:45;false;false;false;1697589300000000;1697590200000000;false;5.0;20.0;09:45 - 10:00;09:30 - 09:45;false;false;-1.3;-1.8;-0.3;-0.5;-1.4;1.5;0.8;0.0;1.3;-1.4;1.5;Contraction;Strong Downtrend;false;true;0.4
2023-10-19;false;false;true;false;true;true;true;true;1697679300000000;10:30 - 10:45;false;true;true;1697682000000000;1697691600000000;true;45.0;205.0;14:00 - 14:15;11:15 - 11:30;false;false;-1.5;-1.8;0.1;0.1;-1.6;0.1;0.5;0.2;-1.4;-1.6;0.8;Strong Downtrend;Medium Uptrend;true;false;0.4
2023-10-20;false;true;true;true;true;true;false;false;1697764200000000;10:00 - 10:15;false;false;false;1697764500000000;1697764800000000;false;5.0;10.0;10:15 - 10:30;10:15 - 10:30;true;false;-0.3;-0.3;-0.2;-0.2;-0.4;1.1;0.8;0.0;0.6;-0.4;1.1;Medium Downtrend;Strong Uptrend;true;true;0.6
2023-10-23;false;false;true;false;true;true;true;true;1698027000000000;11:00 - 11:15;false;true;true;1698027600000000;1698033900000000;true;10.0;115.0;13:00 - 13:15;11:15 - 11:30;;;-0.9;-1.2;0.1;-0.1;-1.0;0.1;0.8;0.1;-0.4;-1.0;0.7;Medium Uptrend;Weak Uptrend;true;true;0.2
2023-10-24;true;true;false;true;false;true;true;true;1698108900000000;09:45 - 10:00;true;true;true;1698111300000000;1698114600000000;true;40.0;95.0;11:30 - 11:45;10:30 - 10:45;false;false;3.3;4.1;0.3;0.2;3.4;0.3;0.3;1.0;2.5;0.1;3.4;Strong Uptrend;Strong Downtrend;false;true;0.2
2023-10-25;true;true;false;true;false;true;true;true;1698195900000000;10:00 - 10:15;true;true;true;1698198300000000;1698210600000000;true;40.0;245.0;14:00 - 14:15;10:45 - 11:00;false;false;2.0;2.3;0.6;0.6;2.1;0.6;0.2;0.8;1.7;0.3;2.1;Strong Downtrend;Medium Downtrend;true;false;0.4
2023-10-26;true;false;true;false;true;true;true;true;1698281400000000;09:45 - 10:00;false;true;true;1698284100000000;1698297900000000;true;45.0;275.0;14:15 - 14:30;10:30 - 10:45;false;false;-1.8;-2.3;0.4;0.4;-1.9;0.4;0.0;0.6;-1.8;-1.9;0.9;Strong Downtrend;Strong Uptrend;false;false;0.3
2023-10-27;false;true;true;true;true;true;false;false;1698367800000000;09:45 - 10:00;false;false;false;1698368100000000;1698370200000000;true;5.0;40.0;10:30 - 10:45;09:45 - 10:00;false;false;-0.6;-0.7;0.1;0.1;-0.7;1.2;0.8;0.1;0.8;-0.7;1.2;Medium Uptrend;Strong Uptrend;false;true;0.4
2023-10-30;false;true;false;true;false;true;true;true;1698631200000000;11:00 - 11:15;true;true;false;1698632400000000;1698638700000000;true;20.0;125.0;13:00 - 13:15;11:15 - 11:30;;;1.8;2.0;0.6;0.5;1.9;0.6;0.6;0.1;1.0;0.1;1.9;Strong Downtrend;Medium Uptrend;true;true;0.3
2023-10-31;false;false;true;false;true;true;true;true;1698714000000000;10:00 - 10:15;false;true;true;1698714300000000;1698723900000000;true;5.0;165.0;12:45 - 13:00;10:00 - 10:15;false;false;-2.2;-2.8;0.3;0.2;-2.3;0.3;0.7;0.2;-1.7;-2.3;0.4;Strong Uptrend;Weak Downtrend;false;true;0.3
