date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;true;true;true;true;true;true;false;false;1695023400000000;03:45 - 04:00;false;false;false;1695024000000000;1695024900000000;true;10.0;25.0;04:15 - 04:30;04:00 - 04:15;true;false;-0.9;-1.2;0.0;-0.1;-1.0;2.4;0.5;0.7;0.6;-1.0;2.4;Medium Downtrend;;true;false;2.0
2023-09-19;false;true;true;true;true;true;false;false;1695108900000000;03:30 - 03:45;true;false;true;1695114000000000;1695126000000000;true;85.0;285.0;08:15 - 08:30;05:00 - 05:15;true;true;4.1;10.3;-0.1;-1.1;4.2;-0.1;0.5;0.4;3.5;-0.1;4.2;Expansion;Contraction;true;false;6.2
2023-09-20;false;true;false;true;false;true;true;true;1695195900000000;03:45 - 04:00;true;true;true;1695197400000000;1695204000000000;true;25.0;135.0;06:00 - 06:15;04:00 - 04:15;false;false;1.9;2.1;0.9;1.0;2.0;0.9;1.0;0.5;1.8;0.4;2.0;Strong Downtrend;Strong Downtrend;false;true;19.9
2023-09-21;false;false;true;false;true;true;true;true;1695281400000000;03:30 - 03:45;false;true;true;1695283500000000;1695294000000000;true;35.0;210.0;07:00 - 07:15;04:00 - 04:15;false;false;-5.6;-7.4;0.2;0.3;-5.7;0.2;0.7;0.0;-4.3;-5.7;0.2;Weak Downtrend;Strong Downtrend;false;true;1.7
2023-09-22;false;false;true;false;true;true;true;true;1695372000000000;04:30 - 04:45;false;true;false;1695372900000000;1695376200000000;true;15.0;70.0;05:45 - 06:00;04:45 - 05:00;false;false;-0.5;-0.8;0.1;-0.1;-0.6;0.4;0.8;0.2;0.3;-0.6;0.6;Strong Downtrend;Strong Uptrend;false;true;7.9
2023-09-25;true;false;true;false;true;true;true;true;1695627600000000;03:30 - 03:45;false;true;true;1695628500000000;1695633300000000;true;15.0;95.0;05:15 - 05:30;03:45 - 04:00;false;false;-3.0;-5.5;0.4;0.4;-3.1;0.4;0.2;0.3;-2.1;-3.1;0.8;Weak Uptrend;Strong Downtrend;true;false;1.8
2023-09-26;true;true;false;true;false;true;true;true;1695715500000000;04:00 - 04:15;true;true;true;1695719400000000;1695721800000000;true;65.0;105.0;05:45 - 06:00;05:00 - 05:15;false;false;2.5;4.7;0.9;1.3;2.6;0.3;0.4;0.5;1.6;0.1;2.6;Strong Downtrend;Contraction;true;false;4.4
2023-09-27;false;true;true;true;true;true;false;false;1695803100000000;04:15 - 04:30;true;false;false;1695803400000000;1695803400000000;false;5.0;5.0;04:30 - 04:45;04:30 - 04:45;false;false;1.6;2.2;1.4;1.7;1.7;-0.8;1.0;0.7;0.3;-0.8;1.7;Expansion;Strong Downtrend;false;false;1.7
2023-09-28;true;true;false;true;false;true;true;true;1695886200000000;03:30 - 03:45;true;true;true;1695888000000000;1695901800000000;true;30.0;260.0;07:45 - 08:00;04:00 - 04:15;false;false;3.5;3.7;1.0;1.0;3.6;1.0;0.1;0.9;3.2;0.8;3.6;Expansion;Medium Downtrend;true;false;4.8
2023-09-29;false;true;true;true;true;true;false;false;1695972900000000;03:30 - 03:45;true;false;true;1695976200000000;1695985500000000;true;55.0;210.0;07:00 - 07:15;04:30 - 04:45;false;false;2.4;3.2;-0.4;-0.9;2.5;-0.4;0.6;0.2;1.2;-0.4;2.5;Strong Uptrend;Medium Uptrend;false;false;6.3
