date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2023-09-18;false;true;false;true;false;true;true;true;1695050700000000;11:15 - 11:30;true;true;false;1695051000000000;1695052200000000;true;5.0;25.0;11:45 - 12:00;11:30 - 11:45;false;false;1.5;1.7;1.0;1.1;1.6;0.1;1.0;0.3;0.5;0.1;1.6;Weak Downtrend;Medium Downtrend;false;false;1.2
2023-09-19;false;false;true;false;true;true;true;true;1695136800000000;11:15 - 11:30;false;true;false;1695137100000000;1695137100000000;true;5.0;5.0;11:15 - 11:30;11:15 - 11:30;false;false;-0.2;-0.5;0.0;-0.1;-0.3;0.4;0.6;0.1;0.4;-0.3;0.8;Medium Uptrend;Expansion;false;false;1.0
2023-09-20;true;true;true;true;true;true;false;false;1695227100000000;12:15 - 12:30;true;false;false;1695227400000000;1695228000000000;false;5.0;15.0;12:30 - 12:45;12:30 - 12:45;false;false;1.4;1.8;1.2;1.4;1.5;-1.6;0.1;0.8;-1.5;-1.6;1.5;Strong Uptrend;Strong Downtrend;true;true;0.9
2023-09-21;true;true;false;true;false;true;true;true;1695306900000000;10:30 - 10:45;true;true;false;1695307800000000;1695317400000000;true;15.0;175.0;13:30 - 13:45;10:45 - 11:00;false;false;1.3;1.7;0.7;0.8;1.4;0.7;0.7;0.9;1.0;0.7;1.4;Strong Downtrend;Weak Downtrend;false;true;1.0
2023-09-22;true;false;true;false;true;true;true;true;1695401700000000;12:45 - 13:00;false;true;true;1695402900000000;1695408000000000;true;20.0;105.0;14:30 - 14:45;13:15 - 13:30;false;true;-0.6;-0.7;0.2;0.1;-0.7;0.2;0.2;0.7;-0.5;-0.7;0.9;Contraction;Medium Downtrend;false;true;0.9
2023-09-25;false;true;true;true;false;true;true;false;1695662100000000;13:15 - 13:30;true;true;false;1695663900000000;1695666000000000;true;30.0;65.0;14:15 - 14:30;13:45 - 14:00;false;false;1.1;1.4;0.8;0.8;1.2;0.5;0.7;0.3;0.7;-0.0;1.2;Strong Downtrend;Expansion;false;true;2.1
2023-09-26;false;false;true;false;true;true;true;true;1695739800000000;10:45 - 11:00;false;true;true;1695748200000000;1695753300000000;true;140.0;225.0;14:30 - 14:45;13:00 - 13:15;false;false;-0.8;-1.6;0.2;0.0;-0.9;0.2;0.6;0.1;-0.8;-0.9;0.5;Weak Uptrend;Strong Downtrend;true;true;1.7
2023-09-27;true;true;true;false;true;true;true;false;1695826500000000;10:45 - 11:00;false;true;false;1695828600000000;1695836100000000;true;35.0;160.0;13:30 - 13:45;11:30 - 11:45;false;true;-1.0;-1.7;1.0;1.3;-1.1;1.1;0.6;0.7;0.4;-1.1;1.1;Weak Downtrend;Expansion;true;false;1.5
2023-09-28;true;true;false;true;false;true;true;true;1695914400000000;11:15 - 11:30;true;true;false;1695914700000000;1695916200000000;true;5.0;30.0;11:45 - 12:00;11:15 - 11:30;false;false;1.8;1.9;0.9;0.9;1.9;0.3;0.6;0.7;0.8;0.2;1.9;Strong Uptrend;Expansion;true;true;0.6
2023-09-29;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.9;0.0;0.3;0.0;0.6;Medium Downtrend;Strong Uptrend;false;false;3.4
2023-10-02;false;false;true;false;true;true;true;true;1696257900000000;10:45 - 11:00;false;true;true;1696260600000000;1696276500000000;true;45.0;310.0;15:45 - 16:00;11:30 - 11:45;false;false;-1.1;-1.4;0.8;1.0;-1.2;0.8;0.7;0.5;-1.1;-1.2;0.8;Strong Downtrend;Weak Uptrend;false;true;0.9
2023-10-03;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;true;true;;;;;;;0.5;0.5;0.5;0.1;0.8;Expansion;Weak Downtrend;true;false;1.9
2023-10-04;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.8;0.0;0.6;0.0;0.9;Strong Uptrend;Expansion;true;true;1.3
2023-10-05;true;true;false;true;false;true;true;true;1696519200000000;11:15 - 11:30;true;true;true;1696519500000000;1696535700000000;true;5.0;275.0;15:45 - 16:00;11:15 - 11:30;false;true;2.6;4.2;1.0;1.3;2.7;1.0;0.6;0.8;2.6;0.1;2.7;Medium Uptrend;Expansion;false;false;1.5
2023-10-06;true;true;false;true;false;true;true;true;1696602600000000;10:30 - 10:45;true;true;true;1696604100000000;1696606800000000;true;25.0;70.0;11:30 - 11:45;10:45 - 11:00;false;false;2.3;2.5;0.9;1.0;2.4;0.9;0.4;1.0;2.0;0.9;2.4;Weak Downtrend;Expansion;true;true;1.4
2023-10-09;true;true;true;true;true;true;false;false;1696863900000000;11:00 - 11:15;true;false;true;1696870500000000;1696881300000000;true;110.0;290.0;15:45 - 16:00;12:45 - 13:00;false;false;2.6;3.3;-0.3;-0.5;2.7;-0.3;0.1;0.5;2.7;-0.3;2.7;Strong Uptrend;Strong Downtrend;false;true;0.7
2023-10-10;true;true;false;true;false;true;true;true;1696951800000000;11:30 - 11:45;true;true;true;1696952100000000;1696956300000000;false;5.0;75.0;12:45 - 13:00;11:30 - 11:45;false;false;1.9;2.2;1.2;1.3;2.0;0.9;0.3;0.8;1.7;0.4;2.0;Strong Uptrend;Strong Downtrend;true;true;1.2
2023-10-11;true;false;true;false;true;true;true;true;1697036700000000;11:00 - 11:15;false;true;false;1697038500000000;1697046300000000;true;30.0;160.0;13:45 - 14:00;11:30 - 11:45;false;false;-0.8;-1.3;0.1;0.1;-0.9;0.2;0.3;0.3;0.1;-0.9;0.4;Medium Uptrend;Expansion;false;true;1.0
2023-10-12;false;false;true;false;true;true;true;true;1697121600000000;10:30 - 10:45;false;true;true;1697121900000000;1697137200000000;false;5.0;260.0;15:00 - 15:15;10:45 - 11:00;false;false;-2.0;-3.2;-0.1;-0.5;-2.1;-0.1;0.9;0.3;-1.9;-2.1;0.3;Strong Downtrend;Expansion;false;true;0.9
2023-10-13;false;false;true;false;true;true;true;true;1697208600000000;10:45 - 11:00;false;true;true;1697213700000000;1697217300000000;true;85.0;145.0;13:15 - 13:30;12:15 - 12:30;true;false;-0.4;-0.5;0.1;0.1;-0.5;0.1;0.7;0.0;-0.1;-0.5;0.4;Strong Downtrend;Medium Uptrend;false;true;0.9
2023-10-16;true;true;false;true;false;true;true;true;1697466600000000;10:30 - 10:45;true;true;true;1697466900000000;1697484300000000;false;5.0;295.0;15:15 - 15:30;10:30 - 10:45;false;true;3.3;4.1;1.1;1.3;3.4;1.1;0.9;1.0;3.3;0.9;3.4;Weak Downtrend;Strong Uptrend;false;false;1.2
2023-10-17;true;true;false;true;false;true;true;true;1697555400000000;11:00 - 11:15;true;true;false;1697556600000000;1697559900000000;true;20.0;75.0;12:15 - 12:30;11:30 - 11:45;false;false;1.3;1.6;0.9;1.0;1.4;0.6;0.1;0.9;0.8;0.6;1.4;Expansion;Strong Downtrend;false;false;2.3
2023-10-18;false;false;true;false;true;true;true;true;1697639400000000;10:30 - 10:45;false;true;true;1697649300000000;1697655900000000;true;165.0;275.0;15:00 - 15:15;13:15 - 13:30;false;true;-0.7;-0.8;0.9;1.0;-0.8;0.9;0.6;0.0;-0.6;-0.8;0.9;Strong Downtrend;Strong Uptrend;false;false;1.3
2023-10-19;true;true;true;true;true;true;false;false;1697731200000000;12:00 - 12:15;true;false;false;1697731800000000;1697732400000000;false;10.0;20.0;12:15 - 12:30;12:00 - 12:15;false;false;2.2;4.3;1.3;2.3;2.3;-0.5;0.2;0.5;0.4;-0.6;2.4;Medium Uptrend;Weak Downtrend;false;true;0.8
2023-10-20;false;true;false;true;false;true;true;true;1697821800000000;13:00 - 13:15;true;true;false;1697823000000000;1697823600000000;true;20.0;30.0;13:30 - 13:45;13:30 - 13:45;false;false;1.3;1.4;1.0;1.1;1.4;0.7;0.5;0.2;1.0;0.2;1.4;Strong Uptrend;Strong Downtrend;true;true;2.2
2023-10-23;true;true;false;true;false;true;true;true;1698073800000000;11:00 - 11:15;true;true;true;1698074100000000;1698087000000000;true;5.0;220.0;14:45 - 15:00;11:15 - 11:30;true;false;1.6;1.7;1.0;1.0;1.7;1.0;0.2;0.9;1.5;0.8;1.7;Weak Uptrend;Expansion;true;false;2.8
2023-10-24;false;false;true;false;true;true;true;true;1698158100000000;10:30 - 10:45;false;true;true;1698159000000000;1698166200000000;true;15.0;135.0;12:45 - 13:00;10:45 - 11:00;false;false;-0.5;-0.5;0.2;0.3;-0.6;0.2;0.7;0.4;-0.3;-0.6;0.5;Strong Downtrend;Strong Uptrend;false;true;1.1
2023-10-25;true;true;true;true;true;true;false;false;1698244200000000;10:30 - 10:45;true;false;false;1698244500000000;1698245100000000;true;5.0;15.0;10:45 - 11:00;10:30 - 10:45;false;false;1.5;1.9;1.0;1.2;1.6;-0.4;0.3;0.9;-0.4;-0.4;1.6;Medium Downtrend;Weak Downtrend;false;true;0.7
2023-10-26;true;true;true;true;true;true;false;false;1698336300000000;12:00 - 12:15;false;false;false;1698336600000000;1698336600000000;false;5.0;5.0;12:00 - 12:15;12:00 - 12:15;true;false;-0.1;-0.2;-0.1;-0.1;-0.2;1.1;0.3;0.3;0.5;-0.2;1.1;Strong Uptrend;Strong Downtrend;true;true;1.7
