date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;false;true;true;true;false;1254123600000000;03:30 - 03:45;false;true;false;1254125700000000;1254125700000000;false;35.0;35.0;04:15 - 04:30;04:15 - 04:30;;;-0.1;-0.1;-0.1;-0.1;-0.2;1.0;0.1;0.0;0.8;-0.6;1.0;Strong Downtrend;;true;false;15.7
2009-09-29;false;true;true;true;true;true;false;false;1254209400000000;03:30 - 03:45;false;false;true;1254211800000000;1254226800000000;true;40.0;290.0;08:15 - 08:30;04:00 - 04:15;false;false;-32.0;-32.0;10.0;10.0;-32.1;10.0;1.0;0.0;-25.6;-32.1;10.0;Contraction;Weak Uptrend;true;false;0.1
2009-09-30;false;true;true;true;true;true;false;false;1254295800000000;03:30 - 03:45;false;false;false;1254296100000000;1254296100000000;false;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;false;-1.2;-2.1;0.0;-0.4;-1.3;7.1;1.0;0.2;5.6;-1.3;7.1;Strong Uptrend;Strong Uptrend;false;false;1.6
2009-10-02;false;false;true;false;true;true;true;true;1254468900000000;03:30 - 03:45;false;true;true;1254471000000000;1254486300000000;true;35.0;290.0;08:15 - 08:30;04:00 - 04:15;false;false;-1.3;-4.1;0.7;0.6;-1.4;0.7;0.6;0.4;-1.0;-1.4;0.7;Medium Downtrend;Contraction;false;true;0.6
2009-10-05;false;true;true;true;true;true;false;false;1254729600000000;04:00 - 04:15;true;false;false;1254729900000000;1254730200000000;true;5.0;10.0;04:00 - 04:15;04:00 - 04:15;false;true;1.7;2.9;1.0;1.5;1.8;-0.2;0.5;0.5;-0.2;-0.2;1.8;Strong Uptrend;Contraction;true;true;1.0
2009-10-07;false;true;false;true;false;true;true;true;1254902100000000;03:45 - 04:00;true;true;true;1254902400000000;1254905700000000;false;5.0;60.0;04:45 - 05:00;04:00 - 04:15;false;false;4.0;6.2;1.4;1.8;4.1;0.1;0.8;0.7;1.2;0.0;4.1;Contraction;Strong Uptrend;false;true;0.7
2009-10-12;false;true;false;true;false;true;true;true;1255334100000000;03:45 - 04:00;true;true;true;1255334400000000;1255342500000000;true;5.0;140.0;06:15 - 06:30;04:00 - 04:15;false;;7.1;7.6;0.7;0.6;7.2;0.7;1.0;0.4;4.4;0.0;7.2;Strong Downtrend;Strong Uptrend;false;true;1.6
2009-10-13;false;true;false;true;false;true;true;true;1255420500000000;03:45 - 04:00;true;true;true;1255420800000000;1255432200000000;false;5.0;195.0;07:00 - 07:15;04:00 - 04:15;false;false;6.4;6.9;1.1;1.1;6.5;1.1;1.0;0.2;4.5;0.0;6.5;Medium Downtrend;Contraction;false;true;1.1
2009-10-14;true;true;true;true;true;true;false;false;1255507200000000;04:00 - 04:15;true;false;false;1255507500000000;1255507500000000;true;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;true;1.1;1.2;0.7;0.7;1.2;-6.6;0.1;0.5;-3.2;-6.6;1.3;Strong Uptrend;Strong Uptrend;true;true;0.8
2009-10-15;false;true;true;true;true;true;false;false;1255592400000000;03:30 - 03:45;true;false;false;1255597200000000;1255597200000000;false;80.0;80.0;05:00 - 05:15;05:00 - 05:15;false;;1.3;1.3;1.4;1.4;1.4;-8.1;1.0;0.0;-8.1;-8.1;1.9;Strong Downtrend;Contraction;false;true;1.0
2009-10-19;true;true;true;true;true;true;false;false;1255940700000000;04:15 - 04:30;true;false;false;1255941000000000;1255941000000000;true;5.0;5.0;04:30 - 04:45;04:30 - 04:45;true;true;1.1;1.5;0.9;1.2;1.2;-0.1;0.3;0.5;0.4;-0.1;1.2;Weak Uptrend;Strong Uptrend;false;true;2.0
2009-10-20;false;false;true;false;true;true;true;true;1256025300000000;03:45 - 04:00;false;true;false;1256025900000000;1256029500000000;false;10.0;70.0;05:00 - 05:15;04:00 - 04:15;false;false;-1.0;-1.6;-0.1;-0.3;-1.1;0.6;0.8;0.1;0.0;-1.1;0.6;Strong Uptrend;Strong Uptrend;false;false;3.2
2009-10-21;true;false;true;false;true;true;true;true;1256114100000000;04:30 - 04:45;false;true;true;1256115000000000;1256125200000000;true;15.0;185.0;07:30 - 07:45;04:45 - 05:00;false;false;-2.6;-3.4;0.4;0.4;-2.7;0.4;0.1;0.8;-2.1;-2.7;1.0;Strong Uptrend;Strong Downtrend;false;false;2.1
2009-10-23;true;true;false;true;false;true;true;true;1256289300000000;05:15 - 05:30;true;true;true;1256291400000000;1256291400000000;false;35.0;35.0;05:45 - 06:00;05:45 - 06:00;false;false;1.7;2.4;1.1;1.4;1.8;0.8;0.7;0.8;1.6;0.1;1.8;Strong Downtrend;Strong Uptrend;true;false;2.2
2009-10-26;false;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.6;0.2;0.1;0.1;0.8;Expansion;Strong Downtrend;false;false;1.3
2009-10-28;false;false;true;false;true;true;true;true;1256715000000000;03:30 - 03:45;false;true;true;1256715300000000;1256729100000000;false;5.0;235.0;07:15 - 07:30;03:30 - 03:45;false;false;-5.6;-6.0;0.0;0.0;-5.7;0.0;0.8;0.0;-3.5;-5.7;0.1;Weak Uptrend;Strong Uptrend;true;false;1.2
2009-11-09;false;true;true;true;true;true;false;false;1257757200000000;04:00 - 04:15;false;false;false;1257757500000000;1257757500000000;false;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;false;-0.4;-0.5;-0.1;-0.2;-0.5;2.0;0.8;0.3;0.3;-0.5;2.0;Strong Uptrend;Strong Uptrend;true;true;1.0
2009-11-10;true;true;false;true;false;true;true;true;1257842100000000;03:30 - 03:45;true;true;true;1257855900000000;1257859500000000;true;230.0;290.0;08:15 - 08:30;07:15 - 07:30;false;false;4.4;5.5;0.3;0.4;4.5;0.3;0.6;0.9;4.0;0.3;4.5;Strong Downtrend;Strong Downtrend;true;false;1.7
2009-11-19;false;false;true;false;true;true;true;true;1258621800000000;04:00 - 04:15;false;true;false;1258627800000000;1258629900000000;false;100.0;135.0;06:15 - 06:30;05:45 - 06:00;false;true;-0.9;-1.7;-0.1;-0.3;-1.0;0.3;0.7;0.2;0.3;-1.0;0.4;Strong Downtrend;Strong Downtrend;false;true;1.4
2009-11-20;false;true;true;true;true;true;false;false;1258706100000000;03:30 - 03:45;true;false;false;1258706400000000;1258706400000000;true;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;true;1.4;1.7;0.8;0.7;1.5;-3.9;1.0;0.6;-1.5;-3.9;1.5;Expansion;Strong Uptrend;false;false;2.7
2009-11-23;true;false;true;false;true;true;true;true;1258966500000000;03:45 - 04:00;false;true;true;1258970400000000;1258982400000000;true;65.0;265.0;08:15 - 08:30;05:00 - 05:15;false;false;-1.3;-1.9;0.4;0.4;-1.4;0.4;0.0;0.5;-1.0;-1.4;1.0;Strong Uptrend;Strong Uptrend;true;true;1.1
2009-11-24;false;true;false;true;false;true;true;true;1259052600000000;03:45 - 04:00;true;true;true;1259052900000000;1259059500000000;true;5.0;115.0;05:45 - 06:00;03:45 - 04:00;true;false;3.5;6.3;0.9;1.3;3.6;0.9;0.8;0.7;2.4;0.6;3.6;Weak Uptrend;Medium Downtrend;false;false;0.7
