date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;true;true;true;true;false;false;1254147600000000;10:15 - 10:30;true;false;false;1254149700000000;1254153900000000;false;35.0;105.0;12:00 - 12:15;10:45 - 11:00;;;2.4;3.0;1.1;1.3;2.5;-0.5;0.3;0.8;-0.4;-0.5;2.5;Contraction;Strong Downtrend;false;true;0.6
2009-09-29;true;true;true;true;true;true;false;false;1254232800000000;10:00 - 10:15;false;false;false;1254233400000000;1254234300000000;true;10.0;25.0;10:15 - 10:30;10:00 - 10:15;false;false;-0.4;-0.4;0.4;0.4;-0.5;2.9;0.0;0.4;1.5;-1.0;2.9;Expansion;Contraction;false;false;12.0
2009-09-30;false;true;true;true;true;true;false;false;1254319200000000;10:00 - 10:15;false;false;false;1254319500000000;1254319500000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;-0.0;-0.1;0.1;0.0;-0.1;2.0;0.9;0.0;1.7;-0.2;2.0;Expansion;Strong Uptrend;false;false;6.5
2009-10-02;true;true;false;true;false;true;true;true;1254493800000000;10:30 - 10:45;true;true;false;1254494100000000;1254494100000000;true;5.0;5.0;10:30 - 10:45;10:30 - 10:45;false;false;1.1;1.2;0.9;1.0;1.2;0.4;0.2;0.8;0.7;0.4;1.2;Expansion;Medium Downtrend;false;true;5.7
2009-10-05;true;true;true;true;false;true;true;false;1254758100000000;11:45 - 12:00;true;true;true;1254758400000000;1254763800000000;false;5.0;95.0;13:30 - 13:45;12:00 - 12:15;true;false;3.7;4.4;1.2;1.3;3.8;1.2;0.3;0.7;3.7;-0.0;3.8;Expansion;Strong Uptrend;true;false;1.7
2009-10-06;true;true;false;true;false;true;true;true;1254837600000000;10:00 - 10:15;true;true;true;1254837900000000;1254840900000000;true;5.0;55.0;10:45 - 11:00;10:00 - 10:15;false;;2.4;2.8;0.9;0.9;2.5;0.8;0.4;0.9;2.2;0.7;2.5;;;;;
2009-10-07;false;true;true;true;true;true;false;false;1254926700000000;10:45 - 11:00;false;false;false;;;false;;;;;false;true;;;;;0.0;1.0;0.7;0.5;0.8;-0.2;1.0;Expansion;Contraction;true;true;2.8
2009-10-08;false;true;true;true;false;true;true;false;1255012200000000;10:30 - 10:45;true;true;true;1255023000000000;1255023000000000;true;180.0;180.0;13:30 - 13:45;13:30 - 13:45;false;false;9.0;9.0;-1.4;-1.4;9.1;-1.4;0.5;0.1;6.1;-1.4;9.1;;;;;
2009-10-09;false;true;true;true;true;true;false;false;1255097100000000;10:00 - 10:15;true;false;false;1255097400000000;1255097400000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;1.3;1.5;0.9;0.9;1.4;-0.6;1.0;0.5;0.5;-0.6;1.4;;;;;
2009-10-12;true;true;false;true;false;true;true;true;1255356600000000;10:00 - 10:15;true;true;false;1255362300000000;1255370700000000;true;95.0;235.0;14:00 - 14:15;11:45 - 12:00;false;;1.2;1.5;0.3;0.2;1.3;0.1;0.2;0.9;0.6;0.1;1.5;Strong Uptrend;Strong Downtrend;true;true;3.4
2009-10-13;true;true;true;true;true;true;false;false;1255443600000000;10:15 - 10:30;false;false;false;;;false;;;;;false;false;;;;;-0.1;1.6;0.2;0.4;1.1;-0.1;1.6;Medium Uptrend;Medium Downtrend;true;true;2.5
2009-10-14;false;true;true;true;true;true;false;false;1255529100000000;10:00 - 10:15;false;false;false;1255529400000000;1255530000000000;true;5.0;15.0;10:15 - 10:30;10:00 - 10:15;true;false;-0.4;-1.2;0.0;-0.3;-0.5;1.4;0.6;0.5;0.0;-0.5;1.4;Strong Downtrend;Strong Uptrend;true;false;2.8
2009-10-15;true;true;true;true;true;true;false;false;1255616100000000;10:15 - 10:30;true;false;false;1255627800000000;1255627800000000;true;195.0;195.0;13:30 - 13:45;13:30 - 13:45;false;;11.3;11.3;-4.8;-4.8;11.4;-5.8;0.0;0.5;-2.6;-5.8;11.4;Strong Downtrend;Strong Downtrend;true;false;1.1
2009-10-16;true;true;true;true;false;true;true;false;1255702500000000;10:15 - 10:30;true;true;true;1255713900000000;1255713900000000;true;190.0;190.0;13:15 - 13:30;13:15 - 13:30;false;;8.0;8.0;-2.8;-2.8;8.1;-2.8;0.0;1.0;4.5;-2.8;8.1;;;;;
2009-10-19;false;true;false;true;false;true;true;true;1255962900000000;10:30 - 10:45;true;true;true;1255964700000000;1255982100000000;true;30.0;320.0;15:45 - 16:00;11:00 - 11:15;true;true;2.8;3.8;0.9;1.1;2.9;0.9;0.8;0.3;2.8;0.2;2.9;Medium Downtrend;Weak Uptrend;true;false;1.4
2009-10-20;false;false;true;false;true;true;true;true;1256047800000000;10:00 - 10:15;false;true;true;1256050500000000;1256053500000000;true;45.0;95.0;11:45 - 12:00;10:45 - 11:00;false;false;-1.6;-2.4;0.2;0.0;-1.7;0.2;0.9;0.6;-1.0;-1.7;0.7;Strong Downtrend;Strong Uptrend;false;true;1.2
2009-10-21;false;true;true;true;false;true;true;false;1256136000000000;10:30 - 10:45;true;true;true;1256140500000000;1256145300000000;false;75.0;155.0;13:15 - 13:30;11:45 - 12:00;true;true;3.1;3.9;1.3;1.6;3.2;1.0;0.2;0.1;1.2;-0.1;3.2;Medium Downtrend;Strong Uptrend;false;true;1.2
2009-10-23;false;false;true;false;true;true;true;true;1256306400000000;10:00 - 10:15;false;true;true;1256306700000000;1256311200000000;false;5.0;80.0;11:15 - 11:30;10:00 - 10:15;false;false;-7.2;-11.3;-0.4;-0.8;-7.3;-0.4;0.6;0.5;-4.7;-7.3;1.0;Strong Uptrend;Strong Downtrend;true;true;0.6
2009-10-26;true;true;true;true;true;true;false;false;1256565600000000;10:00 - 10:15;true;false;false;1256565900000000;1256565900000000;false;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;1.3;1.6;1.1;1.3;1.4;-3.8;0.1;0.9;-3.5;-3.8;1.4;Weak Uptrend;Expansion;false;true;0.9
2009-10-27;false;true;true;true;true;true;false;false;1256661900000000;12:45 - 13:00;false;false;false;1256664300000000;1256664300000000;true;40.0;40.0;13:15 - 13:30;13:15 - 13:30;false;;-18.6;-18.6;19.3;19.3;-18.7;19.3;1.0;0.0;1.6;-18.7;19.3;;;;;
2009-10-28;true;false;true;false;true;true;true;true;1256738400000000;10:00 - 10:15;false;true;true;1256739000000000;1256758800000000;true;10.0;340.0;15:30 - 15:45;10:00 - 10:15;true;true;-1.2;-2.0;0.7;0.8;-1.3;0.7;0.1;0.5;-1.2;-1.3;0.7;Medium Downtrend;Weak Uptrend;false;true;3.8
2009-11-09;false;false;true;false;true;true;true;true;1257779100000000;10:00 - 10:15;false;true;true;1257785400000000;1257791100000000;true;105.0;200.0;13:15 - 13:30;11:45 - 12:00;false;false;-2.0;-2.9;0.7;1.0;-2.1;0.7;0.7;0.1;-1.1;-2.1;0.7;Weak Uptrend;Strong Uptrend;false;false;1.0
2009-11-10;true;true;true;true;true;true;false;false;1257866400000000;10:15 - 10:30;true;false;false;1257866700000000;1257867000000000;false;5.0;10.0;10:30 - 10:45;10:15 - 10:30;true;false;1.9;3.1;1.3;1.9;2.0;-0.6;0.2;0.3;1.0;-0.6;2.0;Strong Uptrend;Strong Downtrend;true;true;2.9
2009-11-12;true;true;true;false;true;true;true;false;1258042200000000;11:00 - 11:15;false;true;true;1258042500000000;1258058400000000;true;5.0;270.0;15:30 - 15:45;11:15 - 11:30;false;;-1.2;-2.1;0.2;0.0;-1.3;0.2;0.5;0.9;-1.1;-1.3;1.2;;;;;
2009-11-18;true;false;true;false;true;true;true;true;1258557000000000;10:00 - 10:15;false;true;true;1258560000000000;1258568400000000;true;50.0;190.0;13:15 - 13:30;11:00 - 11:15;false;;-1.0;-1.8;0.5;0.5;-1.1;0.5;0.3;0.3;-0.4;-1.1;0.5;;;;;
2009-11-19;false;true;true;true;true;true;false;false;1258645500000000;10:45 - 11:00;false;false;false;1258645800000000;1258645800000000;false;5.0;5.0;10:45 - 11:00;10:45 - 11:00;false;false;-0.3;-0.4;0.0;-0.1;-0.4;1.5;0.9;0.3;1.4;-0.4;1.5;Weak Downtrend;Strong Downtrend;false;true;1.8
