date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;false;true;true;true;false;1254096600000000;09:00 - 09:15;false;true;false;1254097500000000;1254102900000000;true;15.0;105.0;10:45 - 11:00;09:15 - 09:30;;;-1.7;-1.7;0.5;0.5;-1.8;0.5;0.8;0.3;0.3;-1.8;1.2;;Strong Uptrend;true;true;0.1
2009-09-29;false;false;true;false;true;true;true;true;1254182400000000;09:00 - 09:15;false;true;true;1254182700000000;1254184800000000;false;5.0;40.0;09:30 - 09:45;09:00 - 09:15;false;false;-2.6;-3.2;-0.2;-0.3;-2.6;0.0;0.8;0.2;-0.4;-2.6;0.2;Strong Uptrend;Weak Uptrend;false;true;0.1
2009-09-30;true;true;false;true;false;true;true;true;1254270300000000;09:15 - 09:30;true;true;true;1254270600000000;1254272100000000;false;5.0;30.0;09:45 - 10:00;09:30 - 09:45;false;false;2.6;3.0;1.2;1.2;2.7;0.2;0.2;1.0;1.4;0.2;2.7;Strong Downtrend;Expansion;true;true;0.0
2009-10-01;true;true;true;true;true;true;false;false;1254356400000000;09:15 - 09:30;true;false;false;1254357000000000;1254357600000000;true;10.0;20.0;09:30 - 09:45;09:30 - 09:45;false;false;8.0;9.7;0.2;0.0;8.0;-3.8;0.4;1.0;-2.8;-3.8;8.0;Contraction;Strong Downtrend;false;true;0.1
2009-10-02;false;true;true;false;true;true;true;false;1254441900000000;09:00 - 09:15;false;true;true;1254442200000000;1254442200000000;false;5.0;5.0;09:00 - 09:15;09:00 - 09:15;false;false;-0.7;-1.0;-0.4;-0.6;-0.8;1.7;0.7;0.1;-0.2;-1.0;1.7;Strong Downtrend;Weak Downtrend;true;true;0.1
2009-10-05;false;true;false;true;false;true;true;true;1254701100000000;09:00 - 09:15;true;true;false;1254701700000000;1254705600000000;true;10.0;75.0;10:15 - 10:30;09:15 - 09:30;;;2.1;2.7;0.7;0.5;2.2;0.5;1.0;0.8;0.9;0.5;2.2;Contraction;Expansion;false;false;0.3
2009-10-06;true;true;false;true;false;true;true;true;1254788700000000;09:15 - 09:30;true;true;true;1254791700000000;1254797100000000;true;50.0;140.0;11:45 - 12:00;10:15 - 10:30;false;false;3.4;5.0;0.0;-0.6;3.4;0.0;0.6;0.8;1.8;0.0;3.4;Strong Uptrend;Strong Uptrend;true;true;0.1
2009-10-07;true;true;true;true;true;true;false;false;1254873900000000;09:00 - 09:15;true;false;true;1254881100000000;1254888600000000;true;120.0;245.0;13:00 - 13:15;11:00 - 11:15;false;false;7.6;7.6;-5.0;-5.0;7.7;-5.0;0.7;1.0;2.7;-5.0;7.7;Strong Uptrend;Weak Downtrend;true;true;0.1
2009-10-08;false;true;true;true;true;true;false;false;1254960900000000;09:15 - 09:30;false;false;false;1254961500000000;1254961500000000;true;10.0;10.0;09:15 - 09:30;09:15 - 09:30;false;false;-0.2;-0.2;0.2;0.2;-0.3;5.0;0.2;0.2;3.4;-0.3;5.0;Strong Uptrend;Weak Downtrend;false;false;0.2
2009-10-09;true;true;true;true;true;true;false;false;1255046400000000;09:00 - 09:15;false;false;true;1255051200000000;1255056900000000;true;80.0;175.0;11:45 - 12:00;10:15 - 10:30;false;false;-5.3;-8.0;2.0;3.0;-5.4;2.0;0.0;0.3;-2.4;-5.4;2.0;Strong Downtrend;Expansion;true;true;0.0
