date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;true;true;true;false;false;1254123000000000;03:30 - 03:45;false;false;false;1254123300000000;1254123600000000;false;5.0;10.0;03:30 - 03:45;03:30 - 03:45;true;false;-1.0;-1.2;-0.5;-0.6;-1.0;2.1;0.1;0.0;2.0;-1.0;2.1;Strong Uptrend;;false;true;2.2
2009-09-29;false;false;true;false;true;true;true;true;1254209400000000;03:30 - 03:45;false;true;false;1254210600000000;1254219900000000;true;20.0;175.0;06:15 - 06:30;03:45 - 04:00;false;false;-1.1;-1.5;0.3;0.2;-1.2;0.3;0.9;0.1;0.0;-1.2;0.3;Medium Downtrend;Strong Uptrend;false;true;3.6
2009-09-30;true;true;true;true;false;true;true;false;1254300000000000;04:30 - 04:45;true;true;true;1254308700000000;1254311100000000;false;145.0;185.0;07:45 - 08:00;07:00 - 07:15;false;true;3.0;6.0;1.6;2.8;3.0;-0.6;0.4;0.8;1.5;-0.6;3.0;Strong Uptrend;Strong Downtrend;true;true;1.5
2009-10-01;true;true;true;true;true;true;false;false;1254382200000000;03:30 - 03:45;true;false;false;1254382500000000;1254382500000000;true;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;true;1.1;1.2;0.9;1.0;1.2;-1.0;0.4;1.0;-0.4;-1.0;1.2;Weak Downtrend;Contraction;true;false;4.8
2009-10-02;false;false;true;false;true;true;true;true;1254468600000000;03:30 - 03:45;false;true;false;1254468900000000;1254468900000000;true;5.0;5.0;03:30 - 03:45;03:30 - 03:45;false;true;-0.2;-0.3;0.0;0.0;-0.3;1.0;0.4;0.0;0.1;-0.3;1.0;Expansion;Strong Downtrend;false;true;2.5
2009-10-05;true;true;false;true;false;true;true;true;1254729300000000;03:45 - 04:00;true;true;true;1254729600000000;1254734100000000;false;5.0;80.0;05:15 - 05:30;04:00 - 04:15;false;true;1.9;4.1;1.1;1.8;2.0;1.1;0.7;0.8;1.1;0.5;2.0;Weak Uptrend;Contraction;true;true;1.6
2009-10-06;true;true;false;true;false;true;true;true;1254815100000000;03:45 - 04:00;true;true;true;1254816000000000;1254829800000000;false;15.0;245.0;07:45 - 08:00;04:00 - 04:15;false;false;4.0;6.8;1.0;1.2;4.1;1.0;0.5;0.7;2.7;0.4;4.1;Medium Uptrend;Strong Uptrend;true;true;2.6
2009-10-07;true;true;true;true;true;true;false;false;1254906000000000;05:00 - 05:15;true;false;false;;;false;;;;;true;true;;;;;1.2;-0.1;0.6;0.9;0.3;-0.1;1.2;Expansion;Strong Uptrend;true;false;9.0
2009-10-08;true;true;true;true;true;true;false;false;1254988800000000;04:00 - 04:15;true;false;false;1254989100000000;1254989100000000;true;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;false;1.3;2.2;0.7;0.8;1.3;-1.3;0.7;0.8;-0.5;-1.3;1.3;Strong Uptrend;Strong Uptrend;false;false;1.4
2009-10-09;true;true;true;true;true;true;false;false;1255074600000000;03:45 - 04:00;true;false;false;1255075200000000;1255075200000000;true;10.0;10.0;04:00 - 04:15;04:00 - 04:15;false;false;1.0;1.2;0.9;1.0;1.1;-0.3;0.1;0.9;-0.1;-0.3;1.1;Expansion;Strong Downtrend;false;false;10.0
2009-10-12;false;true;false;true;false;true;true;true;1255334700000000;04:00 - 04:15;true;true;true;1255335000000000;1255345200000000;false;5.0;175.0;07:00 - 07:15;04:00 - 04:15;true;true;4.0;7.1;1.5;2.0;4.0;1.5;0.8;0.8;3.3;0.3;4.0;Strong Downtrend;Strong Uptrend;false;true;2.8
2009-10-13;true;true;true;true;true;true;false;false;1255419900000000;03:45 - 04:00;false;false;false;1255423800000000;1255425300000000;true;65.0;90.0;05:15 - 05:30;04:45 - 05:00;true;true;-0.6;-1.0;0.8;0.9;-0.7;1.9;0.5;0.8;0.8;-0.7;1.9;Expansion;Strong Downtrend;false;false;5.3
2009-10-14;false;true;true;true;true;true;false;false;1255509300000000;04:30 - 04:45;false;false;false;1255509600000000;1255509600000000;true;5.0;5.0;04:30 - 04:45;04:30 - 04:45;false;false;-0.2;-0.2;0.3;0.4;-0.3;3.7;0.2;0.0;2.6;-0.5;3.7;Strong Uptrend;Strong Uptrend;false;false;3.0
2009-10-15;false;true;true;false;true;true;true;false;1255593000000000;03:45 - 04:00;false;true;true;1255604700000000;1255609500000000;true;195.0;275.0;08:15 - 08:30;07:00 - 07:15;true;false;-3.7;-6.6;1.1;1.3;-3.7;1.1;0.3;0.3;-3.0;-3.7;1.1;Weak Downtrend;Contraction;false;true;3.3
2009-10-16;true;true;true;true;true;true;false;false;1255678800000000;03:30 - 03:45;true;false;false;1255679100000000;1255679100000000;false;5.0;5.0;03:45 - 04:00;03:45 - 04:00;false;false;1.1;1.4;1.0;1.3;1.2;-2.2;0.0;0.7;-1.9;-2.2;1.4;Expansion;Medium Uptrend;true;false;2.6
2009-10-19;true;true;false;true;false;true;true;true;1255937400000000;03:30 - 03:45;true;true;false;1255939500000000;1255945500000000;true;35.0;135.0;05:45 - 06:00;04:00 - 04:15;false;false;1.5;1.5;0.9;0.9;1.6;0.5;0.0;1.0;0.8;0.5;1.6;Strong Uptrend;Strong Downtrend;false;false;3.0
2009-10-20;false;true;true;true;true;true;false;false;1256024400000000;03:30 - 03:45;false;false;false;1256024700000000;1256026500000000;false;5.0;35.0;04:15 - 04:30;03:45 - 04:00;false;false;-2.0;-2.5;-0.3;-0.5;-2.1;1.7;1.0;0.5;0.1;-2.1;1.7;Weak Downtrend;Strong Uptrend;false;true;3.5
2009-10-21;false;false;true;false;true;true;true;true;1256112000000000;04:00 - 04:15;false;true;true;1256112300000000;1256125200000000;true;5.0;220.0;07:30 - 07:45;04:00 - 04:15;false;false;-1.6;-2.5;0.0;-0.3;-1.7;0.0;0.6;0.5;-0.4;-1.7;0.9;Weak Uptrend;Contraction;false;false;3.3
2009-10-22;true;true;true;true;true;true;false;false;1256200800000000;04:30 - 04:45;false;false;false;;;false;;;;;false;true;;;;;-0.3;1.5;0.5;0.9;1.1;-0.3;1.5;Expansion;Strong Downtrend;true;false;4.0
2009-10-23;true;false;true;false;true;true;true;true;1256288100000000;04:45 - 05:00;false;true;false;1256288400000000;1256288400000000;true;5.0;5.0;05:00 - 05:15;05:00 - 05:15;true;false;-0.3;-0.5;0.0;0.0;-0.4;0.8;0.1;0.8;0.5;-0.4;1.0;Expansion;Strong Uptrend;false;false;3.2
2009-10-26;false;true;true;true;true;true;false;false;1256542200000000;03:30 - 03:45;false;false;true;1256544000000000;1256556600000000;true;30.0;240.0;07:30 - 07:45;04:00 - 04:15;false;false;-3.1;-3.8;3.1;3.8;-3.2;3.1;0.8;0.1;-1.9;-3.2;3.1;Strong Uptrend;Strong Downtrend;true;true;0.6
2009-10-27;false;true;true;true;true;true;false;false;1256632800000000;04:30 - 04:45;false;false;true;1256642400000000;1256645400000000;true;160.0;210.0;08:00 - 08:15;07:15 - 07:30;false;false;-1.0;-1.8;2.0;3.2;-1.0;2.0;0.1;0.0;-0.9;-1.0;2.0;Strong Uptrend;Strong Downtrend;true;true;3.0
2009-10-28;true;false;true;false;true;true;true;true;1256715000000000;03:30 - 03:45;false;true;true;1256716500000000;1256725500000000;true;25.0;175.0;06:15 - 06:30;03:45 - 04:00;true;false;-4.2;-4.8;0.6;0.7;-4.3;0.6;0.1;0.2;-1.2;-4.3;0.6;Strong Downtrend;Strong Downtrend;false;true;1.6
2009-10-29;true;true;true;true;true;true;false;false;1256802000000000;03:30 - 03:45;true;false;true;1256803800000000;1256805300000000;true;30.0;55.0;04:30 - 04:45;04:00 - 04:15;false;false;1.8;2.0;-0.0;-0.1;1.9;-0.5;0.0;0.4;1.1;-0.5;1.9;Strong Uptrend;Strong Downtrend;true;true;1.1
2009-10-30;false;true;true;true;true;true;false;false;1256888100000000;03:30 - 03:45;false;false;false;1256889900000000;1256890800000000;true;30.0;45.0;04:15 - 04:30;04:00 - 04:15;false;false;-2.0;-2.8;1.2;1.8;-2.0;2.5;0.7;0.1;0.1;-2.0;2.5;Strong Downtrend;Strong Uptrend;false;true;0.8
