date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;false;true;false;true;true;true;1254146400000000;10:00 - 10:15;true;true;true;1254146700000000;1254153900000000;false;5.0;125.0;12:00 - 12:15;10:00 - 10:15;false;false;1.8;1.9;1.1;1.2;1.9;1.1;0.1;0.9;1.3;0.9;1.9;Strong Uptrend;Strong Uptrend;false;false;3.5
2009-09-29;true;false;true;false;true;true;true;true;1254232800000000;10:00 - 10:15;false;true;true;1254233400000000;1254239100000000;true;10.0;105.0;11:45 - 12:00;10:00 - 10:15;false;false;-1.2;-2.0;0.2;0.2;-1.3;0.2;0.1;0.7;-0.5;-1.3;0.7;Weak Uptrend;Medium Downtrend;false;true;2.4
2009-09-30;false;true;false;true;false;true;true;true;1254330000000000;13:00 - 13:15;true;true;false;1254330300000000;1254330300000000;true;5.0;5.0;13:00 - 13:15;13:00 - 13:15;false;false;1.1;1.2;1.0;1.1;1.2;0.6;0.9;0.2;0.8;0.1;1.2;Expansion;Strong Uptrend;true;true;16.3
2009-10-01;false;false;true;false;true;true;true;true;1254405600000000;10:00 - 10:15;false;true;true;1254405900000000;1254426900000000;false;5.0;355.0;15:45 - 16:00;10:00 - 10:15;false;false;-3.3;-6.2;-0.3;-1.0;-3.4;-0.3;0.9;0.3;-3.3;-3.4;0.7;Strong Downtrend;Weak Downtrend;true;false;1.8
2009-10-02;true;true;false;true;false;true;true;true;1254492000000000;10:00 - 10:15;true;true;false;1254492900000000;1254493800000000;true;15.0;30.0;10:30 - 10:45;10:15 - 10:30;false;true;1.3;1.5;0.8;0.8;1.4;0.4;0.1;0.8;0.5;0.4;1.4;Weak Downtrend;Expansion;false;true;3.2
2009-10-05;true;true;true;true;true;true;false;false;1254751500000000;10:00 - 10:15;false;false;false;1254752100000000;1254752100000000;true;10.0;10.0;10:15 - 10:30;10:15 - 10:30;false;true;-0.2;-1.2;0.2;-0.2;-0.3;1.6;0.5;0.5;0.9;-0.5;1.6;Expansion;Weak Uptrend;true;true;1.9
2009-10-06;true;true;false;true;false;true;true;true;1254837600000000;10:00 - 10:15;true;true;true;1254839700000000;1254841800000000;true;35.0;70.0;11:00 - 11:15;10:30 - 10:45;false;false;1.6;1.8;1.0;1.1;1.7;0.3;0.1;1.0;1.3;0.3;1.7;Strong Uptrend;Medium Uptrend;true;true;5.4
2009-10-07;true;true;false;true;false;true;true;true;1254924600000000;10:00 - 10:15;true;true;true;1254924900000000;1254924900000000;true;5.0;5.0;10:15 - 10:30;10:15 - 10:30;false;true;1.3;1.9;1.0;1.4;1.4;0.2;0.5;0.6;1.3;0.2;1.4;Weak Downtrend;Expansion;true;false;1.4
2009-10-08;true;true;true;true;true;true;false;false;1255010700000000;10:00 - 10:15;false;false;true;1255011000000000;1255011000000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;true;-0.2;-0.3;0.1;0.1;-0.3;1.7;0.2;0.3;-0.2;-0.6;1.7;Weak Downtrend;Strong Uptrend;true;false;3.4
2009-10-09;true;true;false;true;false;true;true;true;1255098600000000;10:30 - 10:45;true;true;true;1255105800000000;1255115400000000;true;120.0;280.0;15:00 - 15:15;12:30 - 12:45;false;false;1.3;1.5;0.8;0.8;1.4;0.8;0.3;1.0;1.1;0.8;1.4;Expansion;Expansion;true;false;2.0
