date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;true;false;true;true;true;false;1254100500000000;10:15 - 10:30;false;true;false;1254100800000000;1254102900000000;false;5.0;40.0;10:45 - 11:00;10:15 - 10:30;;;-1.4;-1.8;-0.4;-0.6;-1.5;0.1;1.0;0.4;0.0;-1.5;1.2;;Strong Uptrend;true;true;0.2
2009-09-29;false;false;true;false;true;true;true;true;1254182400000000;09:00 - 09:15;false;true;false;1254182700000000;1254184800000000;true;5.0;40.0;09:30 - 09:45;09:00 - 09:15;false;false;-2.1;-2.4;0.2;0.2;-2.2;0.2;0.8;0.0;0.0;-2.2;0.2;Strong Uptrend;Weak Uptrend;false;true;0.2
2009-09-30;true;true;true;true;true;true;false;false;1254269400000000;09:00 - 09:15;true;false;true;1254274500000000;1254276300000000;true;85.0;115.0;11:00 - 11:15;10:30 - 10:45;false;;3.2;3.2;0.0;0.0;3.2;-0.4;0.0;1.0;1.8;-0.4;3.2;Strong Downtrend;Expansion;false;true;0.0
2009-10-01;true;true;true;true;true;true;false;false;1254357300000000;09:30 - 09:45;true;false;false;1254357600000000;1254357600000000;false;5.0;5.0;09:30 - 09:45;09:30 - 09:45;false;false;2.0;3.0;1.1;1.6;2.0;-2.1;0.2;0.8;-1.6;-2.1;2.0;Contraction;Strong Downtrend;false;true;0.2
2009-10-02;false;false;true;false;true;true;true;true;1254441900000000;09:00 - 09:15;false;true;true;;;false;;;;;false;false;;;;;-1.4;1.0;0.4;0.0;-0.4;-1.4;1.0;Strong Downtrend;Strong Downtrend;true;true;0.2
2009-10-05;false;true;false;true;false;true;true;true;1254701100000000;09:00 - 09:15;true;true;false;1254701700000000;1254705600000000;true;10.0;75.0;10:15 - 10:30;09:15 - 09:30;;;2.0;2.2;0.6;0.5;2.0;0.4;1.0;0.7;0.8;0.4;2.0;Strong Uptrend;Expansion;true;true;0.3
2009-10-06;false;true;true;true;true;true;false;false;1254790800000000;10:00 - 10:15;true;false;false;1254791700000000;1254797100000000;true;15.0;105.0;11:45 - 12:00;10:15 - 10:30;false;false;1.7;2.2;-0.5;-1.4;1.8;-1.7;1.0;0.4;-0.2;-1.7;1.8;Strong Uptrend;Strong Uptrend;true;true;0.1
2009-10-07;true;true;true;true;true;true;false;false;1254874500000000;09:15 - 09:30;true;false;true;1254881100000000;1254888600000000;true;110.0;235.0;13:00 - 13:15;11:00 - 11:15;false;false;8.5;11.3;-4.2;-5.6;8.5;-4.2;0.0;0.8;3.0;-4.2;8.5;Strong Uptrend;Medium Downtrend;false;true;0.1
2009-10-08;true;true;true;true;true;true;false;false;1254960600000000;09:00 - 09:15;false;false;false;1254960900000000;1254961500000000;false;5.0;15.0;09:15 - 09:30;09:15 - 09:30;false;false;-0.7;-0.7;-0.2;-0.2;-0.8;5.0;0.0;0.1;3.5;-0.8;5.0;Strong Uptrend;Medium Downtrend;false;false;0.2
2009-10-09;true;true;true;true;true;true;false;false;1255046700000000;09:00 - 09:15;false;false;true;1255051200000000;1255056900000000;true;75.0;170.0;11:45 - 12:00;10:15 - 10:30;false;false;-4.6;-4.6;4.0;4.0;-4.7;4.0;0.0;0.3;-1.0;-4.7;4.0;Medium Uptrend;Weak Downtrend;true;true;0.1
2009-10-12;false;false;true;false;true;true;true;true;1255305600000000;09:00 - 09:15;false;true;true;1255306200000000;1255308900000000;false;10.0;55.0;09:45 - 10:00;09:00 - 09:15;;;-3.8;-5.1;-0.7;-0.9;-3.9;-0.7;0.3;0.0;-1.9;-3.9;0.0;Strong Uptrend;Strong Uptrend;true;false;0.2
