date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;false;true;false;true;false;true;true;true;1254133200000000;06:15 - 06:30;true;true;true;1254134100000000;1254140700000000;true;15.0;125.0;08:15 - 08:30;06:30 - 06:45;true;false;1.7;1.9;1.0;1.1;1.8;1.0;0.7;0.3;1.7;0.2;1.8;Expansion;;false;true;1.8
2009-09-29;false;false;true;false;true;true;true;true;1254216600000000;05:30 - 05:45;false;true;false;1254219000000000;1254225900000000;true;40.0;155.0;08:00 - 08:15;06:00 - 06:15;false;false;-0.2;-0.4;0.7;0.6;-0.3;0.7;1.0;0.2;0.3;-0.3;0.7;Medium Downtrend;Strong Uptrend;false;true;1.8
2009-09-30;false;true;false;true;false;true;true;true;1254299700000000;04:30 - 04:45;true;true;false;1254300000000000;1254301800000000;false;5.0;35.0;05:00 - 05:15;04:30 - 04:45;false;;2.7;3.8;1.2;1.5;2.8;0.1;0.5;0.4;1.0;0.1;2.8;Medium Uptrend;Strong Downtrend;true;false;1.1
2009-10-01;true;false;true;false;true;true;true;true;1254386400000000;04:30 - 04:45;false;true;true;1254387900000000;1254393600000000;true;25.0;120.0;06:30 - 06:45;05:00 - 05:15;false;true;-0.9;-1.0;0.1;0.0;-1.0;0.1;0.3;0.6;-0.6;-1.0;0.7;Expansion;Contraction;true;false;3.2
2009-10-02;true;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.5;0.6;0.1;0.1;1.0;Expansion;Strong Downtrend;false;true;1.7
2009-10-05;true;true;false;true;false;true;true;true;1254729900000000;04:00 - 04:15;true;true;false;1254730200000000;1254730200000000;false;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;false;1.4;1.8;1.3;1.5;1.5;0.6;0.6;1.0;0.6;0.6;1.5;Weak Uptrend;Strong Uptrend;true;true;1.3
2009-10-06;true;true;false;true;false;true;true;true;1254817200000000;04:15 - 04:30;true;true;true;1254818100000000;1254821100000000;true;15.0;65.0;05:15 - 05:30;04:30 - 04:45;true;false;3.3;4.0;0.8;0.8;3.4;0.8;0.2;0.8;2.6;0.8;3.4;Expansion;Strong Uptrend;true;false;3.5
2009-10-07;true;false;true;false;true;true;true;true;1254918000000000;08:15 - 08:30;false;true;false;;;false;;;;;false;true;;;;;-0.1;0.1;0.5;0.7;0.1;-0.2;0.9;Weak Uptrend;Medium Uptrend;false;false;5.1
2009-10-08;true;true;true;true;true;true;false;false;1254988800000000;04:00 - 04:15;true;false;false;1254989100000000;1254989100000000;true;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;false;1.3;1.7;0.9;1.0;1.4;-1.0;0.8;0.9;-0.4;-1.0;1.4;Strong Uptrend;Strong Uptrend;true;true;0.9
2009-10-09;true;false;true;false;true;true;true;true;1255082100000000;05:45 - 06:00;false;true;true;1255086300000000;1255091100000000;true;70.0;150.0;08:15 - 08:30;07:00 - 07:15;false;false;-0.2;-0.3;0.5;0.5;-0.3;0.5;0.0;0.7;-0.2;-0.3;0.9;Expansion;Medium Uptrend;true;false;5.4
2009-10-12;true;true;false;true;false;true;true;true;1255334400000000;04:00 - 04:15;true;true;true;1255334700000000;1255345200000000;false;5.0;180.0;07:00 - 07:15;04:00 - 04:15;true;false;4.3;6.0;1.0;1.1;4.4;1.0;0.8;1.0;3.0;0.5;4.4;Contraction;Strong Uptrend;false;true;0.4
2009-10-13;false;true;true;true;true;true;false;false;1255425300000000;05:15 - 05:30;false;false;false;1255425600000000;1255425600000000;false;5.0;5.0;05:15 - 05:30;05:15 - 05:30;false;false;-0.2;-0.3;0.0;0.0;-0.3;1.7;0.8;0.1;0.7;-0.3;1.7;Expansion;Strong Downtrend;false;false;2.8
2009-10-14;true;true;true;true;false;true;true;false;1255510500000000;04:45 - 05:00;true;true;true;1255510800000000;1255517700000000;false;5.0;120.0;06:45 - 07:00;05:00 - 05:15;true;true;3.6;5.7;1.1;1.5;3.7;1.1;0.4;0.5;2.0;-0.0;3.7;Strong Uptrend;Strong Uptrend;false;false;1.6
2009-10-15;false;true;true;true;true;true;false;false;1255604700000000;07:00 - 07:15;true;false;false;1255605000000000;1255605000000000;true;5.0;5.0;07:00 - 07:15;07:00 - 07:15;false;false;1.3;1.6;0.9;1.1;1.4;-2.1;0.5;0.2;-1.7;-2.1;1.4;Weak Downtrend;Strong Uptrend;false;true;1.7
2009-10-16;true;false;true;false;true;true;true;true;1255689000000000;06:30 - 06:45;false;true;true;1255689300000000;1255695600000000;false;5.0;110.0;08:15 - 08:30;06:30 - 06:45;false;false;-2.3;-2.8;-0.1;-0.1;-2.4;-0.1;0.0;0.4;-2.0;-2.4;0.5;Expansion;Strong Uptrend;false;true;2.4
2009-10-19;true;false;false;false;false;false;false;false;;;false;true;false;;;false;;;;;false;false;;;;;;;0.0;0.8;0.8;0.5;1.0;Strong Uptrend;Medium Downtrend;true;true;1.3
2009-10-20;false;true;true;true;true;true;false;false;1256025900000000;04:00 - 04:15;false;false;false;1256026200000000;1256026500000000;false;5.0;10.0;04:15 - 04:30;04:00 - 04:15;false;false;-0.6;-0.7;-0.3;-0.4;-0.7;1.3;0.9;0.0;0.6;-0.7;1.3;Expansion;Strong Uptrend;true;false;5.4
2009-10-21;false;false;true;false;true;true;true;true;1256112300000000;04:00 - 04:15;false;true;true;1256115300000000;1256125200000000;false;50.0;215.0;07:30 - 07:45;04:45 - 05:00;false;false;-1.9;-2.8;0.0;-0.4;-2.0;0.0;0.5;0.2;-0.7;-2.0;0.2;Weak Uptrend;Contraction;false;false;2.5
2009-10-22;true;true;true;true;true;true;false;false;1256200800000000;04:30 - 04:45;false;false;false;1256201100000000;1256201100000000;false;5.0;5.0;04:45 - 05:00;04:45 - 05:00;true;true;-0.4;-0.6;-0.4;-0.5;-0.5;1.5;0.6;0.6;1.2;-0.5;1.5;Expansion;Strong Downtrend;true;false;2.2
2009-10-23;true;false;true;false;true;true;true;true;1256288100000000;04:45 - 05:00;false;true;false;1256288400000000;1256288400000000;false;5.0;5.0;05:00 - 05:15;05:00 - 05:15;true;false;-0.5;-0.6;-0.2;-0.2;-0.5;0.6;0.2;0.8;0.2;-0.5;0.9;Expansion;Strong Uptrend;false;false;2.4
2009-10-26;true;true;true;true;true;true;false;false;1256544000000000;04:00 - 04:15;true;false;false;1256544300000000;1256544300000000;false;5.0;5.0;04:00 - 04:15;04:00 - 04:15;false;true;1.2;1.3;1.1;1.1;1.3;-0.3;0.7;1.0;0.4;-0.3;1.4;Strong Uptrend;Strong Downtrend;true;true;2.1
2009-10-27;false;true;true;true;true;true;false;false;1256632800000000;04:30 - 04:45;false;false;true;1256634000000000;1256635500000000;true;20.0;45.0;05:15 - 05:30;05:00 - 05:15;false;false;-0.4;-1.5;0.7;0.9;-0.5;2.0;0.6;0.5;-0.2;-0.5;2.0;Medium Uptrend;Strong Downtrend;false;true;0.9
2009-10-28;false;false;true;false;true;true;true;true;1256716800000000;04:00 - 04:15;false;true;true;1256717100000000;1256732700000000;false;5.0;265.0;08:15 - 08:30;04:00 - 04:15;true;false;-4.2;-6.8;-0.2;-0.4;-4.3;-0.2;0.5;0.4;-2.0;-4.3;0.6;Strong Downtrend;Contraction;false;true;2.8
2009-10-29;true;true;false;true;false;true;true;true;1256804100000000;04:15 - 04:30;true;true;false;1256806200000000;1256814600000000;true;35.0;175.0;07:00 - 07:15;04:45 - 05:00;false;false;1.5;1.7;0.5;0.6;1.6;0.2;0.1;0.8;0.8;0.1;1.6;Strong Uptrend;Strong Downtrend;true;true;2.0
2009-10-30;false;true;true;false;true;true;true;false;1256889900000000;04:00 - 04:15;false;true;true;1256890200000000;1256890800000000;false;5.0;15.0;04:15 - 04:30;04:00 - 04:15;false;false;-2.5;-3.3;-0.2;-0.3;-2.5;1.2;0.6;0.2;-0.7;-2.5;1.2;Medium Downtrend;Strong Uptrend;false;true;0.7
2009-11-02;true;true;false;false;false;false;false;true;;;false;true;false;;;false;;;;;false;true;;;;;;;0.5;0.9;0.5;0.3;1.0;Medium Uptrend;Strong Downtrend;true;true;1.8
2009-11-03;false;false;true;false;true;true;true;true;1257240600000000;04:30 - 04:45;false;true;false;1257240900000000;1257246900000000;false;5.0;105.0;06:15 - 06:30;04:30 - 04:45;false;false;-1.3;-1.7;-0.1;-0.3;-1.4;0.5;0.9;0.1;0.3;-1.4;0.5;Strong Downtrend;Contraction;false;true;1.2
