date;greenbox;breached_range_high;breached_range_low;closed_above_range_high;closed_below_range_low;range_confirmed;range_holds_close;range_holds_wick;breakout_time;breakout_window;upday;range_holds;close_outside_range;max_retracement_time;max_expansion_time;retrace_into_range;retracement_in_minutes;expansion_in_minutes;expansion_window;retracement_window;took_out_day_open;took_out_ny_true_open;expansion_level;expansion_level_body;retracement_level;retracement_level_body;after_conf_max_level;after_conf_min_level;opening_level;closing_level;session_close_level;session_low_level;session_high_level;model;model_prev;upday_prev;range_holds_prev;range_multiplier
2009-09-28;true;true;false;true;false;true;true;true;1254146400000000;10:00 - 10:15;true;true;true;1254146700000000;1254159600000000;false;5.0;220.0;13:30 - 13:45;10:00 - 10:15;false;false;1.8;1.9;1.1;1.1;1.9;1.0;0.1;0.9;1.3;0.9;1.9;Strong Uptrend;Medium Uptrend;false;false;3.4
2009-09-29;true;false;true;false;true;true;true;true;1254232800000000;10:00 - 10:15;false;true;true;1254233400000000;1254239100000000;true;10.0;105.0;11:45 - 12:00;10:00 - 10:15;true;true;-0.9;-1.8;0.2;0.0;-1.0;0.2;0.2;0.8;-0.9;-1.0;0.8;Weak Uptrend;Medium Downtrend;false;true;2.0
2009-09-30;false;true;false;false;false;false;false;true;;;false;true;false;;;false;;;;;false;;;;;;;;0.9;0.0;0.6;0.0;1.0;Expansion;Strong Uptrend;true;true;15.2
2009-10-01;false;false;true;false;true;true;true;true;1254405600000000;10:00 - 10:15;false;true;true;1254408000000000;1254426900000000;false;40.0;355.0;15:45 - 16:00;10:30 - 10:45;false;false;-2.1;-2.6;-0.3;-0.5;-2.2;-0.3;0.9;0.2;-2.1;-2.2;0.7;Strong Downtrend;Weak Downtrend;false;true;2.0
2009-10-02;true;true;false;true;false;true;true;true;1254493200000000;10:15 - 10:30;true;true;true;1254498000000000;1254503400000000;true;80.0;170.0;13:00 - 13:15;11:30 - 11:45;false;false;1.9;2.5;0.9;1.2;2.0;0.9;0.1;0.7;1.3;0.3;2.0;Strong Downtrend;Expansion;false;true;2.2
2009-10-05;true;true;false;true;false;true;true;true;1254753300000000;10:30 - 10:45;true;true;true;1254754200000000;1254768900000000;true;15.0;260.0;14:45 - 15:00;10:45 - 11:00;true;false;2.6;3.5;1.0;1.0;2.7;1.0;0.6;0.9;2.2;0.1;2.7;Expansion;Weak Uptrend;true;true;2.2
2009-10-06;true;true;false;true;false;true;true;true;1254838800000000;10:15 - 10:30;true;true;true;1254839400000000;1254841800000000;true;10.0;50.0;11:00 - 11:15;10:30 - 10:45;false;false;1.8;2.0;0.8;0.9;1.9;0.2;0.1;0.9;1.2;0.2;1.9;Strong Uptrend;Expansion;true;true;2.9
2009-10-07;false;true;true;false;true;true;true;false;1254930900000000;11:45 - 12:00;false;true;false;1254934800000000;1254939000000000;true;65.0;135.0;14:00 - 14:15;13:00 - 13:15;false;true;-0.1;-0.3;0.5;0.7;-0.2;0.8;0.5;0.5;0.8;-0.2;1.1;Medium Downtrend;Expansion;false;true;1.2
2009-10-08;false;true;true;true;true;true;false;false;1255010700000000;10:00 - 10:15;false;false;false;1255011000000000;1255011000000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;true;-0.2;-0.5;0.2;0.0;-0.3;1.7;0.4;0.1;0.3;-0.6;1.7;Medium Downtrend;Strong Uptrend;true;false;3.0
2009-10-09;true;true;false;true;false;true;true;true;1255098600000000;10:30 - 10:45;true;true;true;1255099500000000;1255118100000000;true;15.0;325.0;15:45 - 16:00;10:45 - 11:00;false;false;1.9;2.3;0.8;0.8;2.0;0.8;0.5;1.0;1.9;0.7;2.0;Weak Downtrend;Expansion;false;true;1.0
2009-10-12;true;true;true;true;true;true;false;false;1255356000000000;10:00 - 10:15;true;false;false;1255356900000000;1255358700000000;true;15.0;45.0;10:45 - 11:00;10:15 - 10:30;false;false;1.1;1.2;0.6;0.4;1.2;-1.0;0.3;1.0;-0.0;-1.0;1.2;Strong Uptrend;Strong Downtrend;true;true;2.6
2009-10-13;false;true;true;true;true;true;false;false;1255442400000000;10:00 - 10:15;false;false;false;1255442700000000;1255442700000000;true;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;false;-0.3;-0.5;0.0;-0.1;-0.4;1.6;0.6;0.0;1.1;-0.4;1.6;Weak Downtrend;Expansion;false;false;1.8
2009-10-14;false;true;true;true;true;true;false;false;1255530000000000;10:15 - 10:30;false;false;false;1255530300000000;1255530300000000;true;5.0;5.0;10:15 - 10:30;10:15 - 10:30;false;false;-0.2;-0.2;0.2;0.2;-0.2;2.4;0.7;0.5;2.1;-0.2;2.4;Weak Uptrend;Strong Uptrend;false;false;2.9
2009-10-15;true;true;true;true;false;true;true;false;1255623300000000;12:15 - 12:30;true;true;true;1255626600000000;1255636500000000;true;55.0;220.0;15:45 - 16:00;13:00 - 13:15;false;false;2.1;2.1;0.3;0.3;2.2;0.3;0.1;1.0;2.0;-0.0;2.2;Weak Downtrend;Expansion;false;false;2.5
2009-10-16;false;true;true;true;true;true;false;false;1255701600000000;10:00 - 10:15;false;false;false;1255702800000000;1255704000000000;true;20.0;40.0;10:30 - 10:45;10:15 - 10:30;false;false;-0.4;-1.1;0.4;0.4;-0.5;1.5;0.3;0.2;1.0;-0.5;1.5;Strong Downtrend;Expansion;false;true;1.2
2009-10-19;false;true;false;true;false;true;true;true;1255962000000000;10:15 - 10:30;true;true;true;1255962300000000;1255973700000000;false;5.0;195.0;13:30 - 13:45;10:15 - 10:30;false;false;3.6;5.7;1.2;1.8;3.7;1.2;0.6;0.3;2.9;0.2;3.7;Weak Uptrend;Strong Uptrend;true;true;1.3
2009-10-20;false;false;true;false;true;true;true;true;1256048100000000;10:15 - 10:30;false;true;true;1256050200000000;1256054700000000;true;35.0;110.0;12:00 - 12:15;10:45 - 11:00;false;false;-1.0;-1.5;0.5;0.4;-1.1;0.5;0.9;0.4;-0.2;-1.1;0.6;Medium Downtrend;Strong Uptrend;false;false;3.4
2009-10-21;true;true;true;true;true;true;false;false;1256133600000000;10:00 - 10:15;true;false;false;1256135400000000;1256136000000000;true;30.0;40.0;10:30 - 10:45;10:30 - 10:45;false;false;1.4;1.6;1.0;1.1;1.5;-1.0;0.1;0.9;-0.9;-1.0;1.5;Expansion;Weak Uptrend;false;true;2.4
2009-10-22;false;true;true;true;false;true;true;false;1256223300000000;10:45 - 11:00;true;true;true;1256228700000000;1256239200000000;true;90.0;265.0;15:15 - 15:30;12:15 - 12:30;false;true;2.6;4.3;0.9;1.3;2.7;0.9;0.6;0.4;2.2;-0.1;2.7;Expansion;Expansion;false;false;1.9
2009-10-23;false;false;true;false;true;true;true;true;1256306400000000;10:00 - 10:15;false;true;true;1256307600000000;1256326500000000;true;20.0;335.0;15:30 - 15:45;10:15 - 10:30;false;false;-2.8;-6.0;0.0;-0.6;-2.9;0.0;0.8;0.4;-1.9;-2.9;0.9;Medium Downtrend;Expansion;false;true;1.7
2009-10-26;true;true;true;true;true;true;false;false;1256565600000000;10:00 - 10:15;true;false;false;1256565900000000;1256567100000000;true;5.0;25.0;10:15 - 10:30;10:00 - 10:15;false;false;1.1;1.3;1.0;1.2;1.2;-1.7;0.0;0.8;-1.3;-1.7;1.2;Expansion;Strong Uptrend;false;false;7.3
2009-10-27;true;true;true;true;true;true;false;false;1256652000000000;10:00 - 10:15;false;false;true;1256652300000000;1256652300000000;false;5.0;5.0;10:00 - 10:15;10:00 - 10:15;false;true;-0.8;-1.3;-0.3;-0.6;-0.9;1.3;0.2;0.5;-0.1;-0.9;1.3;Expansion;Strong Uptrend;false;false;3.5
2009-10-28;true;false;true;false;true;true;true;true;1256741400000000;10:45 - 11:00;false;true;true;1256743500000000;1256758500000000;true;35.0;285.0;15:30 - 15:45;11:15 - 11:30;true;true;-1.4;-2.7;0.4;0.3;-1.4;0.4;0.2;0.4;-1.3;-1.4;0.7;Expansion;Strong Downtrend;false;true;5.5
2009-10-29;true;true;false;true;false;true;true;true;1256824800000000;10:00 - 10:15;true;true;true;1256827200000000;1256843100000000;true;40.0;305.0;15:00 - 15:15;10:30 - 10:45;false;false;4.2;6.5;0.7;0.8;4.3;0.7;0.7;0.8;3.8;0.6;4.3;Strong Uptrend;Strong Uptrend;true;true;3.6
2009-10-30;false;false;true;false;true;true;true;true;1256916900000000;11:30 - 11:45;false;true;true;1256917200000000;1256929500000000;false;5.0;210.0;15:00 - 15:15;11:30 - 11:45;true;true;-1.8;-3.0;-0.2;-0.6;-1.9;-0.2;0.6;0.1;-1.7;-1.9;0.5;Expansion;Strong Downtrend;false;true;9.7
2009-11-02;true;true;true;true;true;true;false;false;1257174000000000;10:00 - 10:15;true;false;false;1257174600000000;1257176100000000;false;10.0;35.0;10:30 - 10:45;10:00 - 10:15;false;false;2.0;2.2;1.5;1.5;2.1;-0.6;0.3;1.0;1.0;-0.6;2.1;Expansion;Medium Uptrend;true;true;1.7
2009-11-03;true;true;true;true;false;true;true;false;1257260400000000;10:00 - 10:15;true;true;false;1257266100000000;1257275400000000;true;95.0;250.0;14:00 - 14:15;11:30 - 11:45;false;false;1.0;1.4;-0.0;-0.3;1.1;-0.0;0.3;0.9;0.9;-0.0;1.1;Expansion;Strong Downtrend;false;true;2.2
2009-11-04;true;true;true;true;true;true;false;false;1257346800000000;10:00 - 10:15;true;false;false;1257362700000000;1257363600000000;true;265.0;280.0;14:30 - 14:45;14:15 - 14:30;false;false;3.5;5.5;0.4;0.3;3.6;-1.0;0.5;0.8;-0.3;-1.0;3.6;Strong Uptrend;Strong Uptrend;true;true;2.1
2009-11-05;true;true;false;true;false;true;true;true;1257433200000000;10:00 - 10:15;true;true;true;1257433800000000;1257452100000000;true;10.0;315.0;15:15 - 15:30;10:00 - 10:15;false;false;2.2;2.6;0.9;1.0;2.3;0.9;0.1;0.9;2.2;0.9;2.3;Strong Uptrend;Strong Downtrend;false;false;2.9
2009-11-06;true;true;false;false;false;false;false;true;;;false;true;false;;;false;;;;;false;false;;;;;;;0.2;0.9;0.8;0.2;1.0;Expansion;Expansion;true;true;5.4
2009-11-09;true;true;false;true;false;true;true;true;1257778800000000;10:00 - 10:15;true;true;true;1257779100000000;1257791700000000;false;5.0;215.0;13:30 - 13:45;10:00 - 10:15;false;false;3.1;3.6;1.1;1.2;3.2;1.1;0.3;0.9;3.0;0.9;3.2;Weak Uptrend;Strong Uptrend;true;true;4.6
2009-11-10;true;true;true;true;true;true;false;false;1257866100000000;10:15 - 10:30;true;false;false;1257866400000000;1257867000000000;true;5.0;15.0;10:30 - 10:45;10:15 - 10:30;false;false;1.2;1.6;1.0;1.2;1.3;-0.1;0.1;0.7;1.0;-0.1;1.3;Strong Uptrend;Strong Downtrend;true;true;3.1
