date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2009-09-29;78.7;78.22;False;True;True;78.46000000000001;78.735;78.31;False;False;True;78.52250000000001;78.605;78.27;True;True;True;78.4375;77.585;77.26;77.4225;True;True;True;Weak Downtrend;Weak Uptrend;Strong Uptrend;True;Complete;Broken;Broken
2009-09-30;79.275;78.555;False;True;True;78.915;79.01;78.875;False;True;False;78.9425;79.045;78.645;True;False;True;78.845;78.7;78.22;78.46000000000001;False;True;True;Expansion;Contraction;Medium Uptrend;True;Broken;Broken;Complete
2009-10-01;78.88;78.515;False;False;True;78.69749999999999;79.49;79.185;True;False;True;79.3375;79.535;79.365;False;True;False;79.44999999999999;79.275;78.555;78.915;False;True;True;Strong Downtrend;Weak Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2009-10-02;77.405;76.61;True;True;True;77.0075;77.87;77.465;False;False;True;77.6675;77.86;77.515;False;True;True;77.6875;78.88;78.515;78.69749999999999;False;False;True;Strong Downtrend;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2009-10-05;78.515;78.285;False;False;False;78.4;78.51;78.34;False;True;True;78.42500000000001;78.195;77.65;True;True;True;77.9225;77.405;76.61;77.0075;True;True;True;Expansion;Strong Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-10-06;79.07;78.81;True;True;True;78.94;79.185;78.995;True;False;False;79.09;78.645;78.485;False;False;False;78.565;78.515;78.285;78.4;False;False;False;Medium Downtrend;Strong Uptrend;Medium Uptrend;True;Broken;Broken;Broken
2009-10-07;79.41;79.03;False;False;True;79.22;78.985;78.68;False;True;True;78.83250000000001;79.15;78.94;False;False;True;79.045;79.07;78.81;78.94;True;True;True;Strong Uptrend;Medium Downtrend;Weak Uptrend;True;Broken;Broken;Broken
2009-10-08;79.985;79.725;True;True;True;79.85499999999999;79.83;79.67;True;True;True;79.75;79.125;78.99;False;True;True;79.0575;79.41;79.03;79.22;False;False;True;Weak Uptrend;Strong Uptrend;Medium Downtrend;True;Broken;Complete;Complete
2009-10-09;81.035;80.71;True;True;True;80.8725;80.86;80.53;True;False;True;80.695;80.285;80.095;True;True;True;80.19;79.985;79.725;79.85499999999999;True;True;True;Medium Uptrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Complete
2009-10-12;81.465;81.235;True;True;True;81.35;81.355;81.075;False;True;True;81.215;81.405;81.235;False;True;True;81.32;81.035;80.71;80.8725;True;True;True;Medium Uptrend;Weak Downtrend;Strong Uptrend;True;Complete;Broken;Complete
2009-10-13;81.41;80.995;False;False;True;81.2025;81.765;81.445;False;False;True;81.60499999999999;81.525;81.39;False;True;True;81.45750000000001;81.465;81.235;81.35;True;True;True;Strong Downtrend;Weak Uptrend;Medium Uptrend;True;Complete;Broken;Complete
2009-10-14;81.655;81.245;False;True;True;81.45;81.58;81.395;True;True;True;81.4875;81.565;81.35;True;False;True;81.4575;81.41;80.995;81.2025;False;False;True;Expansion;Weak Uptrend;Medium Uptrend;True;Broken;Complete;Complete
2009-10-15;83.39;82.93;False;True;True;83.16;82.525;82.375;False;True;True;82.45;82.345;81.83;True;True;True;82.0875;81.655;81.245;81.45;False;True;True;Strong Uptrend;Strong Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-10-16;83.62;83.36;False;False;True;83.49000000000001;83.945;83.56;True;True;False;83.7525;84.09;83.595;True;True;True;83.8425;83.39;82.93;83.16;False;True;True;Medium Downtrend;Weak Downtrend;Strong Uptrend;True;Complete;Broken;Complete
2009-10-19;83.7;83.355;False;True;True;83.5275;83.56;83.28;True;True;True;83.42;83.365;82.81;False;True;True;83.0875;83.62;83.36;83.49000000000001;False;False;True;Weak Uptrend;Medium Uptrend;Medium Downtrend;True;Broken;Complete;Complete
2009-10-20;83.89;83.6;False;True;False;83.745;83.655;83.45;False;True;True;83.55250000000001;84.29;84.015;False;False;True;84.1525;83.7;83.355;83.5275;False;True;True;Medium Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Complete
2009-10-21;84.52;84.16;True;True;False;84.34;84.185;83.74;True;False;True;83.9625;84.085;83.7;True;False;True;83.8925;83.89;83.6;83.745;False;True;False;Medium Uptrend;Weak Uptrend;Weak Uptrend;True;Broken;Broken;Complete
2009-10-22;84.5;84.185;True;False;False;84.3425;84.5;84.24;True;False;True;84.37;84.46;84.155;True;True;False;84.3075;84.52;84.16;84.34;True;True;False;Weak Downtrend;Weak Uptrend;Weak Downtrend;True;Broken;Broken;Broken
2009-10-23;85.31;84.78;False;False;True;85.045;85.15;85.025;True;False;True;85.0875;85.03;84.82;True;False;False;84.925;84.5;84.185;84.3425;True;False;False;Expansion;Medium Uptrend;Strong Uptrend;True;Broken;Broken;Broken
2009-10-26;85.23;84.905;True;False;True;85.0675;85.045;84.87;False;False;True;84.95750000000001;84.915;84.57;False;True;True;84.7425;85.31;84.78;85.045;False;False;True;Weak Uptrend;Medium Uptrend;Medium Downtrend;True;Broken;Broken;Broken
2009-10-27;84.515;84.08;False;False;True;84.2975;84.8;84.44;False;False;True;84.62;84.63;84.315;True;True;True;84.4725;85.23;84.905;85.0675;True;False;True;Medium Downtrend;Weak Uptrend;Strong Downtrend;True;Broken;Broken;Complete
