date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2009-09-29;1065.75;1055.5;False;False;True;1060.625;1060.75;1057.0;False;False;True;1058.875;1061.0;1059.0;False;False;True;1060.0;1055.5;1043.75;1049.625;True;True;True;Expansion;Weak Downtrend;Strong Uptrend;True;Broken;Complete;Complete
2009-10-06;1052.0;1042.5;True;True;True;1047.25;1040.25;1036.75;True;True;True;1038.5;1037.5;1036.0;False;True;True;1036.75;1031.0;1021.25;1026.125;True;True;True;Strong Uptrend;Weak Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-10-14;1083.25;1077.75;False;True;True;1080.5;1080.25;1078.25;True;True;True;1079.25;1077.75;1076.5;False;False;False;1077.125;1071.0;1063.0;1067.0;False;True;True;Expansion;Strong Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2009-10-20;1095.25;1087.25;False;False;True;1091.25;1097.25;1092.0;False;False;False;1094.625;1095.5;1094.75;False;True;False;1095.125;1088.75;1082.75;1085.75;True;True;True;Weak Downtrend;Expansion;Strong Uptrend;True;Broken;Broken;Broken
2009-10-21;1096.75;1085.25;True;True;False;1091.0;1091.25;1087.25;False;False;True;1089.25;1088.75;1087.5;True;False;False;1088.125;1095.25;1087.25;1091.25;False;False;True;Expansion;Expansion;Contraction;True;Broken;Complete;Broken
2009-10-22;1080.5;1070.25;False;True;True;1075.375;1078.75;1074.5;True;False;False;1076.625;1078.25;1076.25;True;False;True;1077.25;1096.75;1085.25;1091.0;True;True;False;Expansion;Expansion;Strong Downtrend;True;Complete;Broken;Complete
2009-10-23;1093.0;1083.25;False;False;True;1088.125;1094.75;1091.0;True;False;True;1092.875;1094.0;1092.25;False;False;False;1093.125;1080.5;1070.25;1075.375;False;True;True;Weak Downtrend;Expansion;Strong Uptrend;True;Broken;Complete;Broken
2009-10-29;1054.25;1044.75;True;True;True;1049.5;1043.5;1040.0;True;True;True;1041.75;1038.75;1037.5;False;True;True;1038.125;1060.25;1051.0;1055.625;False;False;True;Strong Uptrend;Strong Uptrend;Strong Downtrend;True;Broken;Complete;Complete
2009-11-09;1081.75;1074.0;True;True;True;1077.875;1074.5;1072.25;True;True;True;1073.375;1067.5;1065.0;False;True;True;1066.25;1069.25;1055.5;1062.375;True;False;True;Medium Uptrend;Strong Uptrend;Contraction;True;Complete;Complete;Complete
2009-11-16;1109.25;1098.25;True;True;True;1103.75;1101.25;1098.0;False;True;True;1099.625;1098.5;1094.5;True;True;True;1096.5;1090.25;1082.75;1086.5;False;True;True;Weak Uptrend;Medium Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-11-19;1100.75;1087.75;False;False;True;1094.25;1104.0;1102.0;False;False;True;1103.0;1109.5;1107.75;False;False;True;1108.625;1109.5;1100.75;1105.125;False;False;True;Strong Downtrend;Strong Downtrend;Medium Uptrend;True;Broken;Complete;Complete
2009-11-20;1092.75;1087.0;True;False;True;1089.875;1094.75;1092.0;True;True;False;1093.375;1093.25;1091.25;True;True;False;1092.25;1100.75;1087.75;1094.25;False;False;True;Medium Downtrend;Weak Uptrend;Contraction;True;Broken;Broken;Broken
2009-11-30;1095.5;1086.75;True;False;False;1091.125;1096.25;1088.25;False;False;True;1092.25;1095.0;1092.25;False;True;True;1093.625;1092.5;1077.75;1085.125;True;True;True;Weak Downtrend;Expansion;Medium Uptrend;True;Complete;Complete;Complete
2009-12-01;1108.5;1102.25;True;True;True;1105.375;1103.25;1096.0;True;True;True;1099.625;1094.5;1092.5;True;True;True;1093.5;1095.5;1086.75;1091.125;True;False;False;Medium Uptrend;Strong Uptrend;Contraction;True;Complete;Complete;Complete
2009-12-02;1115.5;1107.25;True;False;True;1111.375;1111.0;1107.0;False;False;True;1109.0;1109.0;1107.25;False;False;True;1108.125;1108.5;1102.25;1105.375;True;True;True;Weak Uptrend;Expansion;Medium Uptrend;True;Broken;Complete;Broken
2009-12-07;1110.5;1104.0;True;False;True;1107.25;1105.0;1099.0;False;True;True;1102.0;1109.5;1107.5;False;True;False;1108.5;1119.0;1111.5;1115.25;True;False;True;Medium Uptrend;Strong Downtrend;Strong Downtrend;True;Broken;Broken;Broken
