date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2023-09-19;1.06967;1.06823;False;False;True;1.06895;1.06953;1.0675;True;True;True;1.068515;1.06965;1.06918;True;False;True;1.069415;1.06715;1.06593;1.06654;False;True;True;Weak Uptrend;Weak Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2023-09-20;1.07272;1.07035;True;True;False;1.071535;1.06931;1.06752;True;True;True;1.068415;1.06836;1.06793;True;True;False;1.068145;1.06967;1.06823;1.06895;False;False;True;Strong Uptrend;Expansion;Medium Downtrend;True;Broken;Complete;Broken
2023-09-21;1.06655;1.06376;True;True;True;1.065155;1.06581;1.06386;True;True;False;1.064835;1.06537;1.06403;False;False;True;1.0647;1.07272;1.07035;1.071535;True;True;False;Expansion;Expansion;Strong Downtrend;True;Complete;Broken;Complete
2023-09-22;1.06671;1.06419;True;True;False;1.06545;1.06679;1.06147;False;False;True;1.06413;1.06628;1.0654;False;False;True;1.06584;1.06655;1.06376;1.065155;True;True;True;Contraction;Expansion;Contraction;True;Complete;Complete;Complete
2023-09-25;1.0611;1.05783;False;False;True;1.0594649999999999;1.06529;1.06317;False;False;True;1.06423;1.06519;1.06474;True;True;False;1.064965;1.06671;1.06419;1.06545;True;True;False;Strong Downtrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-09-26;1.05986;1.05841;False;False;True;1.059135;1.05887;1.05699;True;True;True;1.05793;1.05946;1.05841;False;False;True;1.058935;1.0611;1.05783;1.0594649999999999;False;False;True;Medium Uptrend;Medium Downtrend;Contraction;True;Complete;Broken;Broken
2023-09-27;1.05331;1.05097;False;False;True;1.05214;1.05741;1.05643;False;False;True;1.0569199999999999;1.05725;1.05659;False;False;True;1.0569199999999999;1.05986;1.05841;1.059135;False;False;True;Strong Downtrend;Expansion;Strong Downtrend;True;Complete;Complete;Complete
2023-09-28;1.05586;1.05358;True;True;True;1.05472;1.0519;1.04941;True;True;True;1.050655;1.05117;1.05022;True;True;False;1.050695;1.05331;1.05097;1.05214;False;False;True;Strong Uptrend;Expansion;Medium Downtrend;True;Broken;Complete;Broken
2023-09-29;1.05897;1.05698;False;False;True;1.0579749999999999;1.06107;1.0588;True;True;True;1.0599349999999998;1.05642;1.05605;False;False;False;1.056235;1.05586;1.05358;1.05472;True;True;True;Medium Downtrend;Strong Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2023-10-02;1.05274;1.04977;False;False;True;1.051255;1.05918;1.05712;False;False;True;1.05815;1.05677;1.05582;True;True;True;1.056295;1.05897;1.05698;1.0579749999999999;False;False;True;Strong Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2023-10-03;1.04857;1.04494;False;False;True;1.046755;1.04844;1.04689;True;True;False;1.047665;1.04826;1.04642;False;False;True;1.04734;1.05274;1.04977;1.051255;False;False;True;Expansion;Weak Uptrend;Strong Downtrend;True;Complete;Broken;Complete
2023-10-04;1.05176;1.0483;False;True;True;1.05003;1.04853;1.04513;True;True;True;1.04683;1.04732;1.04656;True;True;False;1.04694;1.04857;1.04494;1.046755;False;False;True;Medium Uptrend;Expansion;Contraction;True;Broken;Complete;Broken
