date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2023-08-15;15864;15792;False;False;True;15828.0;15977;15846;False;False;True;15911.5;16000.0;15979.0;True;True;True;15989.5;15936.0;15872.0;15904.0;True;True;True;Medium Downtrend;Strong Downtrend;Strong Uptrend;True;Complete;Complete;Complete
2023-08-16;15858;15803;True;False;True;15830.5;15860;15773;True;False;True;15816.5;15800.0;15784.0;False;False;True;15792.0;15864.0;15792.0;15828.0;False;False;True;Contraction;Expansion;Medium Downtrend;True;Complete;Complete;Complete
2023-08-17;15789;15713;False;False;True;15751.0;15789;15718;False;True;True;15753.5;15760.0;15702.0;False;False;True;15731.0;15858.0;15803.0;15830.5;True;False;True;Weak Downtrend;Weak Uptrend;Strong Downtrend;True;Complete;Complete;Complete
2023-08-18;15565;15511;True;True;True;15538.0;15672;15556;False;False;True;15614.0;15671.0;15650.0;False;False;False;15660.5;15789.0;15713.0;15751.0;False;False;True;Medium Downtrend;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2023-08-21;15691;15629;False;False;False;15660.0;15727;15611;True;True;True;15669.0;15651.0;15637.0;True;False;False;15644.0;15565.0;15511.0;15538.0;True;True;True;Contraction;Expansion;Strong Uptrend;True;Broken;Complete;Broken
2023-08-22;15803;15736;False;False;True;15769.5;15808;15713;True;True;True;15760.5;15688.0;15676.0;False;True;False;15682.0;15691.0;15629.0;15660.0;False;False;False;Contraction;Strong Uptrend;Contraction;True;Broken;Complete;Broken
2023-08-23;15773;15731;True;True;True;15752.0;15866;15771;False;False;True;15818.5;15759.0;15738.0;True;True;True;15748.5;15803.0;15736.0;15769.5;False;False;True;Medium Downtrend;Strong Uptrend;Contraction;True;Complete;Broken;Broken
2023-08-24;15773;15689;False;False;True;15731.0;15935;15859;True;False;True;15897.0;15834.0;15821.0;False;False;False;15827.5;15773.0;15731.0;15752.0;True;True;True;Strong Downtrend;Strong Uptrend;Strong Uptrend;True;Broken;Broken;Broken
2023-08-25;15750;15683;False;False;True;15716.5;15680;15606;True;True;True;15643.0;15635.0;15618.0;True;True;False;15626.5;15773.0;15689.0;15731.0;False;False;True;Strong Uptrend;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2023-08-28;15841;15808;True;False;False;15824.5;15803;15739;False;False;True;15771.0;15745.0;15721.0;True;True;True;15733.0;15750.0;15683.0;15716.5;False;False;True;Strong Uptrend;Medium Uptrend;Contraction;True;Complete;Broken;Broken
