date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2023-09-19;1.24065;1.23876;False;False;True;1.239705;1.23927;1.23733;True;False;False;1.2383000000000002;1.23912;1.2382;True;False;True;1.2386599999999999;1.23929;1.2373;1.238295;False;True;True;Medium Uptrend;Expansion;Contraction;True;Complete;Broken;Broken
2023-09-20;1.24093;1.23822;True;True;False;1.239575;1.23643;1.23341;True;True;True;1.2349199999999998;1.23943;1.23875;False;False;True;1.23909;1.24065;1.23876;1.239705;False;False;True;Strong Uptrend;Strong Downtrend;Medium Downtrend;True;Complete;Broken;Complete
2023-09-21;1.22939;1.22572;True;True;True;1.227555;1.23301;1.22943;False;False;True;1.23122;1.2332;1.23189;False;False;True;1.232545;1.24093;1.23822;1.239575;True;True;False;Strong Downtrend;Weak Downtrend;Strong Downtrend;True;Complete;Complete;Broken
2023-09-22;1.22848;1.22523;True;False;True;1.226855;1.22856;1.22509;False;False;True;1.226825;1.22938;1.22823;False;False;True;1.228805;1.22939;1.22572;1.227555;True;True;True;Contraction;Medium Downtrend;Contraction;True;Complete;Complete;Complete
2023-09-25;1.22187;1.21947;False;True;True;1.2206700000000001;1.225;1.22386;False;False;True;1.22443;1.22457;1.22401;True;True;False;1.2242899999999999;1.22848;1.22523;1.226855;True;False;True;Strong Downtrend;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2023-09-26;1.2192;1.21716;False;False;True;1.21818;1.21795;1.21672;True;True;True;1.217335;1.22151;1.22072;False;False;True;1.2211150000000002;1.22187;1.21947;1.2206700000000001;False;True;True;Weak Uptrend;Strong Downtrend;Contraction;True;Complete;Broken;Broken
2023-09-27;1.215;1.21302;True;False;True;1.21401;1.2155;1.2142;False;True;False;1.21485;1.21528;1.21447;False;False;False;1.214875;1.2192;1.21716;1.21818;False;False;True;Weak Downtrend;Expansion;Strong Downtrend;True;Broken;Broken;Broken
2023-09-28;1.22056;1.21823;True;True;True;1.219395;1.2161;1.21245;True;True;True;1.214275;1.21414;1.21323;True;True;False;1.213685;1.215;1.21302;1.21401;True;False;True;Strong Uptrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-09-29;1.22424;1.218;False;False;True;1.22112;1.22541;1.22358;False;False;False;1.2244950000000001;1.22064;1.22026;False;False;False;1.22045;1.22056;1.21823;1.219395;True;True;True;Medium Downtrend;Strong Uptrend;Medium Uptrend;True;Broken;Broken;Broken
2023-10-02;1.2149;1.21221;False;False;True;1.213555;1.22198;1.21895;False;False;True;1.220465;1.21963;1.21876;True;False;True;1.219195;1.22424;1.218;1.22112;False;False;True;Strong Downtrend;Weak Uptrend;Contraction;True;Complete;Broken;Complete
2023-10-03;1.21017;1.20531;False;False;True;1.20774;1.20885;1.2063;False;True;False;1.2075749999999998;1.20927;1.20776;False;False;True;1.208515;1.2149;1.21221;1.213555;False;False;True;Expansion;Weak Downtrend;Strong Downtrend;True;Complete;Broken;Complete
2023-10-04;1.21706;1.21061;False;False;True;1.213835;1.20849;1.20371;True;True;True;1.2061000000000002;1.20825;1.20742;True;True;False;1.207835;1.21017;1.20531;1.20774;False;False;True;Strong Uptrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-10-05;1.21601;1.21389;True;True;True;1.21495;1.21448;1.21305;False;False;False;1.213765;1.21402;1.21307;False;True;True;1.213545;1.21706;1.21061;1.213835;False;False;True;Medium Uptrend;Expansion;Contraction;True;Complete;Broken;Complete
2023-10-06;1.21905;1.21368;True;True;True;1.2163650000000001;1.22068;1.21687;True;True;True;1.218775;1.21911;1.21829;False;False;True;1.2187000000000001;1.21601;1.21389;1.21495;True;True;True;Weak Downtrend;Expansion;Strong Uptrend;True;Broken;Complete;Broken
2023-10-09;1.22172;1.22021;True;True;False;1.220965;1.21894;1.21676;False;False;True;1.2178499999999999;1.22247;1.22122;False;False;True;1.221845;1.21905;1.21368;1.2163650000000001;True;True;True;Strong Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Complete;Complete
2023-10-10;1.22664;1.22402;True;True;True;1.22533;1.22339;1.22116;True;True;True;1.222275;1.22548;1.2242;True;True;False;1.22484;1.22172;1.22021;1.220965;True;True;False;Strong Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2023-10-11;1.23374;1.23034;True;False;True;1.23204;1.23043;1.22701;False;False;True;1.22872;1.22984;1.22878;True;True;True;1.22931;1.22664;1.22402;1.22533;True;True;True;Medium Uptrend;Expansion;Strong Uptrend;True;Complete;Complete;Broken
2023-10-12;1.22543;1.22268;False;False;True;1.224055;1.23236;1.22938;False;False;True;1.23087;1.23189;1.23117;False;True;True;1.23153;1.23374;1.23034;1.23204;True;False;True;Strong Downtrend;Expansion;Contraction;True;Complete;Complete;Complete
2023-10-13;1.21769;1.21401;False;False;True;1.21585;1.22253;1.21865;True;False;True;1.22059;1.21893;1.21792;True;True;True;1.2184249999999999;1.22543;1.22268;1.224055;False;False;True;Strong Downtrend;Medium Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2023-10-16;1.21729;1.21532;True;True;True;1.216305;1.21779;1.2162;True;False;False;1.2169949999999998;1.21572;1.21471;True;False;False;1.215215;1.21769;1.21401;1.21585;False;False;True;Weak Downtrend;Strong Uptrend;Contraction;True;Broken;Broken;Broken
2023-10-17;1.21946;1.21469;True;True;True;1.217075;1.21847;1.21644;True;False;False;1.217455;1.22137;1.2209;True;False;True;1.221135;1.21729;1.21532;1.216305;True;True;True;Expansion;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Complete
2023-10-18;1.21783;1.21543;False;False;True;1.2166299999999999;1.2207;1.21891;False;False;False;1.219805;1.21796;1.21707;False;False;False;1.2175150000000001;1.21946;1.21469;1.217075;True;True;True;Strong Downtrend;Strong Uptrend;Contraction;True;Broken;Broken;Broken
2023-10-19;1.21623;1.214;True;True;False;1.215115;1.2145;1.21171;False;False;True;1.213105;1.21459;1.21369;False;False;True;1.21414;1.21783;1.21543;1.2166299999999999;False;False;True;Medium Uptrend;Weak Downtrend;Strong Downtrend;True;Complete;Complete;Complete
2023-10-20;1.2161;1.2131;False;True;True;1.2146;1.21171;1.21032;False;True;True;1.2110150000000002;1.21411;1.21235;False;False;False;1.21323;1.21623;1.214;1.215115;True;True;False;Strong Uptrend;Strong Downtrend;Medium Downtrend;True;Broken;Broken;Broken
2023-10-23;1.22145;1.21501;True;True;True;1.21823;1.21711;1.21479;True;True;False;1.2159499999999999;1.21664;1.2155;False;False;True;1.21607;1.2161;1.2131;1.2146;False;True;True;Weak Uptrend;Expansion;Medium Uptrend;True;Broken;Broken;Complete
2023-10-24;1.22037;1.21701;False;False;True;1.21869;1.22886;1.22583;False;False;True;1.2273450000000001;1.22547;1.22465;True;True;True;1.22506;1.22145;1.21501;1.21823;True;True;True;Strong Downtrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Complete
2023-10-25;1.21442;1.21224;True;True;False;1.21333;1.21664;1.21373;False;False;True;1.215185;1.21671;1.21586;True;True;True;1.216285;1.22037;1.21701;1.21869;False;False;True;Medium Downtrend;Weak Downtrend;Strong Downtrend;True;Broken;Complete;Broken
2023-10-26;1.21338;1.21037;True;False;False;1.211875;1.2093;1.20749;True;True;True;1.2083949999999999;1.21047;1.20947;True;False;True;1.20997;1.21442;1.21224;1.21333;True;True;False;Strong Uptrend;Strong Downtrend;Strong Downtrend;True;Complete;Broken;Broken
2023-10-27;1.21628;1.21352;False;False;True;1.2149;1.21259;1.21121;False;True;False;1.2119;1.21387;1.21285;False;False;False;1.21336;1.21338;1.21037;1.211875;True;False;False;Strong Uptrend;Strong Downtrend;Medium Uptrend;True;Broken;Broken;Broken
2023-10-30;1.21517;1.2123;False;True;True;1.213735;1.2133;1.20918;False;False;False;1.21124;1.21145;1.2106;False;True;True;1.2110249999999998;1.21628;1.21352;1.2149;False;False;True;Medium Uptrend;Expansion;Strong Downtrend;True;Broken;Broken;Complete
2023-10-31;1.21564;1.21263;True;False;True;1.2141350000000002;1.21613;1.21418;True;True;True;1.215155;1.21666;1.21575;False;False;True;1.216205;1.21517;1.2123;1.213735;False;True;True;Weak Downtrend;Medium Downtrend;Strong Uptrend;True;Broken;Broken;Complete
2023-11-01;1.21557;1.20956;True;True;True;1.2125650000000001;1.21612;1.21445;True;False;True;1.2152850000000002;1.2152;1.21416;False;False;True;1.21468;1.21564;1.21263;1.2141350000000002;True;False;True;Weak Downtrend;Weak Uptrend;Contraction;True;Complete;Broken;Broken
2023-11-02;1.22127;1.21761;False;False;True;1.21944;1.21814;1.21635;False;False;False;1.2172450000000001;1.21888;1.2173;True;True;True;1.2180900000000001;1.21557;1.20956;1.2125650000000001;True;True;True;Medium Uptrend;Weak Downtrend;Strong Uptrend;True;Complete;Broken;Broken
2023-11-03;1.23496;1.23109;False;True;True;1.233025;1.22136;1.21968;False;False;False;1.22052;1.21953;1.21848;False;True;True;1.2190050000000001;1.22127;1.21761;1.21944;False;False;True;Strong Uptrend;Strong Uptrend;Contraction;True;Complete;Broken;Complete
2023-11-06;1.24009;1.23711;False;False;True;1.2386;1.24139;1.23765;True;True;True;1.23952;1.23772;1.23672;False;False;False;1.23722;1.23496;1.23109;1.233025;False;True;True;Weak Downtrend;Medium Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2023-11-07;1.23109;1.22834;True;False;True;1.2297150000000001;1.23321;1.23138;True;False;True;1.232295;1.23456;1.23413;False;False;True;1.234345;1.24009;1.23711;1.2386;False;False;True;Strong Downtrend;Strong Downtrend;Strong Downtrend;True;Complete;Complete;Complete
2023-11-08;1.22864;1.22673;True;True;True;1.2276850000000001;1.22761;1.22599;False;False;True;1.2268;1.22937;1.22875;True;False;False;1.22906;1.23109;1.22834;1.2297150000000001;True;False;True;Weak Uptrend;Strong Downtrend;Contraction;True;Broken;Complete;Broken
2023-11-09;1.2295;1.22649;True;False;True;1.227995;1.2295;1.22693;True;True;False;1.228215;1.22863;1.22786;False;False;False;1.228245;1.22864;1.22673;1.2276850000000001;True;True;True;Weak Downtrend;Expansion;Contraction;True;Broken;Broken;Broken
2023-11-10;1.22234;1.2188;False;True;True;1.22057;1.2235;1.2217;False;False;True;1.2226;1.2218;1.22116;True;True;True;1.2214800000000001;1.2295;1.22649;1.227995;True;False;True;Medium Downtrend;Medium Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2023-11-13;1.22556;1.22294;True;True;True;1.22425;1.22422;1.22313;True;True;True;1.223675;1.2232;1.22263;False;False;False;1.222915;1.22234;1.2188;1.22057;False;True;True;Expansion;Medium Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2023-11-14;1.24748;1.24265;True;True;True;1.2450649999999999;1.2297;1.2277;False;True;True;1.2287;1.22808;1.22759;False;False;True;1.227835;1.22556;1.22294;1.22425;True;True;True;Strong Uptrend;Weak Uptrend;Strong Uptrend;True;Broken;Complete;Complete
2023-11-15;1.2446;1.24037;False;True;True;1.2424849999999998;1.24762;1.24583;False;False;True;1.246725;1.2498;1.24831;False;False;True;1.249055;1.24748;1.24265;1.2450649999999999;True;True;True;Strong Downtrend;Strong Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2023-11-16;1.24543;1.24158;True;False;True;1.2435049999999999;1.23989;1.23761;True;True;True;1.23875;1.24241;1.24159;True;False;True;1.242;1.2446;1.24037;1.2424849999999998;False;True;True;Strong Uptrend;Strong Downtrend;Contraction;True;Complete;Broken;Broken
2023-11-17;1.24259;1.24049;True;True;True;1.24154;1.23964;1.2379;False;True;True;1.2387700000000001;1.24167;1.2409;False;True;False;1.241285;1.24543;1.24158;1.2435049999999999;True;False;True;Strong Uptrend;Strong Downtrend;Medium Downtrend;True;Broken;Broken;Broken
2023-11-20;1.24943;1.24679;True;True;True;1.24811;1.24944;1.24733;True;True;False;1.248385;1.24583;1.24476;False;True;True;1.245295;1.24259;1.24049;1.24154;True;True;True;Weak Downtrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Broken
2023-11-21;1.25539;1.25267;False;False;True;1.25403;1.25367;1.25197;True;True;True;1.25282;1.25105;1.25046;False;True;True;1.2507549999999998;1.24943;1.24679;1.24811;True;True;True;Weak Uptrend;Strong Uptrend;Strong Uptrend;True;Complete;Complete;Broken
2023-11-22;1.24962;1.24538;False;False;True;1.2475;1.25371;1.25067;False;True;True;1.2521900000000001;1.25482;1.25407;True;False;True;1.254445;1.25539;1.25267;1.25403;False;False;True;Strong Downtrend;Strong Downtrend;Contraction;True;Complete;Broken;Complete
2023-11-23;1.25388;1.25277;True;True;True;1.253325;1.25377;1.25103;False;False;False;1.2524000000000002;1.24942;1.24886;True;True;True;1.2491400000000001;1.24962;1.24538;1.2475;False;False;True;Medium Uptrend;Strong Uptrend;Contraction;True;Complete;Broken;Complete
2023-11-24;1.26153;1.25829;True;False;True;1.25991;1.25596;1.25289;True;True;True;1.254425;1.25376;1.25318;True;True;False;1.25347;1.25388;1.25277;1.253325;True;True;True;Strong Uptrend;Expansion;Contraction;True;Broken;Complete;Broken
2023-11-27;1.26268;1.26084;False;False;False;1.26176;1.26244;1.26051;False;False;False;1.261475;1.26013;1.25962;False;False;False;1.259875;1.26153;1.25829;1.25991;True;False;True;Weak Uptrend;Strong Uptrend;Contraction;True;Broken;Broken;Broken
2023-11-28;1.26682;1.2649;False;True;True;1.26586;1.26277;1.26065;True;True;True;1.2617099999999999;1.26356;1.26313;True;True;False;1.2633450000000002;1.26268;1.26084;1.26176;False;False;False;Strong Uptrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2023-11-29;1.27107;1.26643;False;True;True;1.2687499999999998;1.27134;1.26942;False;False;True;1.2703799999999998;1.27132;1.27042;False;True;True;1.27087;1.26682;1.2649;1.26586;False;True;True;Weak Downtrend;Expansion;Strong Uptrend;True;Complete;Complete;Broken
2023-11-30;1.26457;1.26035;True;True;True;1.26246;1.27108;1.26614;False;False;True;1.26861;1.26958;1.26904;False;True;True;1.26931;1.27107;1.26643;1.2687499999999998;False;True;True;Strong Downtrend;Expansion;Contraction;True;Complete;Complete;Broken
2023-12-01;1.26477;1.26138;True;True;True;1.263075;1.26621;1.26298;True;True;True;1.264595;1.26398;1.26287;True;True;True;1.263425;1.26457;1.26035;1.26246;True;True;True;Weak Downtrend;Weak Uptrend;Contraction;True;Complete;Complete;Broken
2023-12-04;1.26384;1.26111;True;False;True;1.262475;1.26729;1.26621;True;False;False;1.26675;1.27224;1.27025;False;False;True;1.271245;1.26477;1.26138;1.263075;True;True;True;Strong Downtrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Complete
2023-12-05;1.26515;1.25981;True;False;True;1.26248;1.2629;1.26088;True;True;True;1.26189;1.26379;1.26295;True;True;False;1.26337;1.26384;1.26111;1.262475;True;False;True;Expansion;Strong Downtrend;Contraction;True;Broken;Broken;Broken
2023-12-06;1.26027;1.25815;False;True;False;1.25921;1.26091;1.25911;False;False;True;1.2600099999999999;1.26002;1.25913;True;True;True;1.259575;1.26515;1.25981;1.26248;True;False;True;Weak Downtrend;Expansion;Medium Downtrend;True;Broken;Complete;Broken
2023-12-07;1.25772;1.25454;True;True;True;1.25613;1.25867;1.25664;False;False;False;1.257655;1.25603;1.25551;True;True;False;1.25577;1.26027;1.25815;1.25921;False;True;False;Weak Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2023-12-08;1.25625;1.25096;True;False;True;1.253605;1.25736;1.25568;True;False;False;1.25652;1.25935;1.25857;True;True;True;1.25896;1.25772;1.25454;1.25613;True;True;True;Medium Downtrend;Strong Downtrend;Strong Uptrend;True;Complete;Broken;Complete
2023-12-11;1.2577;1.25609;False;False;True;1.256895;1.25588;1.25394;True;True;True;1.2549100000000002;1.25583;1.25471;True;False;True;1.2552699999999999;1.25625;1.25096;1.253605;True;False;True;Strong Uptrend;Expansion;Contraction;True;Complete;Complete;Broken
2023-12-12;1.25553;1.2514;True;True;True;1.253465;1.25734;1.25472;False;False;False;1.25603;1.25582;1.25525;True;True;True;1.255535;1.2577;1.25609;1.256895;False;False;True;Medium Downtrend;Expansion;Strong Downtrend;True;Broken;Broken;Broken
2023-12-13;1.25339;1.25051;False;False;False;1.25195;1.25369;1.2517;True;False;True;1.2526950000000001;1.25711;1.25601;False;False;True;1.25656;1.25553;1.2514;1.253465;True;True;True;Weak Downtrend;Strong Downtrend;Strong Uptrend;True;Broken;Complete;Complete
2023-12-14;1.27542;1.27039;True;True;True;1.272905;1.26413;1.26151;True;True;True;1.26282;1.26281;1.26193;True;True;True;1.26237;1.25339;1.25051;1.25195;False;False;False;Strong Uptrend;Expansion;Strong Uptrend;True;Complete;Complete;Complete
2023-12-15;1.27223;1.27016;False;False;True;1.271195;1.27744;1.27418;False;True;True;1.2758099999999999;1.27715;1.27574;False;False;False;1.276445;1.27542;1.27039;1.272905;True;True;True;Strong Downtrend;Expansion;Strong Uptrend;True;Broken;Complete;Broken
2023-12-18;1.26695;1.26458;False;False;True;1.265765;1.26954;1.2684;False;False;True;1.26897;1.26781;1.26664;True;True;True;1.267225;1.27223;1.27016;1.271195;False;False;True;Strong Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2023-12-19;1.27577;1.27257;True;True;False;1.27417;1.26828;1.26644;True;True;True;1.26736;1.26544;1.26466;True;True;True;1.26505;1.26695;1.26458;1.265765;False;False;True;Strong Uptrend;Strong Uptrend;Contraction;True;Complete;Complete;Complete
2023-12-20;1.26816;1.26569;False;False;True;1.266925;1.2669;1.26547;True;True;False;1.2661850000000001;1.27329;1.27202;False;False;True;1.2726549999999999;1.27577;1.27257;1.27417;True;True;False;Weak Uptrend;Strong Downtrend;Medium Downtrend;True;Complete;Broken;Broken
2023-12-21;1.26907;1.26449;False;False;True;1.2667799999999998;1.26438;1.26173;False;False;False;1.263055;1.26417;1.26352;True;True;False;1.2638449999999999;1.26816;1.26569;1.266925;False;False;True;Strong Uptrend;Expansion;Strong Downtrend;True;Broken;Broken;Broken
2023-12-22;1.27392;1.2723;True;False;True;1.27311;1.27052;1.26889;True;False;False;1.269705;1.26918;1.26819;False;False;True;1.268685;1.26907;1.26449;1.2667799999999998;False;False;True;Strong Uptrend;Medium Uptrend;Medium Uptrend;True;Broken;Broken;Broken
2023-12-28;1.27752;1.27458;True;False;True;1.2760500000000001;1.28188;1.27982;False;False;True;1.28085;1.2803;1.27986;True;True;True;1.2800799999999999;1.2778;1.27437;1.2760850000000001;True;True;True;Strong Downtrend;Expansion;Strong Uptrend;True;Complete;Complete;Complete
2023-12-29;1.27547;1.27007;True;True;True;1.27277;1.2757;1.27382;False;False;True;1.2747600000000001;1.27388;1.27311;True;True;True;1.273495;1.27752;1.27458;1.2760500000000001;True;False;True;Weak Downtrend;Medium Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2024-01-04;1.27108;1.26654;True;False;True;1.26881;1.27085;1.26815;True;True;True;1.2695;1.26737;1.26675;True;False;False;1.26706;1.26565;1.262;1.263825;True;True;True;Expansion;Strong Uptrend;Strong Uptrend;True;Broken;Complete;Broken
2024-01-05;1.27705;1.26797;True;False;True;1.27251;1.26889;1.26608;False;False;True;1.2674850000000002;1.26871;1.26795;True;True;False;1.26833;1.27108;1.26654;1.26881;True;False;True;Medium Uptrend;Expansion;Contraction;True;Broken;Complete;Broken
2024-01-08;1.27447;1.27181;True;True;True;1.2731400000000002;1.2711;1.26876;False;False;False;1.26993;1.27208;1.27083;True;True;False;1.271455;1.27705;1.26797;1.27251;True;False;True;Strong Uptrend;Medium Downtrend;Contraction;True;Broken;Broken;Broken
2024-01-09;1.27314;1.27112;False;False;True;1.27213;1.2747;1.27275;False;False;True;1.273725;1.27573;1.27401;True;True;True;1.27487;1.27447;1.27181;1.2731400000000002;True;True;True;Medium Downtrend;Medium Downtrend;Medium Uptrend;True;Complete;Complete;Complete
2024-01-10;1.27263;1.27131;False;True;True;1.27197;1.27162;1.26965;True;True;True;1.270635;1.27177;1.27053;True;False;True;1.27115;1.27314;1.27112;1.27213;False;False;True;Medium Uptrend;Weak Downtrend;Medium Downtrend;True;Complete;Broken;Complete
2024-01-11;1.27539;1.26901;False;True;True;1.2722;1.27675;1.27562;False;False;False;1.276185;1.27488;1.27425;True;True;True;1.274565;1.27263;1.27131;1.27197;False;True;True;Strong Downtrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Broken
2024-01-12;1.27856;1.27643;True;False;True;1.277495;1.27793;1.2753;True;False;True;1.276615;1.27802;1.27692;False;False;False;1.27747;1.27539;1.26901;1.2722;False;True;True;Weak Uptrend;Weak Downtrend;Strong Uptrend;True;Broken;Complete;Broken
2024-01-15;1.27272;1.27128;True;True;True;1.272;1.27593;1.27388;False;False;True;1.274905;1.27398;1.27284;False;True;True;1.27341;1.27856;1.27643;1.277495;True;False;True;Strong Downtrend;Medium Uptrend;Strong Downtrend;True;Broken;Broken;Broken
2024-01-16;1.26626;1.26383;False;True;False;1.265045;1.26762;1.26466;False;False;True;1.26614;1.27194;1.27081;False;False;True;1.271375;1.27272;1.27128;1.272;True;True;True;Weak Downtrend;Strong Downtrend;Medium Downtrend;True;Complete;Complete;Broken
2024-01-17;1.26664;1.26381;True;True;True;1.265225;1.26759;1.26511;False;False;False;1.26635;1.26398;1.2633;True;True;False;1.26364;1.26626;1.26383;1.265045;False;True;False;Weak Downtrend;Strong Uptrend;Medium Downtrend;True;Broken;Broken;Broken
2024-01-18;1.26846;1.26536;True;True;True;1.26691;1.26982;1.26832;False;False;True;1.26907;1.26789;1.2673;False;True;True;1.267595;1.26664;1.26381;1.265225;True;True;True;Medium Downtrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Broken
2024-01-19;1.26857;1.26612;True;True;True;1.267345;1.26859;1.26655;False;True;True;1.26757;1.27121;1.2704;True;False;False;1.270805;1.26846;1.26536;1.26691;True;True;True;Weak Downtrend;Strong Downtrend;Strong Uptrend;True;Broken;Broken;Broken
2024-01-22;1.27316;1.27099;True;False;True;1.272075;1.27061;1.26869;False;True;True;1.26965;1.2703;1.26957;False;True;True;1.269935;1.26857;1.26612;1.267345;True;True;True;Strong Uptrend;Expansion;Strong Uptrend;True;Complete;Complete;Broken
2024-01-23;1.26917;1.26682;False;False;True;1.267995;1.2744;1.27271;False;False;True;1.273555;1.27095;1.27039;True;True;True;1.27067;1.27316;1.27099;1.272075;True;False;True;Strong Downtrend;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2024-01-24;1.27748;1.27316;False;False;True;1.27532;1.27186;1.27036;True;True;True;1.27111;1.26965;1.2689;False;False;False;1.269275;1.26917;1.26682;1.267995;False;False;True;Strong Uptrend;Strong Uptrend;Medium Uptrend;True;Broken;Complete;Broken
2024-01-25;1.27274;1.27032;False;False;True;1.2715299999999998;1.27368;1.27198;False;True;False;1.27283;1.27206;1.27065;False;False;True;1.271355;1.27748;1.27316;1.27532;False;False;True;Medium Downtrend;Medium Uptrend;Strong Downtrend;True;Complete;Broken;Complete
2024-01-26;1.27452;1.27229;False;False;True;1.273405;1.27084;1.26811;True;True;True;1.269475;1.27087;1.27005;False;True;True;1.27046;1.27274;1.27032;1.2715299999999998;False;False;True;Strong Uptrend;Weak Downtrend;Medium Downtrend;True;Broken;Broken;Broken
