date;dr_high_ny;dr_low_ny;greenbox_ny;dr_upday_ny;dr_true_ny;midline_ny;dr_high_ldn;dr_low_ldn;greenbox_ldn;dr_upday_ldn;dr_true_ldn;midline_ldn;dr_high_asia;dr_low_asia;greenbox_asia;dr_upday_asia;dr_true_asia;midline_asia;dr_high_ny_preday;dr_low_ny_preday;midline_ny_preday;greenbox_ny_preday;dr_upday_ny_preday;dr_true_ny_preday;ny_model;ldn_model;asia_model;is_previous_day;asia_outcome;ldn_outcome;ny_outcome
2009-09-29;1730.75;1711.0;False;False;True;1720.875;1723.75;1718.25;False;False;True;1721.0;1724.75;1722.0;False;False;True;1723.375;1724.25;1700.75;1712.5;True;True;True;Expansion;Weak Downtrend;Medium Uptrend;True;Broken;Complete;Complete
2009-10-02;1673.0;1652.75;True;True;True;1662.875;1668.5;1662.25;True;False;True;1665.375;1668.0;1664.0;True;False;True;1666.0;1711.0;1685.25;1698.125;False;False;True;Expansion;Expansion;Strong Downtrend;True;Complete;Complete;Complete
2009-10-05;1674.0;1658.0;True;True;True;1666.0;1669.75;1663.25;True;True;True;1666.5;1667.75;1662.5;True;True;True;1665.125;1673.0;1652.75;1662.875;True;True;True;Expansion;Weak Uptrend;Contraction;True;Complete;Complete;Complete
2009-10-06;1706.25;1681.75;True;True;True;1694.0;1681.25;1676.5;True;True;True;1678.875;1677.0;1675.25;True;True;True;1676.125;1674.0;1658.0;1666.0;True;True;True;Strong Uptrend;Medium Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-10-07;1708.75;1696.25;True;False;True;1702.5;1707.75;1701.0;True;True;False;1704.375;1703.25;1701.25;False;False;False;1702.25;1706.25;1681.75;1694.0;True;True;True;Expansion;Expansion;Contraction;True;Broken;Broken;Broken
2009-10-08;1724.25;1711.25;True;True;True;1717.75;1724.25;1721.0;False;True;False;1722.625;1716.5;1714.25;False;True;True;1715.375;1708.75;1696.25;1702.5;True;False;True;Weak Downtrend;Strong Uptrend;Strong Uptrend;True;Complete;Broken;Broken
2009-10-09;1725.0;1707.75;True;True;True;1716.375;1717.5;1709.25;True;False;True;1713.375;1714.75;1712.0;False;True;False;1713.375;1724.25;1711.25;1717.75;True;True;True;Expansion;Expansion;Contraction;True;Broken;Complete;Broken
2009-10-12;1740.5;1729.5;True;False;True;1735.0;1727.25;1723.75;True;True;True;1725.5;1730.25;1724.0;False;False;True;1727.125;1725.0;1707.75;1716.375;True;True;True;Strong Uptrend;Weak Downtrend;Medium Uptrend;True;Broken;Broken;Broken
2009-10-13;1733.25;1720.25;False;True;True;1726.75;1729.5;1723.75;False;True;True;1726.625;1727.5;1726.0;True;False;False;1726.75;1740.5;1729.5;1735.0;True;False;True;Expansion;Expansion;Strong Downtrend;True;Broken;Complete;Broken
2009-10-14;1750.25;1739.75;False;True;True;1745.0;1747.25;1743.5;True;True;True;1745.375;1743.75;1742.25;True;True;True;1743.0;1733.25;1720.25;1726.75;False;True;True;Expansion;Medium Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-10-23;1775.5;1760.25;False;False;True;1767.875;1768.5;1763.75;True;False;True;1766.125;1767.25;1765.0;False;True;True;1766.125;1755.0;1737.5;1746.25;False;True;True;Expansion;Expansion;Strong Uptrend;True;Complete;Complete;Complete
2009-10-26;1777.25;1752.25;True;False;True;1764.75;1760.0;1755.75;True;True;False;1757.875;1752.5;1749.75;False;True;True;1751.125;1775.5;1760.25;1767.875;False;False;True;Expansion;Strong Uptrend;Strong Downtrend;True;Broken;Broken;Complete
2009-10-27;1750.5;1718.0;False;False;True;1734.25;1748.75;1745.5;True;False;False;1747.125;1744.75;1741.0;True;False;True;1742.875;1777.25;1752.25;1764.75;True;False;True;Expansion;Strong Uptrend;Strong Downtrend;True;Complete;Broken;Complete
2009-11-03;1672.0;1658.0;False;True;True;1665.0;1666.25;1659.0;False;False;True;1662.625;1675.75;1670.5;True;False;True;1673.125;1685.0;1655.5;1670.25;True;True;False;Expansion;Strong Downtrend;Contraction;True;Complete;Complete;Complete
2009-11-04;1696.25;1680.0;True;True;False;1688.125;1682.5;1677.0;True;True;True;1679.75;1677.0;1675.0;False;True;True;1676.0;1672.0;1658.0;1665.0;False;True;True;Medium Uptrend;Medium Uptrend;Strong Uptrend;True;Complete;Complete;Complete
2009-11-05;1713.0;1696.0;True;True;True;1704.5;1680.5;1671.5;False;True;True;1676.0;1685.75;1682.0;False;False;True;1683.875;1696.25;1680.0;1688.125;True;True;False;Strong Uptrend;Strong Downtrend;Contraction;True;Complete;Broken;Complete
2009-11-12;1793.5;1779.0;True;False;True;1786.25;1781.25;1776.25;True;False;True;1778.75;1785.0;1782.0;True;True;False;1783.5;1792.5;1780.5;1786.5;True;False;True;Medium Uptrend;Strong Downtrend;Contraction;True;Broken;Complete;Broken
2009-11-13;1783.75;1772.0;True;True;True;1777.875;1780.25;1775.75;True;True;True;1778.0;1774.0;1771.75;False;False;False;1772.875;1793.5;1779.0;1786.25;True;False;True;Expansion;Strong Uptrend;Strong Downtrend;True;Broken;Complete;Broken
2009-11-16;1811.0;1791.5;True;True;True;1801.25;1800.75;1795.0;False;False;True;1797.875;1798.0;1792.0;True;True;True;1795.0;1783.75;1772.0;1777.875;True;True;True;Expansion;Weak Uptrend;Strong Uptrend;True;Complete;Broken;Complete
